English,Kui_Odia
The rabbit is a lovely animal.,ମାଡ୍‌ତୁ ଗାମେ ସାଞ୍ଜାନି ଜତ ।
I like to visit the park.,ଆନୁ ପାର୍କ ମେଃପା ମନ ଆଇ
The hummingbird can hover in mid‐air.,ଔମିଙ୍ଗ ପଟା ଗାମେ ସେଣ୍ଡକି ଭଡା ମୁନେ ।
The lion is the king of the jungle.,ସିଂହ ଗହାତାରି ରାଜା ।
Can you arrange for airport transportation?,ଉଡ଼ାଜାହାଜ ପଟିଆ ସାଲବା ଆନାଆ ବ୍ୟବସ୍ଥା ଗିଆତ୍ମି ?
I like to watch wildlife documentaries.,ଆ’ନୁ ଆଡ଼େନା ଜତଙ୍ଗା କାଗଜପତ୍ର ମେଃପା ମାଣ୍ଡି
The stork has a long neck.,ବଗନାରୀ ରଣ୍ଡେ ଲେମ୍ବା ଡକା ମାନେ ।
I bring a bat from market.,ଆନୁ ଆଟାଡାଇ ବେଟ୍ ତାତେଏ ।
I like to see the Cm arrangement.,ଆନୁ ମୁଖ୍ୟମ୫ୀ ବ୍ୟବସ୍ଥା ତୟଃସାତିଙ୍ଗି ଏଲୁ ଆଇମାଇଁ ।
The bear is very strong than rabbit.,ମାଡ୍‌ଡୁ ବାଗା ଅଲି ଗାମେଏ ଡାଟା ଆନେ
They went to the office early.,ଏଆରୁ ଉତେଏ ଅଫିସ୍ ତାଙ୍ଗି ସାସେରୁ
 We should be silent in the meeting.,ମାଙ୍ଗେ ମିଟିଙ୍ଗ୍ ତାନି ପାଁଗନା ରହିଆନା ଦିନେ ।
The man broke down when doctor told her?,ଏ ସରି ଦେଲା ଡାକ୍ତର ବେସ୍ତେଞ୍ଜୁ ଏଆଇଞ୍ଜିରି ଜେଡା ଲେଗିତେ / ଜେଲା ସାକ୍‌ଡ୍‌ଆଡ଼େ ।
The peacock is a beautiful bird.,ମେଲୁ ରଣ୍ଡେ ସାଞ୍ଜନାରି ପଟା ।
I will take towel for bath.,ଆନୁ ଗାମ୍‌ସା ଅଇଁ ସିର ମିବା ତିଙ୍ଗି ।
The starfish lives in the ocean.,ସୁକାଗାଟାରି ମିନୁ ସମୁଦ୍ରତାନି ରାହିଆଇନେ ।
The moon shines brightly at night.,ଡାଞ୍ଜୁ ନାନାଙ୍ଗି ନେଗି ଉଜାଡ଼ି ଆଇନେ ।
I have many friends at school.,ଇସ୍କୁଲିଆ ଗାମେ ତଡ଼େଙ୍ଗା ମାନେରୁ ।
The temperature will come down tomorrow.,ବିଏ କାଳନି କଗିନେ ।
I like to play with my sister.,ଆବୁ ନାଇ ଆପିଙ୍ଗେ କାହାତିଙ୍ଗି ମନ ଆଇଁ ।
The duck swims in the water.,ଅବତକଙ୍ଗା ସିରୁତା ପହଁରି ଆଇନୁ ।
I like to visit the tourist place.,ଆନୁ ମେଃପା ଆଗନି ବାହା ତ୍ରେନା ମନ ଆର
I don’t eat non‐veg on Thursday.,ଆନୁ ମଙ୍ଗଳବାରା ଆଇଁସ ଡିନେନୁ ।
She went to the movie with Tom.,ଏରେ ଟସ କେଏ ଫିଲିମ୍ ମେଃପା ସାସେ ।
I like to learn new things.,ଆ’ନୁ ପୁନାରା କାତା ଗ୍ରାମ୍ବା ଗାମେ ମାଣ୍ଡି ।
I like to visit the park.,ନବୀନ ପଟ୍ଟନାୟକ ମାଇ ମୁଖ୍ୟମ୫ୀ ।
The giraffe has a long neck.,ଏବାରୁ ଏମ୍ବାଆ ରାହିଆଗାନେରୁ ।
We should be responsible for that.,ଆଜୁ ଆରାଡ଼ିକି ଦାୟୀ ଆନା ।
We should be responsible about our career.,ଆୁ ମାଇ କାମା ପ୍ରତି ଦାୟିତ୍ୱ ଆବା ଦରକାର ।
We should be kind about Birds.,ଆଜୁ ପଟାଙ୍ଗାନି ଜେଡାଗିବା ଦିନେ ।
I want to do my job.,ଆନୁ ନାନ୍ଦାରା ପାଇଟି ଗିବାତାଙ୍ଗି ମାଣ୍ଡି ।
The dog is jumping in the pool.,ହାକୁଡ଼ି ଗୁଡ୍‌ଦୁତା ଡେଗାଇବେ ।
The giraffe has a long tongue.,ଜିରାଫ୍ ତାରି ବାଙ୍ଗସି ଲାମ୍ବା ।
My brother is taller than me.,ନାଇ ଦାଦା ନାଇ ସେଲୁ ଗାପ୍‌ସି ବାତି ଆଜାନେଞ୍ଜୁ ।
We should keep our surroundings clean.,ମାଇଁ ପରିବେଶ ତିନି ସାପା ଇଟିନା ।
We should be honest with our friends.,ଆ’ମୁ ମାଇଁ ତଡ଼େଙ୍ଗାନ୍‌କେ ପାଡ୍‌ନା ରାହିଆବା କାତା ।
The birds are living on the tree.,ମ୍ରାଃହୁଣ୍ଡି ତାନି ପଟାଙ୍ଗା ରାହି ଆଇବ ।
We should give respect to others.,ଆଜୁ ଲକୁରିଇ ସଦ୍ଭାନ ସିବା ଦରକାରି ।
The dog barked for a long time.,ବାକୁଡ଼ି ଗାମେ ଚେଲି ମୁସ୍‌କିତେ ।
We should be mindful of our actions.,ଆ’ଜୁ ମାନ୍ଦାରା କାମା ସେଲୁ ଏଲୁ ଗିବା କାତା ।
I like to visit the beach.,ଆନୁ ସୁମଦ୍ର କୁଡୁ ମେଃପା ମାଣ୍ଡଇ ।
The plain will take off in two hours.,ଦୁଇ ଘଣ୍ଟା ଭିତରେ ଉଡ଼ାଜାହାଜ ବାନେ ।
I like to visit the park.,ଆନୁ ପାର୍କ ମେଃପା ମନ ପାଇଁ ।
The kangaroo can jump very high.,କଙ୍ଗାରୁ ଗାମେ ଦୁରାକି ଡେଗା ସୁନେ ।
I like to make new friends.,ଆ’ନୁ ପୁନି ସମ୍ପର୍କ ଗିଦବା ମାଣ୍ଡି ।
What do we  call this in English ?,ଇରାଆ ଇଂରାଜୀ ଡାଇ ଆନାଆ ଇନ୍‌ମ୍ବା ଆବେ ?
We should respect the national anthem.,ଆ’ଜୁ ଜାତୀୟ ଗାଡ଼ି ତିନି ସଦ୍ଭାନ ସିବା କାତା ।
The penguin is a bird that cannot fly.,"ପେଙ୍ଗୁଇନ୍ ରଣ୍ଡେ ପଟା, ଏଙ୍‌ଗା ଉଡଶ ମୁ’ଏ"
I enjoy listening to music and do dance.,ଆନୁ ଗାଣିଙ୍ଗା ବେନ୍‌ବା ଏଃଙ୍ଗା ଏନ୍ଦା ବେଙ୍ଗା ମଜାଶିଇଁ ।
We should use cloth bags instead of plastic.,ଆ’ସୁ ପ୍ଲାଷ୍ଟିକ ମଣି କୁଆନା ସିଣ୍ଡାଙ୍ଗା ମଣ୍ଡି ଆଃପିନାମୁ ।
"Whenever I meet her, she tells me a new story.","ଆନୁ ଏସେରି ବେଲା ଏରାନିଇ ପୁଣ୍‌ଡିତେଏ, ଏରେ ପୁନାରାଆ କେରଣ୍ଡି ବେସ୍ତାତେ ।"
My mother cooked delicious food yesterday.,ନାଇ ଆୟା ରିଇସି ନେଗି ତିନମ୍ବା ବାଜାସେ
The frog lives in water and on land.,ପାନା ସିରୁତା ଏଙ୍ଗା ଆଡ଼ ବେ ବାସା ଆବା ମୁନେ ।
The sun rises in the east.,ମାଙ୍ଗେ ଯତ୍ନଶିଳ ଆବା ଦିନ
How can I richest person in the world?,ଇ ପୁର୍ତ୍ତିତାନି ଆନୁ ଇସିଙ୍ଗି ପାତ୍ରେ ଆବା ମୁଇ ?
I love to play chess with my father.,ଆନୁ ମାଇ ଆ’ବା କେ ଚେସ୍ କାହାଗାମେ ମାଣ୍ଡି ।
The dog jumped and catches the ball.,ନାକୁଡ଼ି ଡେଗିତେ ଏଙ୍ଗା ବଲ ଆହୁତେ ।
The crow is a very intelligent bird.,କା’କା ଉଣ୍ଡେ ଚାଲାକି ପଟା ।
The Sun rises from the east.,ବେଲା ପୂର୍ବ ବିଗଡାଇ ସୁଃତାନେ ।
The rhinoceros has a horn on its nose.,ଗଣ୍ଡା ଜତୁନି ସୁଙ୍ଗେଲି ସିଡିଟି କ’ଜୁ ମାନେ ।
I like to visit the water fall.,ଆନୁ ଲୁଦୁ ମେଃପା ମାଣ୍ଡିଇ
We should keep our city clean.,ଆ’ଜୁ ସହର ସାପା ଗିବା କାତା ।
We should be kind of animal.,ଆଜୁ ଜତଙ୍ଗାନି ଜେତା ଗିବା ଦିନେ
Summer is the hottest season of the year.,କାରା ଡେଲି ଆଇନେ ଗାମେ କାନ୍ଦିନାରି ଋତୁର ବାସାରିତାଙ୍ଗି ।
The Indian Army protects our country.,ମାଇଁ ଦେଶତା ମାନାରୁ ସେନା ଲକୁ ଦେଶ ରକ୍ଷା ଗିପିନେରୁ
I like to wear traditional clothes during festivals.,ପର୍ବ ଆନି ବେଲାଆନୁ ସାଜାନା ପୁସାଚ୍ଛ ସଡ଼ପା ଗାମେ ମାଣ୍ଡି ।
I like to read fairy tales.,ଆନୁ କେରଣ୍ଡି ପଡ଼ିଆବା ମାଣ୍ଡିଇ ।
We should be respectful to everyone.,ଆ’ଜୁ ପୁଲେ ଲକୁରି ଜେଡ଼ା ଗିବା କାତା ।
I like to play with my friends.,ଆ’ନୁ ମାଇଁ ସାଙ୍ଗ/ତଡ଼େକେ କାହା ମାଣ୍ଡି ।
He climbed to the top of the hill.,ଏଆଞ୍ଜୁ ସରୁ ସେଣ୍ଡ ସେଙ୍ଗା ସେଞ୍ଜୁ ?
I took your pen by mistake.,ନାଇ ପୁନାରାଏ ନନ୍ଦାରାଆ କଲମ ଅଆ ମାସେଏ ।
We should be honest in our work.,ଆ’ଜୁ ମାନ୍ଦାର କାମା ନେଗିଡ଼ାଇ ଗିବା କାତା ।
The Sun temple is at Konark.,ସୂର୍ଯ୍ୟ ମନ୍ଦିର କୋଣାର୍କ ତା’ ମାନେ ।
The cat is a very curious animal.,ମେ'ଅ ରଣ୍ଡେ ଗାମେ କ୍ରାହା ଗାଟାରି ।
I like to pick a photo of the park.,ଆନୁ ପାର୍କ ତା’ରାଆ ଫୋଟ ରୁଣ୍ଡା ନିକିପାତିଙ୍ଗି ମନ ଆଇମାଇ
I enjoy watching the stars at night.,ଆ’ନୁ ବାଡାଙ୍ଗି ସୁକାଙ୍ଗା ମେଃପା ମାଣ୍ଡି ।
When did you buy this mobile?,ଇନୁ ଇ ମୋବାଇଲ୍ ଏସେକା କଚିଡି ?
I like to write the stories.,ଆନୁ କେରଣ୍ଡି ବ୍ରିସା ମାଣ୍ଡିଇ ।
The sun rises in the east.,ଆନୁ ଗୁଲେ ବାତିସି ପ୍ରାର୍ଥନା ଗିଇ ।
I like to play in the garden.,ଆ’ନୁ ବଗିଚାୱାନି କାହା ଗାମେ ମାଣ୍ଡି ।
I like to plant trees in my garden.,ଆ’ନୁ ବାଡ଼ାତ ମ୍ରାଃକା ଉହା ଗାମେ ମାଣ୍ଡି ।
I enjoy playing with my toys.,ଆ’ନୁ ନାଇଁ ଖେଳନାତିଙ୍ଗେ କାହା ମାଣ୍ଡି ।
The dog is a faithful animal.,ନାହୁଡ଼ି ରଣ୍ଡେ ବିଶ୍ୱସ୍ତ ଜତ ।
The elephant has a long trunk and black.,ହାତି ନିନ୍ଦି କାଜୁ ଲାମ୍ବା ଗାଟାରି ଏଙ୍ଗା କାଲିଗାଟାରି
The ant is a hardworking insect.,ତୁଣ୍ଡୁଡ଼ି ରଣ୍ଡେ ଗାମେ କାରିଆରି ପିଡ୍‌ଉ ।
The elephant is a strong animal.,ହାତୀ ରଣ୍ଡେ ଗା’ମେ ଡାଟାଗାଟାରି ଜତୁ ।
I like to visit the beach.,ମିଡାଙ୍ଗାଣ୍ଡେରୁ ପେଣ୍ଡୁ ଢଗାଟୁ ।
We should be mindful of our environment.,ଆଜୁ ମାଇଁ ପରିବେଶ ତିନି ନେଗି ଲପ୍‌କା କାତା ।
We should not smoke in the public place.,ଦାଲା ଲକୁନାଡା ବିଡିଙ୍ଗା ଉନ୍‌ବା କାତା ଆଏ ।
We should be honest and wonderful.,ଆଜୁ ସତ ଆବା କାତା ଏଃଙ୍ଗା କାମାଲକୁ ।
I enjoy playing cricket with my friends.,ଆ’ନୁ ତଡ଼େ ମାହେଞ୍ଜାକେ ମିଶା ଆଦାନା କ୍ରିକେଟ୍ କାହା ମାଣ୍ଡି
The sun rises in the east.,ବେ’ଲା ପୂର୍ବ ବି ଗଡାଇ ସଡ୍‌ପିନେ ।
We should drink water need fully.,ଆନୁ ସିରିଅ ଦରକାର ହିସାବସାଇ ଉନ୍‌କା କାତା ।
I like to visit the Museum.,ଆଜୁ ମିଉଜିଅମ୍ ମେଃପା ମନପାଇଁ ।
The peacock has a beautiful dance.,ମେଲୁ ଡ଼ିଆହ ଏନ୍ଦିନେ ।
I like to play with my pet.,ଆ’ନୁ ପହିଗିଆନା ନାକୁଡିଙ୍ଗେ କାହା ମାଣ୍ଡି ।
I met a childhood friend yesterday.,ଆନୁ ରିଇସି ମିତାଡେଲି ତତ୍‌ଞ୍ଜିଇ ପୁଣ୍ଡ।।ମାସେଏ ।
I will be a great man.,ଆନୁ ଦିନେକା ବେଡାବୁ ଲୁକୁ ଆଇଁ ।
The chair is made up of wood.,କୁର୍ସି ବେସ୍କାଡାଇ ଗାଡ଼ି ଗିବା ଆଜାସେ ।
The giraffe is a tall animal.,ଜିରାପ ରଣ୍ଡେ ବାଡ଼ି ଗାଯି ଜତ ।
I enjoy doing arts and crafts.,ଆ’ନୁ ସିତ୍ରା ଏଭ୍‌ଗା ଅସାଅସି ନେଗି ମାଣ୍ଡି ।
"It was hard to do, but he did it very well.","ଇରେ ଗାମେଏ ଡାଃନାରି ମାସେ, ଆତେକାବ୍ୟେ ଏଆଞ୍ଜୁ ନେକାଡାଇ ଗିତେଞ୍ଜୁ ।"
The giraffe has a long neck.,ଜିରାପ ନାରି ଲାମ୍ବା ଡକା ମାନେ ।
The mango is the king of fruits.,ଉାହା ଆଇନେ ପଲ ଙ୍ଗାଣ୍ଡାରି ରାଜା ।
We should always be kind to animals.,ଆଜୁ ସବୁଦିନା ଜତଜ୍ଞାନି ଜେଡ଼ା ଗିବା କାତା
I like to participate in the competition.,ଆନୁ
We should save the jungle animals.,ଆନୁ ଗସା ଜତଙ୍ଗାନି ରକ୍ଷାଗିବା କାତା ।
I enjoy going to the park.,ଆ’ନୁ ପାର୍କ ତ୍ରେବା ମାଣ୍ଡି ।
What can you here right now?,ଇନୁ ଇବେ ଆନା ବେନମ୍ବା ମୁତି ?
I brought myself a new pair of shoes.,ଆନ ନାଇ ସେଲୁ ଜୁଣଙ୍ଗା ରହଳି କଡିତେଏ
What was the last meal you cooked?,ନି ବାଜା ସାସି ତିନ୍‌ବା ଆନାରି ମାସେ ?
I enjoy playing with my friends.,ଆନୁ ବାର ତଡ଼େଙ୍ଗାନ୍‌ଙ୍ଗେ କାହା ମନ ଆଇ
I like to listen to stories of armies.,ଆନୁ ଆର୍ମିଙ୍ଗାଦାରା କେରଣିଙ୍ଗା ଦେନବା ମନ ଆଇଁ ।
The giraffe has a long neck.,ଜିରାପ ନାରି ଲାମ୍ବା ଡକା ମାନେ ।
I like to visit the beach.,ନାଙ୍ଗେ ସମୁଦ୍ର କୁଡୁ ତ୍ରେବା ଗା’ମେ ମାଣ୍ଡାରାନେ ।
We should be caring towards others.,ଆ’ଜୁ ବେଗାଲି ଲକୁବାଗାବେ ଜାଗ୍ରତ ଆବା କାତା ।
We should be kind to animals.,ଆ’ଜୁ ଜତୁଙ୍ଗାନି ଜେଡା ଗିବା କାତା ।
The Ganga is a sacred river in India.,ଗଙ୍ଗା ଆଇନେ ରଣ୍ଡେ ପବିତ୍ର ଜଡ଼ି ।
The camel is known as the ship of the desert.,ଉଟ ଆଇନେ ମରୁଭୂମିତାରି ଜାହାଜ ।
I love to visit my grandparents.,ଆ’ନୁ ମାଇଁ ଜେଜେ ଆବାଇ ପୁଣ୍ଡାତାଙ୍ଗି ଗାମେ ମା’ଣ୍ଡି ।
I like to play with my toys.,ଆନୁ ନାଇ ପୁଡଲା୍‌ଗାନ୍‌ଙ୍ଗେ କାହା ମନ ଆଇ
The tiger is our national animal.,"କଡାଣ୍ଡି ଆଇନେ, ମାନ୍ଦେ, ଜାତୀୟ ଜତ ।"
The fish is jumping on the land.,ମିନୁ ଟାଣା କୁଇଡି ଡେଟ୍‌କାଇ ମାନେ ।
Which date falls on Sunday ?,ଋବିବାର ଏସେ ତାରିଖ ଦିପ୍‌କିନେ ?
The duck swam in the pond.,ବତକ ବାନ୍ଦାତା ପହେରି ଆତେ ।
The Rat frighten to the Cat.,ଅରିଇ ମେଅନିଇ ଆଜିତେ ।
The elephant has a long trunk.,ଆତୀନାରୀ ରଣ୍ଡେ ଲାମ୍ବା କା’ଜୁ ମାନେ ।
What can I do for you?,ଆନୁ ନି ସେଲୁ ଆନା ଗିବା ସୁଇ
What is cook in your home?,ମିପେ ନେଞ୍ଜୁ ଆନିତାଆ ବାଜାଞ୍ଜୋରୁ ?
Alisha wash3ed the plate after dinner.,ଆରିସା ତିନମ୍ବା ବେଅଟି ତାଲିଙ୍ଗା ନଗଦେ ।
We should be give respect to farmers.,ଆଜୁ ତାଷା ଗିନିଲକୁରିଇ ସଦ୍ଭାନ ସିବାକାତା ମା ।
The floor of the school is very clean.,ଇସ୍ପୁଲନାରି ଝାଡ଼ା ପାଗେଏ ସଫା ଆଜାନା ମାନେ ।
I like to play with my toys.,ପୁବିଲିଆ ବଡ଼ିଆ ତଞ୍ଜିବେ ।
We should go for a movement.,ଆଜୁ ଦ୍ରେବାଡିଙ୍ଗି ସାନା ।
How can I go to the city?,ଆନୁ ଇସିଙ୍ଗି ସହରତାଙ୍ଗି ସାରବା ସୁଇ ।
It snows a lot in winter in Russia.,ପେନି ଡେଲି ତାନି ରୁଷିଆ ତାବି ବରଫ ଦିନେ ।
We should be respectful to elders.,ମାଇ ବେରି ଲକୁରିଇ ସଦ୍ଭାନ ସିନା ଲୁଡ଼ା ।
The Indian cricket team is very talented.,ଭାରତୀୟ କ୍ରିକେଟ୍ କାହାରାକା ଗାମେ ଡାଟାଗାଟାକା ।
The sheep grazed on grass in the field.,ମେଣ୍ଡି ପାଙ୍ଗାତା ସଲା ଚିଞ୍ଜିନେ ।
We have a cash flow Problem.,ଟାକା ଡାବୁ ତାନି ଊ୪୪୮ ଆଇନାମୁ ।
You have bought me to shame.,ଇନୁ ନାଙ୍ଗି ଲଜା ପାଡବା ଗିଆତି ।
The elephant has a long trunk.,ଆତି ନାରି ଲାମ୍ବା ଶୁଣ୍ଡ ମାନେ ।
The cheetah is the fastest land animal.,ଗା’ମେ ସାଡ଼ା ପିଞ୍ଜନାରି କାଡ୍‌ଲି ଆଇନେ କାଲି କାଡ୍‌ଣ୍ଡି ।
The Taj Mahal is in Agra.,ତାଜ ମହାଲ୍ ଆଗ୍ରାତା ମାନେ ।
My school uniform is blue and white.,"ମାଇଁ ଇସ୍କୁଲ୍ ଢାଇ ଅଙ୍ଗି, ଜଙ୍ଗିଆଙ୍ଗା କଲରି ଆଇନେ ଲଙ୍ଗି, ଏଙ୍ଗାସିଲି ।"
I enjoy cycling in the park.,ଆ’ନୁ ସାଇକେଲ୍ / ମୁନ୍‌ଗାଡ଼ି ପାର୍କତା ଚଲେଇଗିବା ମାଣ୍ଡି
I like to bath in the pond.,ଆନୁ ବାନ୍ଦାତା ମିନା ମାଣ୍ଡିର
My school has a big playground.,ମାଇଁ ଇସ୍କୁଲିଆ ରଣ୍ଡେ ଦେରି କାହିନାରି ପଡ଼ିଆ ମାନେ ।
What is smallest planet in our solar system?,ଇ ସୌରଜଗତ ତାନିଇ କପାରି ଗ୍ରହ ଆନାରି ?
I like to go on picnics.,ଆ’ନୁ ବଣ ବିଜି ଗିବା ସେଲୁ ମାଣ୍ଡି ।
We should keep our classrooms clean.,ଆ’ଜୁ କ୍ଲାସ ରୁମ୍ ସେମା କାତା ।
Daily exercise makes you fit and healthy.,ନେକେରି ବ୍ୟାୟାମ୍ ଯିବା ନିଙ୍ଗେ ଫିଟ୍ ଏଙ୍ଗା ସୁସ୍ଥ ଭଟାରାନେ ।
I have a dog named Motu.,ମଟୁ ପାଦାତାରି ନାକୁଡ଼ି ନାଳେ ମାନେ
My father works in an office.,ମାଇଁ ଆ’ବା ର’ ଅଫିସ୍ ତା ପାଇଟି ଗିପିନେଞ୍ଜୁ ।
The owl can see in the dark.,ଗୁଞ୍ଜି ନାଡ଼ାଙ୍ଗି କାନ୍‌ଙ୍ଗା ମେଃ ଏନେ ।
Did you not finish your homework?,ଇନୁ ବିନ୍ଦାର ଇଜପାଇଟି ଗିଆତି ।
I enjoy playing in the garden.,ଆନୁ ବଗିଚାତାନି କାହା ମାଣ୍ଡଇ ।
The giraffe has a long tongue.,ସା ଇଟାଡାଇ କୁଡୁ ନିକନା ।
I like to play with clay.,ଆ’ନୁ ବିରାତା କାହା ଗାମେ ମାଣ୍ଡି ।
We should be responsible about this.,ଆଜୁ ଇ ବିଷୟପରା ଦାୟୀତ୍ୱ ଅବା କାତାମା ।
