Hindi,Kui_Odia
आपने तैरना कहाँ सीखा?,ଇନୁ ଅମ୍ବ ପହେରି ଗ୍ରାମ୍ବିତି ।
पृथ्वी सूर्य के चारों ओर घूमती है।,ପୁର୍ତି ସାରିପାକି ବେଲା ବୁଲି ଆଇନେ ।
आज आपके पास कितना खाली समय है?,ନେଞ୍ଜୁ ଏସେଡେଲି ଟୁକ୍‌ମା ପିଃପାପାନ୍‌ବା ମୁଦି ।
मोर का एक सुंदर नृत्य है।,ମେଲୁଣ୍ଡାରି ରଣ୍ଡ ବଡ଼ିଦଆ ଏନ୍ଦାମାନେ ।
मेरा पसंदीदा कार्टून चरित्र छोटा भीम है।,ଆନୁ ଚଟାବୀମ୍ କାଟୁନ୍ ତିନି ମେଃପା ମାଣ୍ଡି ।
मुझे टेडहेमेडे के साथ परियों की कहानियाँ पढ़ना पसंद है।,ଆନୁ ନେଗା କେରଣି ଟେଡେମେଢେ ଆଡସେ ପଡ଼ିଆବା ମନ ।
दिवाली रोशनी का त्योहार है।,ଦୀପାବଳି ଆଇନେ ଉଜହାଡ଼ି ପାର୍ବା।
हमें हमेशा दूसरों के साथ साझा करना चाहिए।,ଆ’ଜୁ ସଦାବେଳେ ଲକୁରିକେ ମିଶା ଆଜାନା। ରାହିଆବା କାତ।
मेरा कुत्ता चिकन खाना पसंद करता है।,ନାନ୍ଦେ ବାହୁତି କଜୁ ଭଙ୍ଗା ତିନ୍‌ସ୍ପା ମନ ଆନେ ।
हमें अपनी बातों में सावधानी बरतनी चाहिए।,ମାଇଁ କାତା ବେସ୍‌ନାରା ଏଲୁଗିଆନା ବେସ୍‌ପା କାତା ।
मुझे नई-नई जगहों पर जाना पसंद है।,ଆ’ନୁ କୁନି ବାସା ତ୍ରେବା ମାଣ୍ଡି ।
उसने हवा में आने के लिए खिड़की खोली।,ଏରି ବ୍ଲିହୁ ବାପାଳାରି ରଞ୍ଜାନା ଝରକା ଦେତେ ।
सूर्य पूर्व में उगता है।,ଏଆଞ୍ଜୁ ଜିମ୍ ତାଙ୍ଗି ବେଗା ଦିନା ସାନେଞ୍ଜୁ ।
में कुछ जानना नहीं चाहता।,ଆକୁ ଆନିତାଆ ନେଏ ପୁନ୍‌ମ୍ବା ମାଟ୍‌କି ସିବେନୁ ।
हमें दूसरों की राय का सम्मान करना चाहिए।,ଆ’ଜୁ ଲବୁତାରା କାଡାବାର୍ତ୍ତା ମନିଅବା କାତା ।
हमें सभी का सम्मान करना चाहिए।,ଆଜୁ ଏସ୍ତି ଲକୁରିବେ ସଦ୍ଭାନ ସିବା କାତା ।
आप हर गर्मियों में छुट्टी पर जाते हैं।,ଇନୁ ଗୁଲେ କାରାତାନି ଛୁଟି ସାଜି ।
जिराफ की गर्दन लंबी होती है।,ଜିରାପ ତାରି ଲାମ୍ବା ବଟା ମାନେ
हमें अपने घरों को साफ रखना चाहिए।,ଆ’ମୁ ମାନ୍ଦାରା ଇଡୁ ସାପାଗିଆନା ଇଟା କାତା ।
मुझे पार्क में घूमना पसंद है।,ନଡ଼ିଆ ମ୍ରାଃକା ମାଇ ଦାଦୁ ପାକି ସେବଥ କମ୍ ।
मुझे कहानियाँ सुनना पसंद है।,ଆ’ନୁ କେରଣ୍ଡି ବେନ୍‌ବା ଗାମେ ମାଣ୍ଡି ।
यह दुख की बात है।,ଇରେ ଗାମେଏ ବିକାଲି ତାରି କାତା
मेरे बेटे को अपने दोस्त के साथ खेलना पसंद है।,ବାଇ ମିରେଞ୍ଜୁ ଗଡ଼ା ତାଡା ଡଚେଞ୍ଜାରିକେଏ କାହା ମାଣ୍ଡିନେଞ୍ଜୁ ।
होली रंगों का त्योहार है।,ହଲିପର୍ବରଣ୍ଡେ ରଙ୍ଗ କାହା
मुझे राजनीति विज्ञान पढ़ना पसंद नहीं है।,ଆନୁ ରୋଜନିତୀ ବିଜ୍ଞାନ ପତିଆବା ମାଣ୍ଡେବୁ ।
सूर्य पूर्व में उगता है।,ଏଆରୁ ପାଇଟିଆ ସାଲାଆତେରୁ ।
मुझे पिकनिक पर जाना पसंद है।,ଆ’ନୁ ବଣବଜି ଗିବା ଗାମେ ମାଣ୍ଡି
मुझे अपने भतीजे के साथ खेलना पसंद है।,ଆନୁ ନାଇ ପୁତୁରା କେଏ କାହା ମନ ଆଇଁ ।
लाल किला दिल्ली में है।,ରେଡ୍ ଦୁର୍ଗ ଦିଲ୍ଲୀତା ମାନେ ।
लोमड़ी एक बहुत ही चालाक जानवर है।,କକଶିଆଳି ରଣ୍ଡେ ଗା’ମେ ଚାଲାକି ଜତୁ ।
क्या मेरे पास ऊपर की मंजिल पर एक कमरा हो सकता है?,ଉପର ମହଲାତାନି ଆନୁ ରଣ୍ଡା ବାକାର ପାଇନା ?
हमें हमेशा सच बोलना चाहिए।,ଆଜୁ ଏସେରିବେଳାବେ ସତ ବେସପା କାତା ।
मुझे संगीत सुनना पसंद है।,ନାଙ୍ଗେ ଚା ବରକାରି ।
जिराफ की गर्दन लंबी होती है।,ଜିରାପ୍ ନାରି ଡକା ଗାମେ ଲାମ୍ବା ।
मुझे वाद्य यंत्र बजाना पसंद है।,ଆ’ନୁ ବାଦ୍ୟ/ବାଜାଙ୍ଗା କସପା ଗାମେ ମାଣ୍ଡି ।
भारतीय ध्वज को तिरंगे के नाम से भी जाना जाता है।,ଜାତୀୟ ପତାକା ନି ତିନିକୋଣ ମେସା ଇନ୍‌ବା ଆନେ ।
हम 15 अगस्त को स्वतंत्रता दिवस मनाते हैं।,ଆ’ମୁଁ ଅଗଷ୍ଟ ପନ୍ଦର ଗେଲା ସ୍ୱାଧୀନତା ପାଳନ ଗିପିନାମୁ ।
मुझे चिड़ियाघर जाना पसंद है।,ମୋବାଇଲକା ଫୋନ୍ ଗିବା ତିଙ୍ଗି ବ୍ୟବହାର ଆଇନୁ ।
प्लास्टिक की थैलियों का उपयोग नहीं करना चाहिए।,ପ୍ଲାଷ୍ଟିକ୍ ଜିନିଷ ବ୍ୟବହାର ଗିବା କାତା ଆଏ ।
हंस एक सुंदर पक्षी है।,ରାଜ୍‌ହଂସ ଗାମେ ସାଞ୍ଜାନାରି ପଟା ।
मुझे अपने दोस्तों के साथ खेलना अच्छा लगता है।,ଆନୁ ନାଇ ତଡ଼େଜାରିକେଏ କାହାନା ରେହା ଆଇ ମାଇ
गाय भारत में एक पवित्र पशु है।,"କ’ଡି ଆଇନେ, ମାଇଁ ଭାରତ ତା’ ନେଗି ଜ’ତୁ ।"
हाथी की दो छोटी आंखें होती हैं।,ହାତୀନାଇ ଜଙ୍ଗକା କଷାଇ କାନ୍‌କାହ ମାନ୍ତ ।
गौरैया एक छोटा पक्षी है।,ସାରିଗାଟା ଟିକୁତାଇ ପଟାଙ୍ଗା ।
हमें काम में जिम्मेदार होना चाहिए।,ଉାଙ୍ଗେ ମାଇ ପାଇଟିଆ ଦାୟିତ୍ୱବାନ୍ ଆବା ଦିନେ
सूर्य पूर्व में उगता है।,ଇନୁ ବାନ୍ଦାରା ଡେଲି ନାହିକି ଗିପିଞ୍ଜାନି ।
हमें सार्वजनिक स्थानों पर कूड़ा नहीं फेंकना चाहिए।,"ଆ’ଜୁ ଗହଳି ବାସାତା ଅଳିଆ, ବିଛେଇ ଗିବା କାତା ଆଏ ।"
मैं बस से स्कूल जाता हूँ।,ଆ’ନୁ ବସଡ଼ାଇ ଇସ୍କୁଲିଆକି ସାଜିମାଇଁ ।
यमुना नदी दिल्ली से होकर बहती है।,ଜମୁନା ଜଡ଼ି ଦିଲ୍ଲୀ ସିଆନା ସାଜାନେ ।
वह सोमवार को स्कूल नहीं आया।,ଏଆଞ୍ଜୁ ସୋମନାରା ଦିନା ଇସ୍କୁଲିଆ ବାଜା ସିନାତେଞ୍ଜୁ ।
पक्षी पेड़ पर रह रहे हैं।,ପଟାଙ୍ଗା ସ୍ରାଃନୁ ସେଣ୍ଡ ରାହି ଆଇ ମାନ ।
दैनिक व्यायाम आपको स्वस्थ और चुस्त बनाता है।,ବେଗା ବିନା ବ୍ୟାୟମ ଗିତେକା ଇନୁ ନେଗାଡାଇ ରାହିଆଦି ।
मुझे वास्तव में कॉमिक्स पढ़ना पसंद है।,ଇଜେନେଏ ଆନୁ କାକା ପଡ଼ିଆନା ମନ ଆଇ ।
मुझे वीडियो गेम खेलना पसंद है।,ଆ’ନୁ ବିଡ଼ିଓ କାହା ଗା’ମେ ମାଣ୍ଡି ।
दरिंगबाड़ी ओडिशा का कश्मीर है।,ଦାରିଙ୍ଗିବାଡ଼ି ଆଇନେ ଓଡ଼ିଶା ପରି କାଶ୍ମିର ।
हम सुबह पानी पीते हैं।,ଆମୁ ନାତିସେଏ ସିରୁ ଉଟାମୁ ।
भारतीय ध्वज में तीन रंग हैं।,ଜାତୀୟ ପତାକା ତାନି ତିନିଗଟା କଲରି ମାନୁ ।
चीता बहुत तेजी से दौड़ सकता है।,କାଲି ଟିକାଙ୍ଗା କାଡ୍‌ଲି ଗାମେ ସାଡ଼ା ପିଞ୍ଜା ମୁନେ ।
जेब्रा में काले और सफेद धारियाँ होती हैं।,ଜ୍ରେବାନାରି କାଲି ଏଙ୍ଗା ଲଙ୍ଗି ଗାରିଙ୍ଗା ମାନୁ ।
बिल्ली चटाई पर बैठ गई।,ମେଅ ପଟି କୁଇଟି କକସାନେ ।
हम सभी के प्रति दयालु होना चाहिए।,ଆ’ଜୁ ଗୁଲେ ଲକୁରି ପ୍ରତି ଜେଡ଼ା ରାହିଆବା କାତା ।
हमें पर्यावरण का ध्यान रखना चाहिए।,ଆ’ଜୁ ପରିବେଶ ତିନି ସାଞ୍ଜଗିବା କାତା ।
आप कॉलेज कब जाते हैं?,ଇନୁ ଏସେରି ବେଲା କଲେଜ ତାଙ୍ଗି ସାଜିଞ୍ଜି ?
व्हेल सबसे बड़ा स्तनपायी है।,ତିନି ମିନୁ ରଣେ୍‌ଡ ଦେରି ଜତୁ ।
मुझे अपने भाई-बहनों के साथ खेलना अच्छा लगता है।,"ଆ’ନୁ ମାଇ ଆଙ୍ଗି, ଆପରିକେ କାହା ମନ ପାଇ ।"
"हमारे पास जो कुछ भी है, उसके लिए हमें आभारी होना चाहिए।",ମା'ଇ ବାସା ଇନାରିମାନେ ଏସିବା ଗା ପାଡନା ରାହିଆବା କାତା
हाथी का तना लंबा होता है।,ନରେନ୍ଦ୍ର ମୋଦି ମାଇ ପ୍ରଧାନମ୫ୀ ।
मुझे अपनी भूगोल की किताब पढ़ना पसंद है।,ଆନ ଭୂଗୋଳ ବହି ପଢ଼ି ଆବା ମାଣ୍ଡିଇ
कल रात आप घर कब लौटे?,ରିଇସି ନାତାଙ୍ଗି ଇନୁ ଏସେକା ତନୁତାତି ?
हमें अपनी नदियों को साफ रखना चाहिए।,ଜଡ଼ି ସାପା ଗିବା ମାନ୍ଦେ ଦାୟତ ।
मुझे अपने दोस्तों के साथ खेलना पसंद है।,ପିଜୁ ବାଇମାନେ ଚୌକିଙ୍ଗା ଭାଇକି ପଦୁ ।
स्कूल जाने के लिए तैयार हो जाओ।,ଇସ୍କୁଲ୍ ସାଲ୍‌ବା ସେଲୁ ତଲ ଆସୁ ।
मुझे भूतों की कहानियाँ सुनना अच्छा लगता है।,ଆନୁ ମାଆଲି କେରଣାକା ବେହବା ମନ ପାଇଁ ।
मछलियाँ पानी के अंदर रहती हैं।,ମିନୁ ସିରଲାଇ ରାହିଆନେ ।
हाथी बहुत मजबूत जानवर है।,ହାତିରଣ୍ଡେ ଡାଟାଗାଡ଼ି ଜଣୁ
हमें हवा को प्रदूषित नहीं करना चाहिए।,ଆ’ଜୁ ବିଲୁତିନି ମଇଲା ଗିବା କାତା ଆ’ଏ ।
आपकी पसंद-नापसंद क्या हैं?,ଆନାରାଆ ଇନୁ ମାଣ୍ଡିରି ଏଙ୍ଗା ମାଣ୍ଡାଆରି ?
मुझे समुद्र तट पर जाना पसंद है।,ଆନୁ ସମୁଦ୍ର କୁଡୁ ମେଃପା ମନ ଆଇ
नाश्ता दिन का सबसे महत्वपूर्ण भोजन होता है।,ଜଳକିଆ ଆଇନେ ରଣ୍ଡେ ମାଦେଙ୍ଗି ତାରି ଦରକାରୀ ତିନ୍‌ମ୍ବା ।
मुझे संगीत सुनना पसंद है।,ଆ’ନୁ ଗାଡ଼ିଙ୍ଗା ବେନ୍‌ବା ତିଙ୍ଗି ମାଣ୍ଡି ।
एक पैर पर फ्लेमिंगो खड़ा होता है।,ଲାମ୍ବା ଗାଟାରି ପଟା ର’ କାଡୁଡାଇ ତାକା ମୁନେ ।
मुझे चित्र बनाना और रंगना पसंद है।,ଆ’ନୁ ସିତ୍ର ଗିବା’ ଏଙ୍ଗା କଲରିଗିବା ମାଣ୍ଡି ।
मुझे पुरानी कहानी सुनना अच्छा लगता है।,ଆନୁ ପ୍ଲାତି କୋରଣ୍ଡି ବେଞ୍ଜିମାଇ ।
मुझे बगीचे में खेलना पसंद है।,ଆନୁ ବଗିଚାନି କାହା ଗାମେ ମାଣ୍ଡି ।
मुझे भविष्य के लिए खेलना है।,ଆନୁ ନକିସ୍ ଭବିଷ୍ୟତ ତିଙ୍ଗି କାହା ଦରକାରି ।
बंदर हाथ से लटक रहा है।,ମାକାଡ଼ି କାଜୁଡାଇ ଡଙ୍ଗୁ ଇଞ୍ଜାମାନେ ।
मुझे अपने दोस्तों के साथ खेलना पसंद है।,ଆନୁ ମାଇ ମାଏଞ୍ଜାରିକେଏ କାଉ ମନ ଆଇ
मुझे पार्क में घूमना पसंद है।,ଆନୁ ପାର୍କ ମେଃପା ମନ ଆଇ ।
मुझे ताजे फल खाना पसंद है।,ଆନୁ ନେଗି ପଲ ତିନ୍‌ବା ମାଣଡି ।
क्या आप मुझे अपनी उत्तर पुस्तिका दिखा सकते हैं?,ଇନୁ ନିଳାରୁ ଉତ୍ତର ଆକୁ ନା୍େ‌ଗ ତସ୍ତାଗୁ
मेरी पसंदीदा किताब हैरी पॉटर है।,ହ୍ୟାରି ପୋଟର ଆଇନେ ନାନ୍ଦେ ନେଗି ପୁତି ।
मुझे अपनी माँ के साथ खाना बनाना पसंद है।,ଆ’ନୁ ମାଇଁ ଇଆଙ୍ଗେ ପିଟକା ଗାଡ଼ିଗିବା ମାଣ୍ଡି ।
खाना खाने से पहले और बाद में हाथ धोएँ।,ମିଆ ବାକା ତିମ୍ବା ବେଲେ ବେଅଟି ନଗବୁ ।
भालू जंगल में रहता है।,ଅଲି ଗସାତାନି ରାହି ଆଇନେ ।
मैं सुबह जल्दी उठ जाता हूँ।,ଆନୁ ନାତିସେଏ ଜିଙ୍ଗିଇ ।
उन्होंने दीवार से तस्वीर हटा दी।,ଏଆଞ୍ଜୁ ଗୁଡାତାରିଆ ଚିତ୍ର ବେସିତେଞ୍ଜୁ
हिमालय दुनिया के सबसे ऊँचे पर्वत हैं।,ହିମାଳୟ ସବୁ ପୁର୍ତିତାନି ଗାମେ ଦେରି ସରୁ ।
मुझे चिड़ियाघर जाना पसंद है।,ଆ’ନୁ ଚିଡ଼ିଆକାନା ତ୍ରେବା ଗାମେ ମାଣ୍ଡି ।
मुझे शाम को फुटबॉल खेलना पसंद है।,ଆନୁ ବିଲାଡ଼ି ପେଣ୍ଡୁ କାହା ଗାମେ ମାଣ୍ଡି ।
हमें सार्वजनिक संपत्ति को नुकसान नहीं पहुंचाना चाहिए।,ଆ’ଜୁ ଲକୁତାରା ସମ୍ପତ୍ତି ନଷ୍ଟ ଗିବା କାତା ଆ’ଏ ।
एक गाय प्रतिदिन दो बाल्टी दूध देती है।,ରଣ୍ଡେ କଡ଼ି ଦିନେକା ରି ବାଲ୍‌ଟି ପାଡୁ ସିପକି ମାନେ ।
मैं स्वर्ग और पृथ्वी को हिला दूंगा।,ଆନୁ ସ୍ୱର୍ଗ ଏଙ୍ଗା ପୁର୍ତ୍ତିତାନିଇ ତ୍ରେଲ ।
मेरे पास एक पैसा भी नहीं है।,ନାଇ ବାହାର ପାଇ ବେଏ ସିଡ୍‌ଅ ।
हमें अपने शिक्षकों का सम्मान करना चाहिए।,ଆ’ଜୁ ଗୁରୁଜନ କୁରି ଜେଡ଼ାଗିବା କାତା ।
मुझे परियों की कहानियाँ पढ़ना पसंद है।,ଆନୁ କେରଣ୍ଡାକା ପତି ଆବା ସେଲୁ ମନ ଆଇ
हम दिल्ली के लिए आखिरी ट्रेन ले गए।,ଆମୁ ଦିଲ୍ଲୀ ସାଲବା ସେଲୁ ବେତିତାରି ଟ୍ରେନ୍ ଆଃତାମୁ ।
मुझे संगीत सुनना पसंद है।,ଜେବାନଆନା ଟୁପି ବ୍ଲାଉଡେକ ?
शेर जंगल का राजा है।,ସରୁତାରି ରାଜା ସିଂହ କାଡ୍‌ଡ଼ି ।
सैमुअल बातचीत करने के लिए टूट जाता है और हमें बताया?,ସାମୁଏଲ୍ କାତାନଇ ଲେକ୍‌ସାନାଇ କ୍ଲଷ୍ଣା ବେସ୍ତାତେଞ୍ଜୁ ।
मुझे सुबह जल्दी नहाना पसंद है।,ଆନୁ ଡାଇସିନେ ସିରିମିବା ମନ ପାଇଁ ।
पक्षी हर समय रोते रहते हैं।,ପଟାଙ୍ଗା ଏସେରବେଲାବେଏ ଡିଇମାନୁ ।
वह नदी कटैक में बहती है।,ଏରେ ଜଡ଼ି କଟକ ସିଆନା ସାଜିନେ ।
मेरे सबसे अच्छे दोस्त का नाम रवि है।,ନାଇଁ ନେଗି ତଡ଼େଞ୍ଜୁ ତାରି ପାଦା ରବି ।
खाना खाने से पहले हाथ धोएँ।,ତିନି ବେଲେଏ ନେଏ କାସ୍କା ନଗ୍‌ଦୁ ।
हमें आग से सावधान रहना चाहिए।,ଆ’ଜୁ ନାଡ଼ିତିଙ୍ଗେ କାହା କାତା ଆଏ ।
आपने कोई चिट्ठी नहीं लिखी।,ଇନୁ ଚିଠି ବ୍ରିସାଆତି ।
गाँधी जी को राष्ट्रपिता के रूप में जाना जाता है।,ଗାନ୍ଧିଜୀ ଜାତିତା ଆବା ଇଞ୍ଜାନା ଗାମେ ପରିଚିତ ।
आपके साथ कौन सहयोग करेगा?,ଏମ୍ବାଏ ନିଙ୍ଗେ ସହଯୋଗ ଗିଆନେଞ୍ଜୁ ?
हमें अपने आसपास हरियाली बनाए रखनी चाहिए।,ଆ’ଜୁ ମାନ୍ଦା ସାରିକାନି ପରିବେଶ ଜିବେଣୀଗିଆନା ଇଟା କାତା ।
इस समय मैं व्यस्त हूँ।,ଆନୁ ଇଦେଏ ବ୍ୟସ୍ତ ମାଇ
मुझे संग्रहालय जाना अच्छा लगता है।,ଆ’ନୁ ମିତ୍ତଜିଉ ତ୍ରେବା ଗାମେ ଗାମେ ଗାଣ୍ଡି ।
मेरे दादा मुझे रात में कहानियां सुनाते हैं।,ମାଇଁ ଜେଜେ ଆବା ନାଙ୍ଗେ ନାଡାଙ୍ଗି କେରଡି ବେସ୍‌ପି ଜ୍ଞାନେଞ୍ଜୁ ।
मुझे नाचना और गाना पसंद है।,"ଆ’ନୁ ଏନ୍ଦା ଗାଡ଼ିଏସା ଗାମେ, ମାଣଡି ।"
मुझे चिड़ियाघर जाना पसंद है।,ଆନୁ ଚିଡ଼ିଆଖାନା ମେଃପା ସେଲୁ ମାଣ୍ଡିଇ
बंदर पेड़ पर चढ़ सकता है।,ମାକଡ଼ା ମ୍ରାଃନୁ ସେଙ୍ଗା ସୁନେ
अनजान व्यक्ति के आने पर कुत्ता भौंकता है।,ଏସେଇ ଦେଲା ପୁକାନି ଲକୁ ଜାନେରୁ ନାକୁଡ଼ି ମୁସ୍‌କିନେ ।
मुझे मंदिर जाना पसंद है।,ଆନୁ ମନ୍ଦିର ମେଃପା ମନ ଆଇ
मोर का एक सुंदर नृत्य है।,ମେଲୁ ରଣ୍ଡେ ନେଗି ଏନ୍ଦିବାରି
हमें झूठ नहीं बोलना चाहिए।,ଆଜୁ ମାତ୍ରି ବେସ୍ପା କୁନ ।
मुझे पूल में तैरना पसंद है।,ଆନୁ ବନ୍ଦତା କ୍ରାହା ଗାମେ ମାଣ୍ଡି ।
मुझे प्रकृति की सैर पर जाना पसंद है।,ଆ’ନୁ ପ୍ରକୃତଡାଇ ତାକି ତାକି ସାଲବା ମାଣ୍ଡି ।
मुझे अपने बच्चों के साथ खेलना अच्छा लगता है।,ଆନୁ ନାଇ ମିତାକାନ୍‌୍େ‌ଗ କାହିଲ ।
मोर हमारा राष्ट्रीय पक्षी है।,ମେ'ଲୁ ଆଇନେ ମାଇଁ ଜାତୀୟ ପଟା ।
बंदर बहुत मज़ेदार जानवर है।,ମାକ୍‌ଡା ରଣ୍ଡେ ମଜାତାରି ଜତ
सुबह सूरज चमकता है।,ବେଲା ସକାଲେଏ ଅସଦେ
शेर जंगल का राजा है।,ସିଂହି ଆଇନେ ସରୁତାରି ରାଜା ।
मैं अपने स्तर पर कोशिश करूंगी।,ଆନୁ ନାଇ ସୁନିତେସିଏ ଚେଷ୍ଟା ଜଇ ।
हमें अपने स्वास्थ्य का ध्यान रखना चाहिए।,ଆ’ଜୁ ମାନ୍ଦାରା ସ୍ୱାସ୍ଥ୍ୟ ସାଞ୍ଜାନା ଇଟାକାତା ।
बंदर एक बहुत ही चंचल जानवर है।,ମାକାଡ଼ି ଗାମେ କାହା ଗାଟାରି ।
मुझे समुद्र में घूमना पसंद है।,ଆନୁ ସମୁଦ୍ର ମେଃପା ମନ ଆଇ
मैं अपनी माँ से कुछ पैसे उधार लेता हूँ।,ଆନୁ ନାଇ ଆୟାନିଇ-ଇକନି ଡାବୁଙ୍ଗା ଜାତେଏ ।
"तुम जानते हो, मैं तुमसे बहुत प्यार करता हूँ।",ଇନୁ ପୁଞ୍ଜାମାଞ୍ଜି ଆନୁ ନିଙ୍ଗେ ଗାମେଏ ମନ ଆରଞ୍ଜାଇ ।
जिराफ की गर्दन लंबी होती है।,ଜିରାପ ତାରି ଲାମ୍ବା ବଟ ।
मैं भगवान जगन्नाथ को देखना चाहता हूँ।,ଆନୁ ପେନୁ ଜଗନ୍ନାଥ ନି ମେହପା ମନ ଆଇସାଇଁ ।
मैं आपके लिए क्या कर सकता हूँ?,ନି ସେଲୁ ଆନାଆ ଗିବା ସୁଇ ?
कंगारू अपने बच्चे को एक थैली में ले जाता है।,କଙ୍ଗାରୁ ତାଡ଼ା ମିଡାନି ର ମର୍ଣ୍ଣିତା ଇଝାନା ତ୍ରେହିପିଦିନେ ।
कंगारू ऑस्ट्रेलिया में पाया जाता है।,ଅଷ୍ଟ୍ରେଲିଆ ତା କଙ୍ଗାରୁ ଜତୁ ନା’ନୁ ।
मेंढक पानी और जमीन दोनों में रहता है।,ପାନା ନେତେ ଏଙ୍ଗା ସିରୁତା ରାହି ଆନେ ।
मुझे बारिश में खेलना पसंद है।,ଆ’ନୁ ପିଜୁତା କାହା ମାଣ୍ଡି ।
मुझे परियों की कहानियाँ पढ़ना पसंद है।,ଆନୁ ମଜାଗାଟାରି କାତା ପଡ଼ିଆବା ମାଣ୍ଡି ।
मुझे भारतीयों की कहानियाँ पढ़ना पसंद है।,ଆନୁ ଭାରତ ଲକୁରିଆ କେରଣି ପଡ଼ିଆବା ମନ ପାଇଁ ।
कछुए में एक कठोर कवच होता है।,ସେମ୍ବିନା’ର ଡାଟା ଡାକୁଡି ମାନେ ।
तुम मुझसे क्या चाहते हो?,ଇନୁ ନାଇ ବାହାଡାଇ ଆନାଆ ମାଟ୍‌କିଞ୍ଜି ।
हमें हमेशा समय पर रहना चाहिए।,ଆ’ଜୁ ସଦାବେଳେ ନେଗି ସୟମତା ରାହିଆବା କାତା ।
कमल हमारा राष्ट्रीय फूल है।,ମାଇଁ ଦାଢିତା’ରି ପୁବୁ ଆଇନେ ପଦ୍ମ ।
भारत की राजधानी नई दिल्ली है।,ମାଇଁ ଦେଶ ତା’ରି ରାଜଧାନି ଆଇନେ ନୂଆଦିଲ୍ଲୀ
हम सभी के प्रति दयालु होना चाहिए।,ଆ’ମୁ ଗୁଲେ ଲକୁରି ନେଗି ଏଲୁଗିବା କାତା ।
मुहर एक गेंद को उसकी नाक पर संतुलित कर सकती है।,ଓିଲ୍‌ମିନୁ ତାଡ଼ା ସୁଙ୍ଗେଲିଆ ବଲ୍ ଇଟା ମୁନେ ।
डॉल्फिन एक दोस्ताना समुद्री प्राणी है।,ଡଲଫିନ୍ ରଣ୍ଡେ ତଡ଼େଞ୍ଜା ଡେଃଙ୍ଗି ସମୁଦ୍ର ଜତୁ ।
मुझे फुटबॉल खेलते देखना पसंद है।,ଆନୁ ଫୁଟବଲ୍ କାହା ମନ ଥାଇ
