Hindi,Kui_Odia
खरगोश एक प्यारा जानवर है।,ମାଡ୍‌ତୁ ଗାମେ ସାଞ୍ଜାନି ଜତ ।
मुझे पार्क में घूमना पसंद है।,ଆନୁ ପାର୍କ ମେଃପା ମନ ଆଇ
हमिंगबर्ड हवा के बीच में घूम सकता है।,ଔମିଙ୍ଗ ପଟା ଗାମେ ସେଣ୍ଡକି ଭଡା ମୁନେ ।
शेर जंगल का राजा है।,ସିଂହ ଗହାତାରି ରାଜା ।
क्या आप हवाई अड्डे पर परिवहन की व्यवस्था कर सकते हैं?,ଉଡ଼ାଜାହାଜ ପଟିଆ ସାଲବା ଆନାଆ ବ୍ୟବସ୍ଥା ଗିଆତ୍ମି ?
मुझे वन्यजीव वृत्तचित्र देखना पसंद है।,ଆ’ନୁ ଆଡ଼େନା ଜତଙ୍ଗା କାଗଜପତ୍ର ମେଃପା ମାଣ୍ଡି
सारस की गर्दन लंबी होती है।,ବଗନାରୀ ରଣ୍ଡେ ଲେମ୍ବା ଡକା ମାନେ ।
मैं बाजार से एक चमगादड़ लाता हूँ।,ଆନୁ ଆଟାଡାଇ ବେଟ୍ ତାତେଏ ।
मुझे सी. एम. व्यवस्था देखना पसंद है।,ଆନୁ ମୁଖ୍ୟମ୫ୀ ବ୍ୟବସ୍ଥା ତୟଃସାତିଙ୍ଗି ଏଲୁ ଆଇମାଇଁ ।
भालू खरगोश से बहुत मजबूत होता है।,ମାଡ୍‌ଡୁ ବାଗା ଅଲି ଗାମେଏ ଡାଟା ଆନେ
वे जल्दी ऑफिस चले जाते थे।,ଏଆରୁ ଉତେଏ ଅଫିସ୍ ତାଙ୍ଗି ସାସେରୁ
बैठक में हमें चुप रहना चाहिए।,ମାଙ୍ଗେ ମିଟିଙ୍ଗ୍ ତାନି ପାଁଗନା ରହିଆନା ଦିନେ ।
जब डॉक्टर ने उसे बताया तो वह आदमी रो पड़ा?,ଏ ସରି ଦେଲା ଡାକ୍ତର ବେସ୍ତେଞ୍ଜୁ ଏଆଇଞ୍ଜିରି ଜେଡା ଲେଗିତେ / ଜେଲା ସାକ୍‌ଡ୍‌ଆଡ଼େ ।
मोर एक सुंदर पक्षी है।,ମେଲୁ ରଣ୍ଡେ ସାଞ୍ଜନାରି ପଟା ।
मैं नहाने के लिए तौलिया ले जाऊँगा।,ଆନୁ ଗାମ୍‌ସା ଅଇଁ ସିର ମିବା ତିଙ୍ଗି ।
स्टारफिश समुद्र में रहती है।,ସୁକାଗାଟାରି ମିନୁ ସମୁଦ୍ରତାନି ରାହିଆଇନେ ।
रात में चाँद चमकता है।,ଡାଞ୍ଜୁ ନାନାଙ୍ଗି ନେଗି ଉଜାଡ଼ି ଆଇନେ ।
स्कूल में मेरे कई दोस्त हैं।,ଇସ୍କୁଲିଆ ଗାମେ ତଡ଼େଙ୍ଗା ମାନେରୁ ।
कल तापमान में गिरावट आएगी।,ବିଏ କାଳନି କଗିନେ ।
मुझे अपनी बहन के साथ खेलना पसंद है।,ଆବୁ ନାଇ ଆପିଙ୍ଗେ କାହାତିଙ୍ଗି ମନ ଆଇଁ ।
बतख पानी में तैरती है।,ଅବତକଙ୍ଗା ସିରୁତା ପହଁରି ଆଇନୁ ।
मुझे पर्यटन स्थल जाना पसंद है।,ଆନୁ ମେଃପା ଆଗନି ବାହା ତ୍ରେନା ମନ ଆର
मैं गुरुवार को गैर-शाकाहारी नहीं खाता।,ଆନୁ ମଙ୍ଗଳବାରା ଆଇଁସ ଡିନେନୁ ।
वह टॉम के साथ फ़िल्म देखने गई थी।,ଏରେ ଟସ କେଏ ଫିଲିମ୍ ମେଃପା ସାସେ ।
मुझे नई-नई चीजें सीखना पसंद है।,ଆ’ନୁ ପୁନାରା କାତା ଗ୍ରାମ୍ବା ଗାମେ ମାଣ୍ଡି ।
मुझे पार्क में घूमना पसंद है।,ନବୀନ ପଟ୍ଟନାୟକ ମାଇ ମୁଖ୍ୟମ୫ୀ ।
जिराफ की गर्दन लंबी होती है।,ଏବାରୁ ଏମ୍ବାଆ ରାହିଆଗାନେରୁ ।
इसके लिए हमें जिम्मेदार होना चाहिए।,ଆଜୁ ଆରାଡ଼ିକି ଦାୟୀ ଆନା ।
हमें अपने करियर के बारे में जिम्मेदार होना चाहिए।,ଆୁ ମାଇ କାମା ପ୍ରତି ଦାୟିତ୍ୱ ଆବା ଦରକାର ।
हमें पक्षियों के प्रति दयालु होना चाहिए।,ଆଜୁ ପଟାଙ୍ଗାନି ଜେଡାଗିବା ଦିନେ ।
मैं अपना काम करना चाहता हूँ।,ଆନୁ ନାନ୍ଦାରା ପାଇଟି ଗିବାତାଙ୍ଗି ମାଣ୍ଡି ।
कुत्ता पूल में कूद रहा है।,ହାକୁଡ଼ି ଗୁଡ୍‌ଦୁତା ଡେଗାଇବେ ।
जिराफ की जीभ लंबी होती है।,ଜିରାଫ୍ ତାରି ବାଙ୍ଗସି ଲାମ୍ବା ।
मेरा भाई मुझसे लंबा है।,ନାଇ ଦାଦା ନାଇ ସେଲୁ ଗାପ୍‌ସି ବାତି ଆଜାନେଞ୍ଜୁ ।
हमें अपने आस-पास साफ-सफाई रखनी चाहिए।,ମାଇଁ ପରିବେଶ ତିନି ସାପା ଇଟିନା ।
हमें अपने दोस्तों के साथ ईमानदार रहना चाहिए।,ଆ’ମୁ ମାଇଁ ତଡ଼େଙ୍ଗାନ୍‌କେ ପାଡ୍‌ନା ରାହିଆବା କାତା ।
पक्षी पेड़ पर रह रहे हैं।,ମ୍ରାଃହୁଣ୍ଡି ତାନି ପଟାଙ୍ଗା ରାହି ଆଇବ ।
हमें दूसरों का सम्मान करना चाहिए।,ଆଜୁ ଲକୁରିଇ ସଦ୍ଭାନ ସିବା ଦରକାରି ।
कुत्ता बहुत देर तक भौंकता रहा।,ବାକୁଡ଼ି ଗାମେ ଚେଲି ମୁସ୍‌କିତେ ।
हमें अपने कार्यों के प्रति सचेत रहना चाहिए।,ଆ’ଜୁ ମାନ୍ଦାରା କାମା ସେଲୁ ଏଲୁ ଗିବା କାତା ।
मुझे समुद्र तट पर जाना पसंद है।,ଆନୁ ସୁମଦ୍ର କୁଡୁ ମେଃପା ମାଣ୍ଡଇ ।
मैदानी क्षेत्र दो घंटे में उड़ान भरेगा।,ଦୁଇ ଘଣ୍ଟା ଭିତରେ ଉଡ଼ାଜାହାଜ ବାନେ ।
मुझे पार्क में घूमना पसंद है।,ଆନୁ ପାର୍କ ମେଃପା ମନ ପାଇଁ ।
कंगारू बहुत ऊँची छलांग लगा सकता है।,କଙ୍ଗାରୁ ଗାମେ ଦୁରାକି ଡେଗା ସୁନେ ।
मुझे नए दोस्त बनाना पसंद है।,ଆ’ନୁ ପୁନି ସମ୍ପର୍କ ଗିଦବା ମାଣ୍ଡି ।
हम इसे अंग्रेजी में क्या कहते हैं?,ଇରାଆ ଇଂରାଜୀ ଡାଇ ଆନାଆ ଇନ୍‌ମ୍ବା ଆବେ ?
हमें राष्ट्रगान का सम्मान करना चाहिए।,ଆ’ଜୁ ଜାତୀୟ ଗାଡ଼ି ତିନି ସଦ୍ଭାନ ସିବା କାତା ।
पेंगुइन एक ऐसा पक्षी है जो उड़ नहीं सकता।,"ପେଙ୍ଗୁଇନ୍ ରଣ୍ଡେ ପଟା, ଏଙ୍‌ଗା ଉଡଶ ମୁ’ଏ"
मुझे संगीत सुनना और नृत्य करना पसंद है।,ଆନୁ ଗାଣିଙ୍ଗା ବେନ୍‌ବା ଏଃଙ୍ଗା ଏନ୍ଦା ବେଙ୍ଗା ମଜାଶିଇଁ ।
हमें प्लास्टिक के बजाय कपड़े के थैलों का उपयोग करना चाहिए।,ଆ’ସୁ ପ୍ଲାଷ୍ଟିକ ମଣି କୁଆନା ସିଣ୍ଡାଙ୍ଗା ମଣ୍ଡି ଆଃପିନାମୁ ।
"जब भी मैं उनसे मिलता हूं, वह मुझे एक नई कहानी बताती हैं।","ଆନୁ ଏସେରି ବେଲା ଏରାନିଇ ପୁଣ୍‌ଡିତେଏ, ଏରେ ପୁନାରାଆ କେରଣ୍ଡି ବେସ୍ତାତେ ।"
कल मेरी माँ ने स्वादिष्ट खाना बनाया।,ନାଇ ଆୟା ରିଇସି ନେଗି ତିନମ୍ବା ବାଜାସେ
मेंढक पानी और जमीन पर रहता है।,ପାନା ସିରୁତା ଏଙ୍ଗା ଆଡ଼ ବେ ବାସା ଆବା ମୁନେ ।
सूर्य पूर्व में उगता है।,ମାଙ୍ଗେ ଯତ୍ନଶିଳ ଆବା ଦିନ
मैं दुनिया का सबसे अमीर व्यक्ति कैसे बन सकता हूँ?,ଇ ପୁର୍ତ୍ତିତାନି ଆନୁ ଇସିଙ୍ଗି ପାତ୍ରେ ଆବା ମୁଇ ?
मुझे अपने पिता के साथ शतरंज खेलना पसंद है।,ଆନୁ ମାଇ ଆ’ବା କେ ଚେସ୍ କାହାଗାମେ ମାଣ୍ଡି ।
कुत्ता कूद गया और गेंद को पकड़ लिया।,ନାକୁଡ଼ି ଡେଗିତେ ଏଙ୍ଗା ବଲ ଆହୁତେ ।
कौआ बहुत बुद्धिमान पक्षी है।,କା’କା ଉଣ୍ଡେ ଚାଲାକି ପଟା ।
सूर्य पूर्व से उगता है।,ବେଲା ପୂର୍ବ ବିଗଡାଇ ସୁଃତାନେ ।
गैंडे की नाक पर एक सींग होता है।,ଗଣ୍ଡା ଜତୁନି ସୁଙ୍ଗେଲି ସିଡିଟି କ’ଜୁ ମାନେ ।
मुझे झरने की यात्रा करना पसंद है।,ଆନୁ ଲୁଦୁ ମେଃପା ମାଣ୍ଡିଇ
हमें अपने शहर को साफ रखना चाहिए।,ଆ’ଜୁ ସହର ସାପା ଗିବା କାତା ।
हमें एक तरह का जानवर होना चाहिए।,ଆଜୁ ଜତଙ୍ଗାନି ଜେତା ଗିବା ଦିନେ
ग्रीष्म ऋतु वर्ष का सबसे गर्म मौसम होता है।,କାରା ଡେଲି ଆଇନେ ଗାମେ କାନ୍ଦିନାରି ଋତୁର ବାସାରିତାଙ୍ଗି ।
भारतीय सेना हमारे देश की रक्षा करती है।,ମାଇଁ ଦେଶତା ମାନାରୁ ସେନା ଲକୁ ଦେଶ ରକ୍ଷା ଗିପିନେରୁ
मुझे त्योहारों के दौरान पारंपरिक कपड़े पहनना पसंद है।,ପର୍ବ ଆନି ବେଲାଆନୁ ସାଜାନା ପୁସାଚ୍ଛ ସଡ଼ପା ଗାମେ ମାଣ୍ଡି ।
मुझे परियों की कहानियाँ पढ़ना पसंद है।,ଆନୁ କେରଣ୍ଡି ପଡ଼ିଆବା ମାଣ୍ଡିଇ ।
हमें सभी का सम्मान करना चाहिए।,ଆ’ଜୁ ପୁଲେ ଲକୁରି ଜେଡ଼ା ଗିବା କାତା ।
मुझे अपने दोस्तों के साथ खेलना पसंद है।,ଆ’ନୁ ମାଇଁ ସାଙ୍ଗ/ତଡ଼େକେ କାହା ମାଣ୍ଡି ।
वह पहाड़ी की चोटी पर चढ़ गया।,ଏଆଞ୍ଜୁ ସରୁ ସେଣ୍ଡ ସେଙ୍ଗା ସେଞ୍ଜୁ ?
मैंने गलती से आपकी कलम ले ली।,ନାଇ ପୁନାରାଏ ନନ୍ଦାରାଆ କଲମ ଅଆ ମାସେଏ ।
हमें अपने काम में ईमानदार होना चाहिए।,ଆ’ଜୁ ମାନ୍ଦାର କାମା ନେଗିଡ଼ାଇ ଗିବା କାତା ।
सूर्य मंदिर कोणार्क में है।,ସୂର୍ଯ୍ୟ ମନ୍ଦିର କୋଣାର୍କ ତା’ ମାନେ ।
बिल्ली एक बहुत ही जिज्ञासु जानवर है।,ମେ'ଅ ରଣ୍ଡେ ଗାମେ କ୍ରାହା ଗାଟାରି ।
मुझे पार्क की तस्वीर लेना पसंद है।,ଆନୁ ପାର୍କ ତା’ରାଆ ଫୋଟ ରୁଣ୍ଡା ନିକିପାତିଙ୍ଗି ମନ ଆଇମାଇ
मुझे रात में सितारे देखना पसंद है।,ଆ’ନୁ ବାଡାଙ୍ଗି ସୁକାଙ୍ଗା ମେଃପା ମାଣ୍ଡି ।
आपने यह मोबाइल कब खरीदा?,ଇନୁ ଇ ମୋବାଇଲ୍ ଏସେକା କଚିଡି ?
मुझे कहानियाँ लिखना पसंद है।,ଆନୁ କେରଣ୍ଡି ବ୍ରିସା ମାଣ୍ଡିଇ ।
सूर्य पूर्व में उगता है।,ଆନୁ ଗୁଲେ ବାତିସି ପ୍ରାର୍ଥନା ଗିଇ ।
मुझे बगीचे में खेलना पसंद है।,ଆ’ନୁ ବଗିଚାୱାନି କାହା ଗାମେ ମାଣ୍ଡି ।
मुझे अपने बगीचे में पेड़ लगाना पसंद है।,ଆ’ନୁ ବାଡ଼ାତ ମ୍ରାଃକା ଉହା ଗାମେ ମାଣ୍ଡି ।
मुझे अपने खिलौनों के साथ खेलना पसंद है।,ଆ’ନୁ ନାଇଁ ଖେଳନାତିଙ୍ଗେ କାହା ମାଣ୍ଡି ।
कुत्ता एक वफादार जानवर है।,ନାହୁଡ଼ି ରଣ୍ଡେ ବିଶ୍ୱସ୍ତ ଜତ ।
हाथी का तना लंबा और काला होता है।,ହାତି ନିନ୍ଦି କାଜୁ ଲାମ୍ବା ଗାଟାରି ଏଙ୍ଗା କାଲିଗାଟାରି
चींटी एक मेहनती कीट है।,ତୁଣ୍ଡୁଡ଼ି ରଣ୍ଡେ ଗାମେ କାରିଆରି ପିଡ୍‌ଉ ।
हाथी एक शक्तिशाली जानवर है।,ହାତୀ ରଣ୍ଡେ ଗା’ମେ ଡାଟାଗାଟାରି ଜତୁ ।
मुझे समुद्र तट पर जाना पसंद है।,ମିଡାଙ୍ଗାଣ୍ଡେରୁ ପେଣ୍ଡୁ ଢଗାଟୁ ।
हमें अपने पर्यावरण का ध्यान रखना चाहिए।,ଆଜୁ ମାଇଁ ପରିବେଶ ତିନି ନେଗି ଲପ୍‌କା କାତା ।
हमें सार्वजनिक स्थानों पर धूम्रपान नहीं करना चाहिए।,ଦାଲା ଲକୁନାଡା ବିଡିଙ୍ଗା ଉନ୍‌ବା କାତା ଆଏ ।
हमें ईमानदार और अद्भुत होना चाहिए।,ଆଜୁ ସତ ଆବା କାତା ଏଃଙ୍ଗା କାମାଲକୁ ।
मुझे अपने दोस्तों के साथ क्रिकेट खेलना पसंद है।,ଆ’ନୁ ତଡ଼େ ମାହେଞ୍ଜାକେ ମିଶା ଆଦାନା କ୍ରିକେଟ୍ କାହା ମାଣ୍ଡି
सूर्य पूर्व में उगता है।,ବେ’ଲା ପୂର୍ବ ବି ଗଡାଇ ସଡ୍‌ପିନେ ।
हमें पूरी तरह से पानी पीना चाहिए।,ଆନୁ ସିରିଅ ଦରକାର ହିସାବସାଇ ଉନ୍‌କା କାତା ।
मुझे संग्रहालय जाना पसंद है।,ଆଜୁ ମିଉଜିଅମ୍ ମେଃପା ମନପାଇଁ ।
मोर का एक सुंदर नृत्य है।,ମେଲୁ ଡ଼ିଆହ ଏନ୍ଦିନେ ।
मुझे अपने पालतू जानवर के साथ खेलना पसंद है।,ଆ’ନୁ ପହିଗିଆନା ନାକୁଡିଙ୍ଗେ କାହା ମାଣ୍ଡି ।
कल मैं अपने बचपन के एक दोस्त से मिला।,ଆନୁ ରିଇସି ମିତାଡେଲି ତତ୍‌ଞ୍ଜିଇ ପୁଣ୍ଡ।।ମାସେଏ ।
मैं एक महान व्यक्ति बनूंगा।,ଆନୁ ଦିନେକା ବେଡାବୁ ଲୁକୁ ଆଇଁ ।
कुर्सी लकड़ी से बनी है।,କୁର୍ସି ବେସ୍କାଡାଇ ଗାଡ଼ି ଗିବା ଆଜାସେ ।
जिराफ एक लंबा जानवर है।,ଜିରାପ ରଣ୍ଡେ ବାଡ଼ି ଗାଯି ଜତ ।
मुझे कला और शिल्प करना पसंद है।,ଆ’ନୁ ସିତ୍ରା ଏଭ୍‌ଗା ଅସାଅସି ନେଗି ମାଣ୍ଡି ।
"यह करना मुश्किल था, लेकिन उन्होंने इसे बहुत अच्छी तरह से किया।","ଇରେ ଗାମେଏ ଡାଃନାରି ମାସେ, ଆତେକାବ୍ୟେ ଏଆଞ୍ଜୁ ନେକାଡାଇ ଗିତେଞ୍ଜୁ ।"
जिराफ की गर्दन लंबी होती है।,ଜିରାପ ନାରି ଲାମ୍ବା ଡକା ମାନେ ।
आम फलों का राजा है।,ଉାହା ଆଇନେ ପଲ ଙ୍ଗାଣ୍ଡାରି ରାଜା ।
हमें हमेशा जानवरों के प्रति दयालु होना चाहिए।,ଆଜୁ ସବୁଦିନା ଜତଜ୍ଞାନି ଜେଡ଼ା ଗିବା କାତା
मुझे प्रतियोगिता में भाग लेना पसंद है।,ଆନୁ
हमें जंगली जानवरों को बचाना चाहिए।,ଆନୁ ଗସା ଜତଙ୍ଗାନି ରକ୍ଷାଗିବା କାତା ।
मुझे पार्क में जाना अच्छा लगता है।,ଆ’ନୁ ପାର୍କ ତ୍ରେବା ମାଣ୍ଡି ।
आप अभी यहाँ क्या कर सकते हैं?,ଇନୁ ଇବେ ଆନା ବେନମ୍ବା ମୁତି ?
मैं अपने लिए जूतों की एक नई जोड़ी लाया।,ଆନ ନାଇ ସେଲୁ ଜୁଣଙ୍ଗା ରହଳି କଡିତେଏ
आखिरी बार आपने क्या खाया था?,ନି ବାଜା ସାସି ତିନ୍‌ବା ଆନାରି ମାସେ ?
मुझे अपने दोस्तों के साथ खेलना अच्छा लगता है।,ଆନୁ ବାର ତଡ଼େଙ୍ଗାନ୍‌ଙ୍ଗେ କାହା ମନ ଆଇ
मुझे सेनाओं की कहानियाँ सुनना पसंद है।,ଆନୁ ଆର୍ମିଙ୍ଗାଦାରା କେରଣିଙ୍ଗା ଦେନବା ମନ ଆଇଁ ।
जिराफ की गर्दन लंबी होती है।,ଜିରାପ ନାରି ଲାମ୍ବା ଡକା ମାନେ ।
मुझे समुद्र तट पर जाना पसंद है।,ନାଙ୍ଗେ ସମୁଦ୍ର କୁଡୁ ତ୍ରେବା ଗା’ମେ ମାଣ୍ଡାରାନେ ।
हमें दूसरों की परवाह करनी चाहिए।,ଆ’ଜୁ ବେଗାଲି ଲକୁବାଗାବେ ଜାଗ୍ରତ ଆବା କାତା ।
हमें जानवरों के प्रति दयालु होना चाहिए।,ଆ’ଜୁ ଜତୁଙ୍ଗାନି ଜେଡା ଗିବା କାତା ।
गंगा भारत की एक पवित्र नदी है।,ଗଙ୍ଗା ଆଇନେ ରଣ୍ଡେ ପବିତ୍ର ଜଡ଼ି ।
ऊँट को रेगिस्तान के जहाज के रूप में जाना जाता है।,ଉଟ ଆଇନେ ମରୁଭୂମିତାରି ଜାହାଜ ।
मुझे अपने दादा-दादी से मिलना पसंद है।,ଆ’ନୁ ମାଇଁ ଜେଜେ ଆବାଇ ପୁଣ୍ଡାତାଙ୍ଗି ଗାମେ ମା’ଣ୍ଡି ।
मुझे अपने खिलौनों के साथ खेलना पसंद है।,ଆନୁ ନାଇ ପୁଡଲା୍‌ଗାନ୍‌ଙ୍ଗେ କାହା ମନ ଆଇ
बाघ हमारा राष्ट्रीय पशु है।,"କଡାଣ୍ଡି ଆଇନେ, ମାନ୍ଦେ, ଜାତୀୟ ଜତ ।"
मछली जमीन पर कूद रही है।,ମିନୁ ଟାଣା କୁଇଡି ଡେଟ୍‌କାଇ ମାନେ ।
रविवार को कौन सी तारीख पड़ती है?,ଋବିବାର ଏସେ ତାରିଖ ଦିପ୍‌କିନେ ?
बतख तालाब में तैरती रही।,ବତକ ବାନ୍ଦାତା ପହେରି ଆତେ ।
चूहा बिल्ली से डरता है।,ଅରିଇ ମେଅନିଇ ଆଜିତେ ।
हाथी का तना लंबा होता है।,ଆତୀନାରୀ ରଣ୍ଡେ ଲାମ୍ବା କା’ଜୁ ମାନେ ।
मैं आपके लिए क्या कर सकता हूँ?,ଆନୁ ନି ସେଲୁ ଆନା ଗିବା ସୁଇ
आपके घर में क्या पकाया जाता है?,ମିପେ ନେଞ୍ଜୁ ଆନିତାଆ ବାଜାଞ୍ଜୋରୁ ?
अलीशा ने रात के खाने के बाद थाली धो ली।,ଆରିସା ତିନମ୍ବା ବେଅଟି ତାଲିଙ୍ଗା ନଗଦେ ।
हमें किसानों का सम्मान करना चाहिए।,ଆଜୁ ତାଷା ଗିନିଲକୁରିଇ ସଦ୍ଭାନ ସିବାକାତା ମା ।
विद्यालय का फर्श बहुत साफ है।,ଇସ୍ପୁଲନାରି ଝାଡ଼ା ପାଗେଏ ସଫା ଆଜାନା ମାନେ ।
मुझे अपने खिलौनों के साथ खेलना पसंद है।,ପୁବିଲିଆ ବଡ଼ିଆ ତଞ୍ଜିବେ ।
हमें आंदोलन करना चाहिए।,ଆଜୁ ଦ୍ରେବାଡିଙ୍ଗି ସାନା ।
मैं शहर कैसे जा सकता हूँ?,ଆନୁ ଇସିଙ୍ଗି ସହରତାଙ୍ଗି ସାରବା ସୁଇ ।
रूस में सर्दियों में बहुत बर्फबारी होती है।,ପେନି ଡେଲି ତାନି ରୁଷିଆ ତାବି ବରଫ ଦିନେ ।
हमें बड़ों का सम्मान करना चाहिए।,ମାଇ ବେରି ଲକୁରିଇ ସଦ୍ଭାନ ସିନା ଲୁଡ଼ା ।
भारतीय क्रिकेट टीम बहुत प्रतिभाशाली है।,ଭାରତୀୟ କ୍ରିକେଟ୍ କାହାରାକା ଗାମେ ଡାଟାଗାଟାକା ।
भेड़ें मैदान में घास पर चर रही थीं।,ମେଣ୍ଡି ପାଙ୍ଗାତା ସଲା ଚିଞ୍ଜିନେ ।
हमारे पास नकदी प्रवाह की समस्या है।,ଟାକା ଡାବୁ ତାନି ଊ୪୪୮ ଆଇନାମୁ ।
आपने मुझे शर्मसार कर दिया है।,ଇନୁ ନାଙ୍ଗି ଲଜା ପାଡବା ଗିଆତି ।
हाथी का तना लंबा होता है।,ଆତି ନାରି ଲାମ୍ବା ଶୁଣ୍ଡ ମାନେ ।
चीता सबसे तेज भूमि पशु है।,ଗା’ମେ ସାଡ଼ା ପିଞ୍ଜନାରି କାଡ୍‌ଲି ଆଇନେ କାଲି କାଡ୍‌ଣ୍ଡି ।
ताजमहल आगरा में है।,ତାଜ ମହାଲ୍ ଆଗ୍ରାତା ମାନେ ।
मेरी स्कूल की वर्दी नीली और सफेद है।,"ମାଇଁ ଇସ୍କୁଲ୍ ଢାଇ ଅଙ୍ଗି, ଜଙ୍ଗିଆଙ୍ଗା କଲରି ଆଇନେ ଲଙ୍ଗି, ଏଙ୍ଗାସିଲି ।"
मुझे पार्क में साइकिल चलाना पसंद है।,ଆ’ନୁ ସାଇକେଲ୍ / ମୁନ୍‌ଗାଡ଼ି ପାର୍କତା ଚଲେଇଗିବା ମାଣ୍ଡି
मुझे तालाब में नहाना पसंद है।,ଆନୁ ବାନ୍ଦାତା ମିନା ମାଣ୍ଡିର
मेरे स्कूल में एक बड़ा खेल का मैदान है।,ମାଇଁ ଇସ୍କୁଲିଆ ରଣ୍ଡେ ଦେରି କାହିନାରି ପଡ଼ିଆ ମାନେ ।
हमारे सौर मंडल में सबसे छोटा ग्रह कौन सा है?,ଇ ସୌରଜଗତ ତାନିଇ କପାରି ଗ୍ରହ ଆନାରି ?
मुझे पिकनिक पर जाना पसंद है।,ଆ’ନୁ ବଣ ବିଜି ଗିବା ସେଲୁ ମାଣ୍ଡି ।
हमें अपनी कक्षाओं को साफ रखना चाहिए।,ଆ’ଜୁ କ୍ଲାସ ରୁମ୍ ସେମା କାତା ।
दैनिक व्यायाम आपको स्वस्थ और चुस्त बनाता है।,ନେକେରି ବ୍ୟାୟାମ୍ ଯିବା ନିଙ୍ଗେ ଫିଟ୍ ଏଙ୍ଗା ସୁସ୍ଥ ଭଟାରାନେ ।
मेरे पास मोटू नाम का एक कुत्ता है।,ମଟୁ ପାଦାତାରି ନାକୁଡ଼ି ନାଳେ ମାନେ
मेरे पिता एक कार्यालय में काम करते हैं।,ମାଇଁ ଆ’ବା ର’ ଅଫିସ୍ ତା ପାଇଟି ଗିପିନେଞ୍ଜୁ ।
उल्लू अंधेरे में देख सकता है।,ଗୁଞ୍ଜି ନାଡ଼ାଙ୍ଗି କାନ୍‌ଙ୍ଗା ମେଃ ଏନେ ।
क्या आपने अपना गृहकार्य पूरा नहीं किया?,ଇନୁ ବିନ୍ଦାର ଇଜପାଇଟି ଗିଆତି ।
मुझे बगीचे में खेलना पसंद है।,ଆନୁ ବଗିଚାତାନି କାହା ମାଣ୍ଡଇ ।
जिराफ की जीभ लंबी होती है।,ସା ଇଟାଡାଇ କୁଡୁ ନିକନା ।
मुझे मिट्टी से खेलना पसंद है।,ଆ’ନୁ ବିରାତା କାହା ଗାମେ ମାଣ୍ଡି ।
इसके लिए हमें जिम्मेदार होना चाहिए।,ଆଜୁ ଇ ବିଷୟପରା ଦାୟୀତ୍ୱ ଅବା କାତାମା ।
