Hindi,Santali
"उच्च शिक्षा के प्रमुख संस्थान एन. आई. टी. श्रीनगर, आई. आई. टी. जम्मू, आई. आई. एम. जम्मू, एन. आई. एफ. टी. श्रीनगर और आई. एच. एम. श्रीनगर हैं।","ᱞᱟᱯᱷᱟᱝ ᱥᱮᱪᱮᱫ ᱨᱮᱭᱟᱜ ᱢᱩᱬᱩᱫ ᱟᱥᱲᱟ ᱠᱚᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱮᱱ ᱟᱭ ᱴᱤ ᱥᱨᱤᱱᱚᱜᱚᱨ, ᱟᱭ ᱟᱭ ᱴᱤ ᱡᱚᱢᱢᱩ, ᱟᱭ ᱟᱭ ᱴᱤ ᱡᱚᱢᱢᱩ, ᱮᱱ ᱟᱭ ᱮᱯᱷ ᱴᱤ ᱥᱨᱤᱱᱚᱜᱚᱨ, ᱟᱨ ᱟᱭ ᱮᱭᱤᱪ ᱮᱢ ᱥᱨᱤᱱᱚᱜᱚᱨ ᱾"
इसकी स्थापना 50 साल से भी पहले शिक्षा में लैंगिक अंतर को कम करने में सहायता के लिए की गई थी।,ᱥᱤᱠᱷᱱᱟᱹᱛ ᱨᱮ ᱡᱟᱱᱟᱝ ᱯᱷᱟᱨᱟᱠ ᱵᱚᱱᱫᱚᱭᱛᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱶᱟ ᱫᱚ ᱕᱐ ᱥᱮᱨᱢᱟ ᱠᱷᱚᱱ ᱦᱚᱸ ᱢᱟᱲᱟᱝ ᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱦᱩᱭᱞᱮᱱᱟ ᱾
"आखिरकार, अक्टूबर 2008 और मई 2009 के बीच, वहाँ कोई बाघ नहीं देखा गया।","ᱮᱱᱛᱮ, ᱢᱩᱪᱟᱹᱫ ᱨᱮ,ᱚᱠᱴᱳᱵᱚᱨ ᱒᱐᱐᱘ ᱠᱷᱚᱱ ᱢᱮᱹ ᱒᱐᱐᱙ ᱢᱩᱫᱽ ᱨᱮ ᱚᱸᱰᱮ ᱪᱮᱹᱞᱮ ᱛᱟᱨᱩᱵᱽ ᱦᱚᱸ ᱵᱟᱭ ᱧᱮᱞᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾"
"कान्हा, बांधवगढ़, पेंच, पन्ना और सतपुड़ा राष्ट्रीय उद्यानों का प्रबंधन प्रोजेक्ट टाइगर क्षेत्रों के रूप में किया जाता है।","ᱠᱟᱱᱦᱟ, ᱵᱟᱱᱫᱷᱚᱵᱽᱜᱚᱲ, ᱯᱮᱧᱪ, ᱯᱟᱱᱱᱟ ᱟᱨ ᱥᱟᱛᱯᱩᱨᱟ ᱨᱟᱥᱴᱨᱤᱭᱚ ᱩᱫᱽᱫᱟᱱ ᱠᱚᱫᱚ ᱯᱨᱚᱡᱮᱠᱴ ᱴᱟᱭᱜᱟᱨ ᱴᱚᱴᱷᱟ ᱨᱩᱯ ᱛᱮ ᱪᱟᱪᱟᱞᱟᱣᱚᱜᱼᱟ ᱾"
"क्रिकालेव और फिलिप्स के पास अगले दो दिनों के लिए हल्का काम होगा, क्योंकि वे एक व्यस्त हस्तांतरण अवधि को पूरा करने के बाद आराम करते हैं।","ᱠᱨᱤᱠᱟᱞᱮᱵᱷ ᱟᱨ ᱯᱷᱤᱞᱤᱯᱥ ᱟᱜᱟᱢ ᱵᱟᱨ ᱢᱟᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱥᱮ ᱟᱸᱜᱤᱵᱷᱟᱨ ᱠᱤᱱ ᱯᱟᱞᱟᱣᱼᱟ, ᱚᱡᱮ ᱫᱚ ᱩᱱᱠᱤᱱ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱦᱚᱲ ᱪᱟᱞᱦᱟᱛᱟᱣ ᱟᱸᱜᱤᱵᱷᱟᱨ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱚ ᱢᱩᱪᱟᱹᱫ ᱛᱟᱭᱚᱢ ᱠᱤᱱ ᱡᱤᱨᱟᱹᱜᱼᱟ ᱾"
"बालेश्वर जिले में चांदीपुर एक शांत और निर्मल स्थल है, जो ज्यादातर पर्यटकों द्वारा अनछुआ है।","ᱵᱟᱞᱮᱥᱥᱚᱨ ᱦᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱟᱸᱫᱤᱯᱩᱨ ᱢᱤᱫᱴᱟᱝ ᱱᱤᱨᱞᱟᱹ ᱟᱨ ᱥᱟᱯᱷᱟ ᱴᱷᱟᱶ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱰᱷᱮᱨᱠᱟᱭᱛᱮ ᱫᱟᱲᱟᱱᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱵᱟᱝ ᱛᱩᱱᱠᱷᱤᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾"
भारतीय उपमहाद्वीप की कुछ सबसे पुरानी चट्टानें गोवा में कर्नाटक के साथ गोवा की सीमा पर मोलेम और अनमोड के बीच पाई जाती हैं।,ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱩᱯᱚᱢᱟᱦᱟᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱮᱱ ᱥᱤᱞᱟᱹ ᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱤᱫ ᱵᱟᱨ ᱜᱳᱶᱟ ᱨᱮ ᱠᱚᱨᱱᱟᱴᱚᱠ ᱥᱟᱶᱛᱮ ᱜᱳᱣᱟ ᱥᱤᱢᱟᱹᱨᱮ ᱢᱳᱞᱮᱢ ᱟᱨ ᱟᱱᱢᱳᱫᱮᱨ ᱛᱟᱞᱟᱢᱟᱞᱟ ᱴᱚᱴᱷᱟ ᱨᱮ ᱧᱮᱞ ᱧᱟᱢᱚᱜᱼᱟ ᱾
"इसके अलावा, आपको अपनी स्थिति से संबंधित कोई भी मेडिकल रिकॉर्ड प्रस्तुत करना होगा।","ᱱᱚᱶᱟ ᱵᱮᱜᱚᱨ, ᱟᱢᱟᱜ ᱦᱟᱞᱚᱛ ᱵᱟᱠᱷᱨᱟ ᱡᱟᱦᱟᱸᱱ ᱢᱮᱰᱤᱠᱮᱞ ᱫᱚᱞᱤᱞ ᱟᱢ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸᱱ ᱠᱷᱟᱱ ᱚᱱᱟ ᱠᱚᱦᱚᱸ ᱮᱢᱚᱜ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
इनमें से प्रत्येक द्वीप की अपनी बोली है।,ᱱᱚᱶᱟ ᱰᱷᱤᱵ ᱠᱚᱫᱚ ᱱᱤᱡᱮᱨᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱱᱟᱢᱟᱜ ᱪᱟᱸᱜᱟ ᱯᱟᱹᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾
संयुक्ता हेगड़े एक भारतीय अभिनेत्री हैं जो मुख्य रूप से कन्नड़ और तमिल फिल्मों में काम करती हैं।,ᱥᱚᱝᱡᱩᱠᱛᱟ ᱦᱮᱜᱚᱲ ᱢᱤᱫᱦᱚᱲ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱟᱥᱚᱞᱨᱮ ᱠᱚᱱᱱᱚᱲ ᱟᱨ ᱛᱟᱹᱢᱤᱞ ᱪᱚᱞᱚᱠᱪᱤᱛᱟᱹᱨᱮᱭ ᱠᱟᱹᱢᱤ ᱞᱮᱫᱟ ᱾
गीत गोविंदम और ऐसे अन्य भक्ति गीत कृष्ण की स्तुति में गाए जाते हैं।,ᱜᱤᱛᱜᱳᱵᱤᱱᱫᱚ ᱟᱨ ᱱᱚᱝᱠᱟᱱ ᱮᱴᱟᱜ ᱵᱷᱚᱠᱛᱤᱭᱟᱱᱟᱜ ᱥᱮᱨᱮᱧ ᱠᱨᱤᱥᱱᱚᱣᱟᱜ ᱥᱛᱩᱛᱤ ᱨᱮ ᱥᱮᱨᱮᱧ ᱟᱠᱚ᱾
"मराठा साम्राज्य, जिसने मुगल साम्राज्य को उपमहाद्वीप के अधिपति के रूप में प्रतिस्थापित किया था, अंततः 1818 में ब्रिटिश साम्राज्य द्वारा प्रतिस्थापित किया गया था।","ᱢᱟᱨᱟᱴᱷᱟ ᱥᱟᱢᱨᱟᱡᱽᱡᱚ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱢᱩᱜᱷᱚᱞ ᱥᱟᱢᱨᱟᱡᱽᱡᱚ ᱡᱚᱜᱚᱢᱚᱦᱟᱰᱤᱯ ᱨᱮᱱ ᱨᱟᱡᱟ ᱞᱮᱠᱟᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱫ ᱛᱟᱦᱮᱸᱫ ᱠᱟᱱᱟᱭ ,ᱢᱩᱪᱟᱹᱫ ᱨᱮ ᱑᱘᱑᱘ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱵᱨᱤᱴᱤᱥ ᱥᱟᱢᱨᱟᱡᱽᱡᱚ ᱫᱟᱨᱟᱭᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱫᱚᱦᱲᱟ ᱞᱮᱱᱟ ᱾"
मैहर में अलाउद्दीन खान जैसे कई गुरुकुल फले-फूले।,ᱢᱟᱭᱦᱚᱨ ᱨᱮ ᱟᱞᱟᱣᱩᱫᱽᱫᱤᱱ ᱠᱷᱟᱱ ᱞᱮᱠᱟ ᱟᱭᱢᱟ ᱜᱟᱱ ᱜᱩᱨᱩᱠᱩᱞ ᱩᱛᱱᱟᱹᱣ ᱞᱮᱱᱟ ᱾
हल्द्वानी में इंदिरा गांधी अंतर्राष्ट्रीय खेल स्टेडियम उत्तराखंड फुटबॉल टीम का घरेलू मैदान है।,ᱦᱚᱞᱚᱫᱚᱣᱟᱱᱤ ᱨᱮ ᱤᱱᱫᱤᱨᱟ ᱜᱟᱱᱫᱷᱤ ᱡᱮᱜᱮᱫ ᱠᱷᱮᱞᱳᱰ ᱥᱴᱮᱰᱤᱭᱟᱢ ᱫᱚ ᱩᱛᱛᱚᱨᱟ ᱠᱷᱚᱱᱰᱚ ᱨᱮᱭᱟᱜ ᱯᱷᱩᱴᱵᱚᱞ ᱠᱷᱮᱞ ᱫᱚᱞ ᱠᱚᱶᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱜᱚᱰᱟ ᱠᱟᱱᱟ ᱾
"राजा ने स्वयं एक महाकाव्य तेलुगु कविता, अमुक्तमाल्यदा की रचना की।","ᱨᱟᱡᱟ ᱟᱡᱜᱮ ᱢᱤᱫᱴᱮᱱ ᱢᱟᱦᱟ ᱚᱱᱚᱲᱦᱮᱸ ᱛᱮᱞᱮᱜᱩ ᱚᱱᱚᱲᱦᱮᱸ, ᱟᱢᱩᱠᱛᱚᱢᱟᱞᱞᱚᱫᱟ ᱚᱞ ᱞᱮᱫᱟᱭ ᱾"
"उनकी अगली रिलीज़ कैश थी, जो फिर से अजय देवगन के साथ थी।","ᱟᱭᱟᱜ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱨᱟᱲᱟ ᱫᱚ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱠᱮᱥ, ᱚᱱᱟ ᱫᱚ ᱟᱨᱦᱚᱸ ᱚᱡᱚᱭ ᱫᱮᱵᱽ ᱜᱚᱱᱟᱜ ᱩᱞᱴᱟᱹᱨᱮ ᱾"
"शहरी केंद्रों में सामुदायिक प्रतिष्ठान मौजूद हैं जो सामाजिक कार्यक्रमों, खेल आयोजनों, संगीत समारोहों, हास्य कार्यक्रमों और अन्य गतिविधियों की व्यवस्था करते हैं।","ᱱᱟᱜᱟᱨ ᱛᱟᱞᱢᱟ ᱠᱚᱨᱮ ᱧᱮᱞᱚᱜᱼᱟ ᱥᱟᱶᱛᱟᱹᱨᱤ ᱟᱥᱲᱟ ᱠᱚ ᱥᱟᱶᱛᱟᱟᱹᱨᱤ ᱟᱠᱷᱲᱟ, ᱠᱷᱮᱞᱚᱸᱰ ᱟᱠᱷᱲᱟ, ᱥᱮᱹᱨᱮᱹᱧ ᱟᱠᱷᱲᱟ, ᱞᱟᱪᱷᱟᱲ ᱩᱫᱩᱜ ᱟᱨ ᱮᱴᱟᱜ ᱮᱴᱟᱜ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱨᱮᱭᱟᱜ ᱠᱚ ᱵᱚᱱᱫᱮᱡᱼᱟ ᱾"
"""मणिपुर"" शब्द दो संस्कृत शब्दों (Maá1‡i) से बना है, जिसका अर्थ है गहना और (पुर x009d _), जिसका अर्थ है भूमि/स्थान/निवास, मणिपुर का अनुवाद ""रत्न भूमि"" के रूप में किया गया है।","ᱢᱚᱱᱤᱯᱩᱨ ᱟᱹᱲᱟᱹ ᱫᱚ ᱵᱟᱨᱭᱟ ᱥᱚᱝᱥᱠᱨᱤᱛ ᱟᱹᱲᱟᱹ ᱛᱮ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ 'ᱢᱚᱱᱤ' ᱨᱮᱭᱟᱜ ᱢᱟᱱᱮ ᱨᱚᱛᱱᱚ ᱟᱨ 'ᱯᱩᱨ', ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱢᱟᱱᱮ ᱚᱛ ᱦᱟᱥᱟ/ᱴᱷᱟᱶ/ᱜᱤᱨᱟᱹᱵᱟᱥᱤ, ᱢᱚᱱᱤᱯᱩᱨ ᱨᱮᱱᱟᱜ ᱢᱟᱱᱮ ""ᱫᱷᱚᱱ ᱫᱩᱨᱤᱵᱽ ᱯᱮᱨᱮᱡ ᱦᱟᱥᱟ"" ᱠᱟᱱᱟ ᱾"
यह मेरे लिए सीखने और ज्ञान अर्जित करने का समय था।,ᱱᱚᱶᱟ ᱫᱚ ᱤᱧ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫᱚᱜ ᱟᱨ ᱜᱮᱭᱟᱱ ᱟᱨᱡᱟᱣ ᱨᱮᱱᱟᱜ ᱚᱠᱛᱚ ᱛᱟᱦᱮ ᱠᱟᱱᱟ ᱾
स्टेडियम का निर्देशन द्रोणाचार्य पुरस्कार विजेता महाबली सतपाल ने किया है।,ᱥᱴᱮᱰᱤᱭᱟᱢ ᱫᱚᱭ ᱪᱟᱪᱟᱞᱟᱣ ᱮᱫ ᱛᱟᱦᱮᱱ ᱫᱨᱳᱱᱟᱪᱟᱨᱡᱚ ᱥᱤᱨᱯᱟᱹ ᱦᱟᱢᱮᱴᱟᱱ ᱢᱚᱦᱟᱵᱟᱞᱤ ᱥᱚᱛᱯᱟᱞ ᱾
"पूर्वोत्तर में इस जानवर के संरक्षण और सुरक्षा के लिए, 1988 में भारतीय कृषि अनुसंधान परिषद द्वारा मिथुन पर राष्ट्रीय अनुसंधान केंद्र की स्थापना की गई थी।","ᱩᱛᱛᱚᱨᱼᱯᱩᱨᱵᱚ ᱨᱮ ᱱᱩᱭ ᱡᱤᱭᱟᱹᱞᱤ ᱨᱟᱠᱷᱟ ᱫᱚᱦᱚ ᱥᱮ ᱨᱩᱠᱷᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ, ᱑᱙᱘᱘ ᱥᱟᱞᱨᱮ ᱤᱱᱰᱤᱭᱟᱱ ᱠᱟᱣᱩᱱᱥᱤᱞ ᱚᱯᱷ ᱮᱜᱽᱜᱨᱤᱠᱟᱞᱪᱟᱨ ᱨᱤᱥᱟᱨᱪ ᱦᱚᱛᱮᱛᱮ ᱢᱤᱛᱷᱩᱱ ᱟᱜ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱠᱷᱚᱸᱫᱽᱨᱚᱸᱫᱽ ᱛᱟᱞᱢᱟ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱱᱟ ᱾"
उन्होंने स्टंट-आधारित रियलिटी शो फियर फैक्टरः खतरों के खिलाड़ी 6 में भी भाग लिया।,ᱩᱱᱤ ᱫᱚ ᱥᱴᱟᱱᱴᱼᱟᱱᱟᱜ ᱨᱤᱭᱮᱞᱤᱴᱤ ᱥᱳ ᱯᱷᱤᱭᱟᱨ ᱯᱷᱮᱠᱴᱟᱨᱺ ᱠᱷᱟᱛᱨᱳ ᱠᱮ ᱠᱷᱤᱞᱟᱲᱤ ᱖ ᱨᱮᱦᱚᱸ ᱦᱤᱸᱥᱮ ᱦᱟᱛᱟᱣ ᱞᱮᱫᱟ ᱾
"परंपरागत रूप से, बच्चों को उनके परिवार से जन्मदिन जैसे उपहारों सहित बहुत विशेष ध्यान दिया जाता है।","ᱢᱟᱨᱮᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ, ᱜᱤᱫᱽᱨᱟᱹ ᱟᱜ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱨᱮ ᱥᱟᱸᱫᱮᱥ ᱥᱟᱶ ᱩᱱᱠᱩᱣᱟᱜ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱨᱮ ᱧᱩᱢᱟᱱ ᱢᱟᱹᱱ ᱮ ᱧᱟᱢᱟ ᱾"
"भोपाल का ऐश्बाग स्टेडियम विश्व सीरीज हॉकी टीम, भोपाल बादशाह का घरेलू मैदान है।",ᱵᱷᱩᱯᱟᱞ ᱨᱮᱭᱟᱜ ᱟᱭᱥᱵᱟᱜᱽ ᱮᱥᱴᱮᱰᱤᱭᱟᱢ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱳᱣᱟᱞᱨᱰ ᱥᱤᱨᱤᱡ ᱦᱚᱠᱤ ᱜᱟᱫᱮᱞ ᱵᱷᱳᱯᱟᱞ ᱵᱟᱫᱥᱟᱦᱚ ᱠᱚᱶᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱴᱟᱺᱰᱤ ᱾
"ख्याल की उत्पत्ति विवादास्पद है, हालांकि यह स्वीकार किया जाता है कि यह शैली ध्रुपद पर आधारित थी और अन्य संगीत परंपराओं से प्रभावित थी।","ᱠᱷᱮᱭᱟᱞ ᱨᱮᱭᱟᱜ ᱥᱤᱨᱡᱟᱹᱣ ᱫᱚ ᱨᱟᱯᱟᱪᱟᱱᱟᱜ, ᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱱᱚᱶᱟ ᱥᱳᱭᱞᱤ ᱫᱚ ᱫᱷᱨᱩᱯᱫᱽ ᱟᱱᱟᱜ ᱟᱨ ᱮᱴᱟᱝ ᱥᱮᱨᱮᱧ ᱳᱭᱛᱤᱡᱽᱡᱷᱚ ᱛᱮ ᱚᱨᱥᱚᱝ ᱞᱮᱱᱟ ᱢᱮᱛᱮ ᱢᱟᱱᱚᱛ ᱟᱠᱟᱱᱟ ᱾"
मोपिन मुख्य त्योहार है जो 5 से 6 अप्रैल तक चलता है।,ᱢᱚᱯᱤᱱ ᱢᱩᱬᱩᱫ ᱯᱟᱨᱟᱵᱽ ᱠᱟᱱᱟ ᱡᱟᱦᱟᱸ ᱕ ᱠᱷᱚᱱ ᱖ ᱮᱯᱨᱤᱞ ᱦᱟᱹᱵᱤᱡ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ ᱾
"अमेरिकी ओलंपिक आइस हॉकी रजत पदक विजेता मौली शॉस पिछले सप्ताहांत में अपने गृहनगर नेपरविले, इलिनोइस लौट आईं।",ᱡᱩᱠᱛᱚᱨᱟᱥᱴᱨᱚ ᱚᱞᱤᱢᱯᱤᱠ ᱟᱭᱤᱥ ᱦᱚᱠᱤᱨᱮ ᱨᱩᱯᱟᱹ ᱯᱚᱫᱚᱠ ᱫᱟᱲᱮᱭᱟᱱ ᱢᱚᱞᱚ ᱥᱟᱣᱩᱥ ᱪᱟᱞᱟᱣᱮᱱ ᱦᱟᱯᱛᱟ ᱤᱞᱤᱱᱚᱭ ᱨᱮᱭᱟᱜ ᱱᱮᱯᱟᱨᱵᱷᱤᱞ ᱨᱮ ᱟᱭᱟᱜ ᱥᱟᱦᱟᱨ ᱛᱮᱭ ᱨᱩᱣᱟᱹᱲ ᱟᱠᱟᱱᱟ ᱾
"यदि उनमें से कई हैं, तो उन सभी को भरने के लिए एक अनुसूची बनाएँ।",ᱱᱚᱶᱟ ᱞᱮᱠᱟᱱ ᱟᱭᱢᱟᱜᱟᱱ ᱛᱟᱦᱮᱸ ᱞᱮᱱᱠᱷᱟᱱ ᱚᱱᱟᱠᱚ ᱯᱩᱨᱟᱹᱣ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱮᱱ ᱚᱠᱛᱚᱼᱥᱩᱪᱤ ᱵᱮᱱᱟᱣ ᱡᱚᱝ ᱢᱮ ᱾
"हालाँकि, यदि आप इसे यहाँ करना पसंद करते हैं, तो आप इस फॉर्म के साथ आगे बढ़ सकते हैं।","ᱡᱟᱭᱦᱳᱠ, ᱟᱢ ᱡᱩᱫᱤ ᱱᱚᱶᱟ ᱵᱟᱫᱟᱞᱛᱮ ᱱᱚᱰᱮ ᱱᱚᱶᱟ ᱠᱚᱨᱟᱣᱮ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟ, ᱮᱱᱠᱷᱟᱱ ᱟᱢ ᱱᱚᱶᱟ ᱯᱷᱚᱨᱚᱢ ᱟᱛᱮ ᱞᱟᱦᱟ ᱥᱮᱱ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
छठी तंत्रिका कई कॉर्टिकल प्रणालियों के लिए अंतिम सामान्य मार्गों में से एक है जो सामान्य रूप से आंखों की गति को नियंत्रित करती है।,ᱛᱩᱨᱩᱭ ᱥᱩᱛᱟᱹᱢ ᱥᱤᱨᱟᱹ ᱟᱥᱳᱠᱟᱭᱛᱮ ᱢᱮᱫ ᱨᱮᱭᱟᱜ ᱥᱟᱢᱲᱟᱣ ᱱᱚᱝᱠᱟᱱ ᱟᱹᱰᱤᱜᱟᱱ ᱠᱚᱨᱴᱤᱠᱟᱞ ᱥᱤᱥᱴᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱥᱳᱠᱟᱭᱛᱮ ᱪᱩᱲᱟᱹ ᱰᱟᱦᱟᱨ ᱠᱚ ᱢᱩᱫᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱾
कार्मेल महिला महाविद्यालय गोवा विश्वविद्यालय से संबद्ध है।,ᱠᱟᱨᱢᱮᱞ ᱠᱚᱞᱮᱡᱽ ᱯᱷᱚᱨ ᱩᱭᱢᱮᱱ ᱫᱚ ᱜᱳᱣᱟ ᱡᱮᱸᱜᱮᱫᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"राज्य की आधिकारिक भाषाएँ अंग्रेजी, सिक्किम नेपाली, सिक्किम और लेप्चा हैं।","ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱠᱟᱨᱤ ᱯᱟᱹᱨᱥᱤ ᱫᱚ ᱦᱳᱭᱳᱜ ᱠᱟᱱᱟ ᱤᱝᱨᱮᱡᱤ, ᱥᱤᱠᱤᱢᱤᱡᱽ ᱱᱮᱯᱟᱞᱤ, ᱥᱤᱠᱤᱢᱤᱡᱽ ᱟᱨ ᱞᱮᱯᱪᱟ ᱾"
अरुणाचल प्रदेश में स्तनधारियों और पक्षियों की विविधता भारत में सबसे अधिक है।,ᱚᱨᱩᱱᱟᱪᱚᱞ ᱯᱨᱚᱫᱮᱥ ᱨᱮ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱱ ᱱᱩᱱᱩᱣᱟᱱ ᱡᱤᱭᱟᱹᱞᱤ ᱟᱨ ᱪᱮᱬᱮᱭᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱵᱷᱮᱱᱮᱜᱟᱨ ᱢᱮᱱᱟᱜ ᱟᱠᱟᱫᱟ ᱾
"देशी जल पक्षियों के साथ-साथ प्रवासी जल पक्षियों और जल के किनारे रहने वाले पक्षियों के घोंसले बनाते हुए, इस अभयारण्य में सांभर, चीतल, नीलगाय और सूअर भी रहते हैं।","ᱱᱮᱥᱴᱤᱝ ᱫᱤᱥᱚᱢ ᱨᱤᱱ ᱫᱟᱜ ᱪᱮᱸᱬᱮ, ᱮᱴᱟᱜ ᱫᱤᱥᱚᱢ ᱨᱤᱱ ᱫᱟᱜ ᱪᱮᱸᱬᱮ ᱟᱨ ᱫᱟᱜ ᱪᱮᱸᱬᱮ ᱟᱦᱟᱨ ᱨᱮᱱ ᱪᱮᱸᱬᱮ ᱵᱮᱜᱚᱨ, ᱜᱟᱹᱦᱤᱨ ᱵᱤᱨ ᱥᱟᱢᱵᱟᱨ, ᱪᱤᱛᱚᱞ ᱱᱤᱞᱜᱟᱹᱭ ᱟᱨ ᱥᱩᱠᱨᱤ ᱦᱚᱸᱠᱚ ᱛᱟᱸᱦᱮᱱᱟ ᱾"
