Hindi,Santali
कल्चर्स को अक्सर नहीं लिया जाता है या उनकी आवश्यकता नहीं होती है क्योंकि अधिकांश मामले या तो समय के साथ या विशिष्ट एंटीबायोटिक दवाओं के साथ ठीक हो जाते हैं।,ᱫᱤᱱᱟᱹᱢ ᱫᱚ ᱵᱤᱰᱟᱶ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱥᱮ ᱚᱱᱟ ᱨᱮᱱᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱟᱹᱰᱤᱜᱟᱱ ᱢᱟᱢᱞᱟ ᱚᱠᱛᱚ ᱨᱮ ᱥᱮ ᱮᱢᱱᱤ ᱮᱱᱴᱤᱵᱟᱭᱳᱴᱤᱠ ᱨᱟᱱ ᱥᱟᱞᱟᱜ ᱛᱚᱨᱟᱣ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ᱾
गोरखा साम्राज्य ने कई राज्यों पर विजय प्राप्त की और 1768 में नेपाल में सत्ता में आया।,ᱜᱳᱨᱠᱷᱟ ᱯᱚᱱᱚᱛ ᱟᱭᱢᱟ ᱯᱚᱱᱚᱛ ᱮ ᱡᱤᱛᱟᱹᱣ ᱞᱮᱫᱟ ᱟᱨ ᱑᱗᱖᱘ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱱᱮᱯᱟᱞ ᱨᱮ ᱠᱷᱚᱢᱚᱛᱟ ᱨᱮᱭ ᱦᱮᱡ ᱞᱮᱱᱟ ᱾
"त्रिपुरा भारत में भौगोलिक रूप से अलग-थलग स्थान पर स्थित है, क्योंकि केवल एक प्रमुख राजमार्ग, राष्ट्रीय राजमार्ग 8, इसे देश के बाकी हिस्सों से जोड़ता है।","ᱛᱨᱤᱯᱩᱨᱟ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛᱱᱚᱜ ᱟᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱵᱷᱮᱜᱟᱨ ᱟᱱ ᱴᱷᱟᱶ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ, ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱬᱩᱫ ᱰᱟᱦᱟᱨ, ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱰᱟᱦᱟᱨ ᱘, ᱱᱚᱶᱟ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱦᱤᱸᱥ ᱥᱟᱞᱟᱜᱼᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱫᱟ ᱾"
"आखिरकार, संविधान में 26वें संशोधन द्वारा उनकी सरकार इन पूर्व शासकों की मान्यता को रद्द करने और 1971 में उन्हें दिए गए प्रिवी पर्स को समाप्त करने में सफल रही।","ᱢᱩᱪᱟᱹᱫ ᱨᱮ, ᱟᱡᱨᱮᱱ ᱥᱚᱨᱠᱟᱨ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱨᱮᱭᱟᱜ ᱒᱖ ᱟᱱᱟᱜ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱛᱟᱞᱟᱛᱮ ᱱᱩᱠᱩ ᱢᱟᱨᱮᱱ ᱥᱟᱥᱚᱱᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱥᱤᱠᱠᱨᱤᱛᱤ ᱵᱟᱛᱷᱤᱞ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱑᱙᱗᱑ ᱥᱟᱦᱤᱛ ᱨᱮ ᱩᱱᱠᱠᱩᱠᱚ ᱮᱢᱞᱮᱫ ᱯᱨᱤᱵᱷᱤ ᱯᱟᱨᱥ ᱢᱩᱪᱟᱹᱫ ᱫᱟᱲᱮᱹᱭᱟᱜ ᱛᱟᱦᱮᱫ ᱾"
"इमादुद्दीन शाह एक भारतीय अभिनेता, संगीतकार और गीतकार हैं।","ᱤᱢᱟᱫᱩᱫᱽᱫᱤᱱ ᱥᱟᱦᱚ ᱦᱚᱭᱩᱜ ᱠᱟᱱᱟᱭ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱚᱵᱷᱤᱱᱮᱛᱟ, ᱨᱟᱦᱟ ᱵᱟᱰᱳᱦᱤ ᱟᱨ ᱥᱮᱨᱮᱧ ᱵᱟᱰᱳᱦᱤ ᱾"
बुल्गारिया में बाल दिवस 1 जून को मनाया जाता है।,ᱵᱩᱞᱜᱮᱨᱤᱭᱟ ᱨᱮ ᱑ ᱡᱩᱱ ᱥᱤᱥᱩ ᱜᱤᱫᱽᱨᱟ ᱢᱟᱦᱟ ᱯᱟᱞᱟᱣ ᱦᱩᱭᱱᱟ ᱾
दक्षिण पूर्व एशिया में प्रवेश करने के बाद बौद्ध धर्म का पतन हो रहा था।,ᱫᱷᱚᱠᱠᱤᱱᱼ ᱯᱩᱨᱵᱚ ᱮᱥᱤᱭᱟ ᱨᱮ ᱵᱚᱞᱚ ᱠᱷᱚᱱᱟᱜ ᱵᱳᱫᱽᱫᱷᱚ ᱫᱷᱚᱨᱢᱚ ᱱᱟᱥᱟᱣ ᱞᱮᱱᱟ ᱾
"12वाँ जिला, पूर्वी पश्चिम खासी हिल्स, 2021 में बनाया गया था।","ᱢᱤᱫᱴᱟᱝ ᱑᱒ ᱟᱱᱟᱜ ᱦᱚᱱᱚᱛ, ᱯᱩᱨᱩᱵᱽ ᱯᱚᱪᱷᱤᱢ ᱠᱷᱟᱥᱤ ᱵᱩᱨᱩ, ᱒᱐᱒᱑ ᱥᱟᱞ ᱨᱮᱠᱚ ᱵᱮᱱᱟᱣ ᱞᱮᱜᱼᱟ᱾"
यह क्षेत्र बॉम्बे उच्च न्यायालय के अधिकार क्षेत्र में आता है।,ᱱᱚᱶᱟ ᱴᱚᱴᱷᱟ ᱫᱚ ᱵᱳᱢᱵᱮ ᱦᱟᱭᱠᱳᱨᱴ ᱨᱮᱭᱟᱜ ᱦᱚᱠ ᱟᱣᱛᱟᱨᱮ ᱯᱟᱲᱟᱜᱼᱟ ᱾
"केरल में दर्जनों समाचार पत्र नौ प्रमुख भाषाओं में प्रकाशित होते हैं, लेकिन मुख्य रूप से मलयालम और अंग्रेजी में।","ᱠᱮᱨᱚᱞ ᱨᱮ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱲᱩᱫ ᱯᱟᱹᱨᱥᱤ, ᱢᱮᱱᱠᱷᱟᱱ ᱢᱩᱲᱩᱫ ᱫᱚ ᱢᱟᱞᱟᱭᱟᱞᱚᱢ ᱟᱨ ᱤᱝᱨᱮᱡᱤ ᱛᱮ ᱠᱤᱪᱷᱩ ᱰᱚᱡᱚᱱ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱩᱪᱷᱟᱹᱱᱚᱜᱼᱟ ᱾"
प्रत्येक जिले के पुलिस प्रशासन के लिए एक पुलिस अधीक्षक जिम्मेदार होता है।,ᱡᱷᱚᱛᱚ ᱦᱚᱱᱚᱛ ᱨᱮ ᱯᱩᱞᱤᱥ ᱯᱨᱚᱥᱟᱥᱚᱱ ᱟᱜ ᱟᱹᱜᱤᱵᱷᱟᱨ ᱨᱮ ᱢᱮᱱᱟᱭᱼᱟ ᱢᱤᱫᱦᱚᱲ ᱯᱩᱞᱤᱥ ᱥᱩᱯᱟᱨ ᱾
"तमिलनाडु 130,058 वर्ग किलोमीटर के क्षेत्र में फैला हुआ है और भारत का दसवां सबसे बड़ा राज्य है।","ᱛᱟᱢᱤᱞᱱᱟᱲᱩ ᱑᱓᱐,᱐᱕᱘ ᱠᱤᱢᱤ ᱴᱚᱴᱷᱟᱨᱮ ᱯᱟᱥᱱᱟᱣᱼᱟ ᱟᱨ ᱱᱚᱶᱟ ᱵᱷᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱜᱮᱞ ᱟᱱᱟᱝ ᱞᱟᱹᱴᱩ ᱯᱚᱱᱚᱛ ᱠᱟᱱᱟ ᱾"
अजातशत्रु ने पाटलिपुत्र शहर की स्थापना की जो बाद में मगध की राजधानी बनी।,ᱚᱡᱟᱛᱥᱚᱛᱨᱩ ᱯᱟᱴᱞᱤᱯᱩᱛᱛᱚᱨᱚ ᱱᱟᱜᱟᱨ ᱮ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱫᱟᱭ ᱾ ᱡᱟᱦᱟᱸ ᱛᱟᱭᱚᱢ ᱛᱮ ᱢᱚᱜᱚᱫᱷ ᱨᱮᱭᱟᱜ ᱨᱟᱡᱽᱱᱟᱜᱟᱨ ᱦᱳᱭ ᱞᱮᱱᱟ ᱾
"छह साल के रिश्ते के बाद, यह जोड़ा दिसंबर 2014 में सौहार्दपूर्ण तरीके से अलग हो गया।","ᱛᱩᱨᱩᱭ ᱥᱮᱨᱢᱟ ᱥᱟᱹᱜᱟᱹᱭᱟᱱ ᱛᱟᱭᱚᱢ, ᱡᱩᱨᱤᱯᱟᱹᱨᱤ ᱒᱐᱑᱔ ᱥᱟᱹᱦᱤᱛ ᱨᱮᱭᱟᱜ ᱰᱤᱥᱮᱢᱵᱚᱨ ᱨᱮ ᱜᱟᱛᱮ ᱞᱮᱠᱟᱛᱮ ᱠᱤᱱ ᱵᱷᱮᱨᱟᱨ ᱮᱱᱟᱠᱤᱱ ᱾"
सिलचर असम का दूसरा सबसे अधिक आबादी वाला शहर है और व्यापार का एक महत्वपूर्ण केंद्र है।,ᱥᱤᱞᱟᱪᱚᱨ ᱟᱥᱟᱢ ᱨᱮᱭᱟᱜ ᱫᱚᱥᱟᱨ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱥᱟᱸᱜᱮ ᱦᱚᱲᱟᱱ ᱥᱟᱦᱟᱨ ᱟᱨ ᱵᱮᱯᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱛᱟᱞᱢᱟ ᱾
ऑस्ट्रेलियाई मैथ्यू मिचम ने पुरुषों की 10 मीटर डाइविंग में 537.95 के अंतिम स्कोर के साथ स्वर्ण पदक जीता।,ᱠᱚᱲᱟ ᱠᱚᱣᱟᱜ ᱑᱐ ᱢᱤᱴᱟᱨ ᱰᱟᱭᱵᱷᱤᱝ ᱨᱮ ᱚᱥᱴᱨᱮᱞᱤᱭᱟᱱ ᱢᱮᱛᱷᱤᱭᱩ ᱢᱤᱪᱮᱢ ᱕᱓᱗ᱹ᱙᱕ ᱨᱮ ᱞᱟᱯᱷᱟᱝ ᱥᱠᱳᱨ ᱠᱟᱛᱮ ᱥᱚᱱᱟᱭ ᱤᱫᱤ ᱠᱮᱫᱟ ᱾
इसका निर्माण लगभग 250 साल पहले किशनगढ़ शाही परिवार ने किया था।,ᱱᱚᱶᱟ ᱫᱚ ᱡᱟᱹᱱᱤᱡᱽ ᱒᱕᱐ ᱥᱮᱨᱢᱟ ᱢᱟᱲᱟᱝ ᱠᱤᱥᱟᱱᱜᱚᱲ ᱨᱟᱡᱽ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱫᱟᱨᱟᱭᱛᱮ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
"शहरी केंद्रों में गुवाहाटी शामिल है, जो दुनिया के 100 सबसे तेजी से बढ़ते शहरों में से एक है।",ᱱᱟᱜᱟᱨ ᱛᱟᱞᱢᱟ ᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱜᱩᱣᱟᱦᱟᱹᱴᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱑᱐᱐ ᱜᱚᱴᱟᱝ ᱟᱹᱰᱤ ᱩᱥᱟᱹᱨᱟ ᱵᱟᱹᱰᱚᱜ ᱠᱟᱱ ᱥᱟᱦᱟᱨ ᱠᱚ ᱢᱩᱫᱽ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱾
लद्दाख के लोगों के लिए अमची चिकित्सा के बौद्धिक संपदा अधिकारों को संरक्षित करने के प्रयास जारी हैं।,ᱞᱟᱫᱟᱠᱷ ᱨᱤᱱ ᱦᱚᱲ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱚᱢᱪᱤ ᱨᱟᱱ ᱨᱮᱱᱟᱜ ᱵᱳᱫᱫᱷᱤᱠ ᱫᱩᱨᱤᱵ ᱟᱹᱭᱫᱟᱹᱨᱤ ᱠᱚ ᱨᱟᱠᱷᱟ ᱫᱚᱦᱚ ᱞᱟᱹᱜᱤᱫ ᱮ ᱨᱤᱠᱟᱹᱭ ᱪᱟᱞᱟᱶ ᱮᱫᱟ ᱾
"इसी तरह दक्षिण पूर्व एशिया में, केंटोंगन स्लिट ड्रम का उपयोग इसी उद्देश्य के लिए किया जाता है।","ᱱᱚᱝᱠᱟ ᱞᱮᱠᱟᱜᱮ ᱫᱚᱠᱠᱷᱤᱱ ᱯᱩᱨᱩᱵ ᱮᱥᱤᱭᱟᱨᱮ , ᱠᱮᱱᱛᱟᱝᱜᱟᱱ ᱥᱞᱤᱴ ᱰᱨᱟᱢ ᱫᱚ ᱱᱚᱣᱟ ᱞᱟᱹᱜᱤᱫ ᱜᱮᱠᱚ ᱵᱮᱣᱦᱟᱨᱟ ᱾"
"7वें निजाम भारत से रियासत हैदराबाद राज्य की स्वतंत्रता को बनाए रखना चाहते थे, लेकिन इस क्षेत्र के लोगों ने भारतीय संघ में शामिल होने के लिए एक आंदोलन शुरू किया।",ᱮᱭᱟᱭᱟᱱ ᱱᱤᱡᱟᱢ ᱵᱷᱟᱨᱛ ᱨᱮᱭᱟᱜ ᱱᱟᱯᱟᱭ ᱩᱛᱟᱹᱨ ᱦᱟᱭᱫᱨᱟᱵᱟᱫ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱯᱷᱩᱨᱜᱟᱹᱞ ᱥᱟᱵ ᱫᱚᱦᱚᱭ ᱠᱷᱚᱡ ᱞᱮᱫᱟᱭ ᱢᱮᱱᱠᱷᱟᱱ ᱱᱚᱶᱟ ᱴᱚᱴᱷᱟᱨᱮᱱ ᱦᱚᱲᱠᱚ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱥᱚᱨᱠᱟᱨ ᱨᱮ ᱥᱮᱞᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱸᱫᱳᱲᱮ ᱮᱦᱚᱵ ᱞᱮᱫᱟ ᱾
दक्षिण छत्तीसगढ़ के बस्तर और दंतेवाड़ा सबसे अशिक्षित जिले हैं और सभी जिलों में स्कूल छोड़ने का अनुपात सबसे अधिक है।,ᱫᱚᱠᱷᱤᱱ ᱪᱷᱚᱛᱛᱤᱨᱤᱥᱜᱚᱲ ᱨᱮᱭᱟᱜ ᱵᱚᱥᱛᱟ ᱟᱨ ᱫᱟᱱᱛᱮᱣᱟᱲᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱷᱚᱛᱚ ᱠᱷᱚᱱ ᱢᱩᱨᱩᱠ ᱦᱚᱱᱚᱛ ᱟᱨ ᱥᱟᱱᱟᱢ ᱦᱚᱱᱚᱛ ᱠᱚ ᱢᱩᱫᱨᱮ ᱵᱤᱫᱽᱫᱟᱹᱜᱟᱲ ᱵᱟᱹᱜᱤᱭᱟᱜ ᱨᱮᱭᱟᱜ ᱦᱟᱨ ᱡᱷᱚᱛᱚ ᱠᱷᱚᱱ ᱡᱟᱹᱥᱛᱤ ᱱᱚᱶᱟ ᱵᱟᱨ ᱦᱚᱱᱚᱛ ᱨᱮ ᱾
"सीमावर्ती राज्य पश्चिम में केरल, उत्तर-पश्चिम में कर्नाटक और उत्तर में आंध्र प्रदेश हैं।","ᱥᱤᱢᱟᱹ ᱟᱹᱲᱮ ᱯᱚᱱᱚᱛ ᱠᱚᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱯᱚᱪᱤᱢᱨᱮ ᱠᱮᱨᱟᱞᱟ, ᱩᱛᱛᱚᱨᱼᱯᱚᱪᱤᱢᱨᱮ ᱠᱚᱨᱱᱟᱴᱚᱠ ᱟᱨ ᱩᱛᱛᱚᱨ ᱨᱮ ᱚᱱᱫᱷᱨᱚ ᱯᱨᱚᱫᱮᱥ ᱾"
"द हिंदू राज्य में सबसे अधिक पढ़ा जाने वाला अंग्रेजी भाषा का समाचार पत्र है, जिसके बाद द न्यू इंडियन एक्सप्रेस है।","ᱫᱟ ᱦᱤᱱᱫᱩ ᱫᱚ ᱠᱟᱱᱟ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱡᱷᱚᱛᱚ ᱠᱷᱚᱱ ᱵᱟᱹᱲᱛᱤ ᱯᱟᱲᱦᱟᱣ ᱟᱱ ᱠᱷᱚᱵᱚᱨ ᱥᱟᱠᱟᱢ , ᱱᱤᱭᱟᱹ ᱛᱟᱭᱱᱚᱢ ᱫᱚ ᱠᱟᱱᱟ ᱫᱟ ᱤᱱᱰᱤᱭᱟᱱ ᱮᱠᱥᱯᱨᱮᱥ ᱾"
बोस्नियाई फुटबॉल महासंघ (एन. एस. बी. आई. एच.) ने फीफा की तीन सदस्यीय अध्यक्षता को एक अध्यक्ष में बदलने की मांग को खारिज कर दिया था।,ᱱᱚᱶᱟ ᱵᱟᱨᱚᱱ ᱫᱚ ᱵᱚᱥᱱᱤᱭᱟᱱ ᱯᱷᱩᱴᱵᱚᱞ ᱯᱷᱮᱰᱟᱨᱮᱥᱚᱱ (ᱮᱱ ᱮᱥ ᱵᱤ ᱟᱭ ᱮᱭᱤᱪ) ᱯᱷᱤᱯᱷᱟ ᱨᱮᱱ ᱯᱮ ᱨᱟᱹᱥᱤᱭᱟᱹ ᱟᱜ ᱥᱚᱵᱷᱟ ᱜᱚᱢᱠᱮ ᱛᱟᱞᱟᱛᱮ ᱢᱤᱫ ᱫᱤᱥᱚᱢ ᱜᱚᱢᱠᱮ ᱵᱚᱫᱚᱞ ᱫᱟᱹᱵᱤ ᱥᱟᱦᱟ ᱛᱟᱭᱚᱢ ᱦᱤᱡᱩᱜᱼᱟ ᱾
"इसे नेपाल, म्यांमार, कंबोडिया और अन्य देशों में साजिबू नोंगमा पनबा चेराओबा के रूप में भी मनाया जाता है, जहां सिंगापुर और मलेशिया जैसे बहुत सारे हिंदू हैं।","ᱱᱚᱶᱟ ᱫᱚ ᱱᱮᱯᱟᱞ, ᱢᱟᱭᱟᱱᱢᱟᱨ, ᱠᱚᱢᱵᱳᱰᱤᱭᱟ ᱟᱨ ᱮᱴᱟᱜ ᱫᱤᱥᱚᱢ ᱡᱟᱦᱟᱸᱨᱮ ᱥᱤᱝᱜᱟᱯᱩᱨ ᱟᱨ ᱢᱟᱞᱚᱭᱮᱥᱤᱭᱟ ᱞᱮᱠᱟ ᱟᱭᱢᱟ ᱦᱤᱱᱫᱩ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱚᱸᱰᱮ ᱥᱟᱪᱤᱵᱩ ᱱᱳᱝᱢᱟ ᱯᱟᱱᱵᱟ ᱪᱮᱨᱟᱣᱵᱟ ᱞᱮᱠᱟᱛᱮᱠᱚ ᱯᱟᱞᱟᱣᱟ ᱾"
"इन नियमों के तहत, यदि कोई व्यक्ति नीचे चला जाता है और 30 सेकंड की गिनती के बाद जारी नहीं रख सकता है, तो लड़ाई खत्म हो गई थी।","ᱱᱚᱶᱟ ᱱᱮᱭᱟᱢ ᱨᱮᱭᱟᱜ ᱟᱶᱛᱟ ᱨᱮ, ᱡᱩᱫᱤ ᱢᱤᱫᱦᱚᱲ ᱟᱲᱜᱳᱱᱟᱭ ᱟᱨ ᱓᱐ ᱴᱤᱲᱤᱡ ᱞᱮᱠᱷᱟ ᱛᱟᱭᱱᱚᱢ ᱵᱟᱝᱼᱮ ᱪᱟᱞᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱩᱱᱫᱚ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱢᱩᱪᱟᱹᱫ ᱞᱮᱱ ᱛᱟᱦᱮᱸᱫ ᱾"
"उन्हें 1949 में महबूब खान की'अंदाज़'के साथ एक अभिनेता के रूप में अपनी सफल भूमिका मिली, जिसमें उन्होंने राज कपूर और नरगिस के साथ अभिनय किया।","ᱩᱱᱤ ᱫᱚ ᱑᱙᱔᱙ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱢᱮᱦᱚᱵᱩᱵᱽ ᱠᱷᱟᱱ ᱟᱜ 'ᱟᱱᱫᱟᱡᱽ' ᱛᱟᱞᱟᱛᱮ ᱢᱤᱫᱦᱚᱲ ᱯᱟᱴᱷᱚᱠ ᱞᱮᱠᱟᱛᱮ ᱟᱭᱟᱜ ᱡᱩᱜᱽᱡᱤᱭᱟᱹᱲ ᱚᱱᱩᱯᱩᱨᱩᱢ ᱦᱟᱢᱮᱴ ᱞᱮᱫᱟᱭ, ᱡᱟᱸᱦᱟ ᱨᱮ ᱩᱱᱤ ᱫᱚ ᱨᱟᱡᱽ ᱠᱟᱯᱩᱨ ᱟᱨ ᱱᱟᱨᱜᱤᱥ ᱥᱟᱶᱛᱮ ᱚᱵᱷᱤᱱᱚᱭ ᱞᱮᱫᱟᱭ ᱾"
क्षेत्र के भीतर कानून प्रवर्तन की जिम्मेदारी दादरा और नगर हवेली और दमन और दीव पुलिस की है।,ᱱᱤᱭᱟᱹ ᱴᱚᱴᱷᱟ ᱢᱩᱫᱽᱨᱮ ᱟᱹᱱ ᱞᱟᱹᱜᱩᱨᱮᱭᱟᱜ ᱵᱷᱟᱹᱨᱤᱭᱟᱹ ᱫᱚ ᱫᱟᱫᱽᱨᱟ ᱟᱨ ᱱᱚᱜᱚᱨ ᱦᱟᱵᱷᱮᱞᱤ ᱟᱨ ᱫᱚᱢᱚᱱ ᱟ ᱫᱤᱭᱩ ᱨᱮᱱ ᱯᱩᱞᱤᱥᱟᱜ ᱾
आकाश वाणी का टेलीविजन प्रीमियर ज़ी टीवी पर हुआ था।,ᱟᱠᱟᱥ ᱵᱟᱱᱤ ᱴᱮᱞᱤᱵᱷᱤᱥᱚᱱ ᱯᱨᱤᱢᱤᱭᱟᱨ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱡᱤ ᱴᱤᱵᱷᱤ ᱨᱮ ᱾
"हालाँकि, कई पुरुष भी इस त्योहार को मनाते हैं क्योंकि छठ एक लिंग-विशिष्ट त्योहार नहीं है।","ᱡᱟᱦᱟᱸᱭᱮᱱᱜᱮ, ᱪᱷᱚᱴ ᱡᱟᱦᱟᱸᱱ ᱡᱟᱱᱟᱝ ᱴᱟᱣᱠᱟᱹ ᱯᱚᱨᱚᱵᱽ ᱵᱟᱝ ᱦᱩᱭ ᱟᱠᱟᱱ ᱚᱡᱮᱛᱮ ᱟᱭᱢᱟ ᱠᱚᱲᱟᱦᱚᱲ ᱦᱚᱸ ᱱᱚᱣᱟ ᱯᱚᱨᱚᱵ ᱫᱚᱠᱚ ᱯᱟᱞᱟᱣᱟ ᱾"
"मुख्य खाद्य फसल धान की खेती ज्यादातर अंडमान द्वीप समूह में की जाती है, जबकि नारियल और सुपारी निकोबार द्वीप समूह की नकदी फसलें हैं।","ᱢᱩᱲᱩᱫ ᱟᱨᱡᱟᱣ ᱦᱳᱲᱳ ᱫᱚ ᱵᱟᱲᱛᱤᱠᱟᱭᱛᱮ ᱟᱱᱫᱟᱢᱟᱱ ᱰᱷᱤᱯ ᱠᱚᱨᱮ ᱪᱟᱥ ᱦᱳᱭᱳᱜᱼᱟ, ᱟᱨ ᱢᱤᱫ ᱯᱟᱦᱟᱴᱟ ᱫᱚ ᱱᱟᱨᱠᱮᱹᱞ ᱟᱨ ᱥᱩᱯᱟᱹᱨᱤ ᱱᱤᱠᱳᱵᱚᱨ ᱰᱷᱤᱯ ᱨᱮᱭᱟᱜ ᱠᱟᱣᱰᱤᱭᱟᱱ ᱟᱨᱡᱟᱣ ᱡᱚ ᱠᱟᱱᱟ ᱾"
"मिस्टर जोन्स ने लड़की से 30 मिनट तक बात की, उसे क्रूस उतारने के लिए मनाने की कोशिश की।","ᱢᱤᱥᱴᱟᱨ ᱡᱳᱱᱥ ᱓᱐ ᱴᱤᱲᱤᱡ ᱫᱷᱟᱹᱵᱤᱡ ᱠᱩᱲᱤ ᱥᱟᱶ ᱠᱟᱛᱷᱟᱭ ᱨᱚᱲ ᱠᱮᱫᱟ, ᱩᱱᱤ ᱠᱨᱩᱥ ᱫᱚ ᱨᱟᱲᱟ ᱜᱤᱰᱤᱭ ᱨᱟᱹᱡᱤ ᱩᱪᱩᱭᱮ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱠᱮᱫᱟ ᱾"
राज्य में 13 नगर निगम और 132 नगरपालिकाएँ हैं।,ᱯᱚᱱᱚᱛ ᱨᱮ ᱑᱓ ᱜᱚᱴᱟᱝ ᱯᱳᱣᱨᱚᱱᱤᱜᱚᱢ ᱟᱨ ᱑᱓᱒ ᱜᱚᱴᱟᱝ ᱯᱳᱣᱨᱚᱥᱚᱵᱷᱟ ᱢᱮᱱᱟᱜᱼᱟ᱾
