English,Gondi
"A comedian, with his words, makes everyone laugh.","वर्रोर कविहवाला जेलकार, आपुनांग पल्लो, ने सपय कुन कवला काजे मजबुर कितुर।"
Many such efforts are underway in different parts of the country.,बुम ते कोटुह-कोटुह ने इदाम ना कोसित चालू मन्ता।
Indian sea voyages are a medium of adventure as well as knowledge.,भारतीय समुन्द पार कीयाना यात्रा कूबैय गिर्रदा त संग-संग ज्ञान त गेला मावा जरिया आन्द।
I wish Bhai Jagdish Trivedi ji all the very best for his social work.,"नना, तमोर्र जगदीश त्रिवेदी जीन ओनंग बुमकाल बूतोना बाटा कुबैय-कुबैय आसिद हिययतोना।"
The beauty of the sea changes every moment.,समुन्द त सोबा गड़ी-गड़ी बदले मान्ता।
"Alajiram has only one mantra: ""There is happiness in idleness.""",आलसीराम न उन्द गुन आन्द असादी ते सुख मता।
This will make life easier for patients and reduce their discomfort.,अदेनाय गिरहोलरा जीनगी सरेल बने मायर ओना दुख उच्चुय कमी आयर।
Thank you soo much.,नीकुन वेल्लेय-वेल्लेय सेवामान।
It also has a large number of experienced artists.,इप्पे बेरहोर-बेरहोर पुन्दलेर जेलकारलोर गला मंतोर।
The water from the rivers is also used for domestic purposes.,बेरेल त एर्ट लोता उपयोग ते गल्ला वायता।
"The organization is in Srikakulam, Andhra Pradesh and is named'Belgipuram Youth Club '.",इद संस्था आन्ध्र्र प्रदेश ता श्री काकु लम ते मन्ता अन इदेना पोरोय मन्ता बेलजी पुरम यूथ क्लब।
"Actually, there is an interesting story behind this.",असलीते इदेना पर्के गला उन्द सोबले पल्लो मंता।
Lazy Ram sometimes thinks that this laziness is not good.,आलसीराम बेसके बेसके सोचे कीन्दूर आन ओर असदपन ठीक आयो।
The Himalayan heights present immense natural beauty.,हिमालय त उच्चाई कुबैय पुटले त सोबा तुन वेहला कियायता।
I will try to cover as many of the suggestions as possible in the address on 15 August.,ननना कुबैय-कुबैय सलाहीनुंग 15 अगस्त ते वेहनाते बवअमत कियना ता कोसित कियका।
The Himalayas are the highest and largest mountain range in the Indian mountain range.,भारतीय मेटा लाईन ते हिमालय सबले अन बेरहा मेटा आन्द।
A trip to the sea by moonlight is magical.,समुन्द ते लेन्लेंज त वेहच ते सफर कीयाना जादू लेहका आन्द।
So share more of these examples with me.,ते निम्मा गला इदानंग उदाहरणी नूंग जादा से जादा नावा संग वड़ वेहा।
"In such a situation, when the country has announced the Padma Awards three days ago, it is natural to discuss such people in'Mann Ki Baat '.",इदमे मुंद दियांग मुन्ने इद देश ते पद्मा पुरस्कारी नुंग वेहतुर तो (मन की बात) गोक ता पोल्लो दे इदमना मानेयलोरा बाटा वड़कना जरूरी आंद।
Water sports are also fun to experience.,वाटर स्पोटर््स त पुन्दाना गेला मजेदार आन्ता।
"In this too, community efforts are yielding great results.",इप्पेडे गला सबजिन कोसित ते गला वलेय सफलता पुटयता।
He has done a lot of work to revive the traditional medicine system of the Adi tribe.,इद तयहातह मनवालोर मानैय ता पुरकाता ईलाज कियना तरीका तुन पेर जीवेह कीला काजे कुबैय बूतो कीता।
2024 is now just a few hours away.,दो हजार चौबिस इदेक उचुके घंटंग लेक मंता।
The scenic and picturesque scenery is interspersed with rivers.,सोबले अन सोबाय हुड़ाना बेरेह न संग जोड़े मायतंग।
Walking on the beach and taking in the fresh air is relaxing.,समुन्द ओदा-ओदा दायना अन ताजा-ताजा वेड़ एताना सुकून लेहका आन्ता।
There has been a lot of curiosity across the country to know about the life journey of these inspiring people.,इव पदेचपतपदह मानैयता जीमगी चलेह कीयाना त बारे ते पुन्दाना तुन देश मेटै कूबैय गिरदा दिशता।
"With the help of time planning, we can reduce stress and increase our productivity.",टेम तैयार कीयाना संग ता माटलोर बोझा ता कम कीनतोर अन अपनी पैदा कियाना तून बेड़सहना कीत।
"You must have seen, in the last few days, many new songs, new bhajans, have been made about Shri Ram and Ayodhya.","निम्मट हूड़तोरीट होही, हंदलेंग हुचुक दियाने श्री राम अन अयोध्या ता बारे ते कयोटड़ पूनंग पाटंग, पूनंगभजनिंग पंडलेंग आतंग।"
He has also been honoured with several awards for his social work.,ओन बुमकाल बूतोना बाटा गला कयोरड़ इनाम तंग सीना ने मानगून कीले आता।
He wants everything to happen on its own.,ओना इन्दाना आन्दता सब काम अपने आप आयार।
Some organizations are making people aware of organ donation.,उचूक सल्ला तंग गुंदा मानैय लोर मेंदूर हिलाय कर्रहायतोर।
People share this journey with their family and friends.,मानेय इद यात्रा ते आपूना परिवार अन गोतियाकन संग लेन-देन कीयाना।
That is all for today in'Mann Ki Baat '.,‘‘गोक ता पोल्लो’’ते नेंड मातरा इच्चोय।
Another achievement of'Mann Ki Baat'is that it has made radio more popular at home.,गोका पोल्लो’’ दा उन्दपेर उपलब्धि आंद कि वेर रेडियों नुंग लोहक-लोहक ने मानेयतुन लोकप्रिय पकले आटा।
Local markets can be visited for sea ingredients.,समुन्द सामान त बाटा स्तानीय हाटूम ते वेलीना आया पर्रता।
"During the'Jal Utsav'held in Amreli, efforts were made to raise awareness among the people on'water conservation'and conservation of lakes.",अमरेलर ता रच्चा ते जल उत्सव ता बेरा (जल) एर्र गुडहाना अन जलका नुंग पीसहाना जनता तुन चेतेह कीयाना ता उपाय कीतुर।
Most of these women are doing some work of their own today.,इपेडे बेल्ले आस्का नेन्ड आयुना बदेन बदे बूतो अपुहके कीन्तंग।
This education helps to establish a balance between work and personal life.,इधर शिक्षा काम अन पोगरी जिनगी ते उन्द रूप जोड़े कियाना ते काम आन्ता।
"It showed how Nari Shakti is protecting the country in every field, be it water, land, cyber or space.",अपेडे तोहतुर कि मुयवहना लाव एर्र नेल बुम कप्यूटर नेटवर्क अन जोजोन तंग सपय हरिने देश तुन ओड कीस के पयतंग।
This is the first'Mann Ki Baat'programme of 2024.,2024 ता इद पहली गोक ता पोल्लो कार्यक्रम आंन्द।
Numerous rivers originate in the Indian mountain ranges.,भारतीय मेटाक न लाईन ते कुबैय बेरेहक उपजे मायतंग।
"Jabra Eco Tourism is an emerging tourist destination for hiking, trekking, nature trail walks.",जबर्रा ईको टूरिज्म लाटींग ताकसोर दायना टेªकिंग नेचर ट्रेल वॉक ता उन्द उभरे मायले सोबाय हूड़ना डेरा मंता।
The Indian mountain range has several national parks.,भारतीय मेटाक न लाईन ते कुबैय राष्ट्रीय उद्यान मंता।
The entire day of Alirajram passes by sleeping.,आलसीराम ना पूरा दिया हुसकड़-हुसकड़ ते बीतेमान्द।
Playing in the waves of the sea is special for children.,समुन्द त लहर ते कर्रसमा पीलाना बाटा खास मन्ता।
"When there is a collective effort towards a goal, the level of success is also high.",बैसकेय बोदे निशान तुन मिलेमास कोसित आंता तब सफलता ता मान गला वेलम ऊंच आंता।
The ability to make decisions at the right time is developed.,सही टेम ते फैसला कीयाना लाव बेड़सहना आन्द।
"Just a few days ago, in Indore, famous for its cleanliness, a grand event took place.",इदेक उच्चुक दिया मुन्ने स्वच्छता ता बाटा नामजागी इंदौर ते उन्द जोरदार जलसा आत।एर।
This journey should prepare you to face new challenges.,इद यात्रा ते आअपूना पुना मुस्कुहा काम तून मुकाबला कीयाना बाट समरे मास मन्दाना।
Some songs and bhajans have also been shared by me on my social media.,उचुक पाटंग अन भजनिनुंग तो नना गला आपुना ेवबपंस मीडिया ते हालिहतोना।
"Here, all the episodes of'Mann Ki Baat'can be heard so far.",इगा ‘‘गोक ता पोल्लो ’’ अन इदेक अवनह सपोय मचपेवकम केंजला पर्रतोरीट।
The organisation helps these women in preparing bio products.,इद गुन्दा जैविक उपजे माले जोंग तुन कीलाह इस मुयतह कु संग हियता।
"On the evening of 22 January, the entire country celebrated Diwali by lighting Ramjyotis.",22 जनवरी ता नुलपेह पहर कुडुहने देश लोर राम डीया पोतिह तूर डीवाड़ मानेमातूर।
"This time too, many such countrymen have been given Padma awards who have worked to bring big changes in the society by connecting with the land.",इद बेरा गला इदामे बचोक अन बचोक देश ते जनवा लोर कुन पद्य सम्मान हितोर वेर्क जागा तह जोड़े मास भूमकाल ते बेरहा-बेरहा कियाना ता बुतो कीतोर।
"So after that, they will not take home the income from their programs but spend it on society.",तो ओना पर्के ओनांग कार्यकरमींग न धन वायर अदेन लोन ओयोर आयनुर अदेन कुटुम तह् बाटा करचा कियानुर।
"This shows that the prestige of the Padma award, its credibility, its respect, is increasing every year.",इपेडे पता पुटायता की पद्य सम्मान ता वरसून बड़सोर दान्ता।
"This collection will become a flow of emotions, of devotion, in which everyone will become Rama-maya.","इव गूदिहलेंग, बिचारिनुंग, माड़ाना, ना इदम पोंगनप हालानुंग, अप्पे बोरे गला रामनंग पाटामे रमे मायनुर।"
"This honor has also been given to those who have done very brilliant work in Prakrit, Malvi and Lambadi language.",प्राकृत मालवी अन लम्बाड़ी लबेज ते कुबैय बेस बूतो केवालोर कून गला इद मान हिले आता।
Many consider this trip to be the greatest experience of their lives.,कूबैय मानेय इद यात्रा ते आपूना जीवन त कूबैय बेहा अनुभव माने मान्तोर।
The Indian mountain range is inhabited by several ethnic groups.,भारतीय मेटा त लाईन ते कुबैय जाति समूह मंताग।
Bridges over rivers have facilitated traffic.,बेरेह ने बने मातेग पुल ते दायना वायना सरल पंडले आता।
"With the help of this coding, now all the doctors will write the same language on the prescription or their prescription.",इदे रोचे किया ना मदेद ते इदेक सबोय डॉक्टेर चतमेबतपचजपवद अन आपुना कागेत ने उन्द लेहका भाव कोटिर।
You can also send your suggestions to MyGov or NaMo App this year.,निम्मा इद वरसा गला नाकुन आपुना सलाह जरूर लोहकी।निम्मा डलळवअ न छंडव ।चच ते गला अपुना सलाह लोह पर्रतोन।
But first he has to motivate himself.,मति पहली ओन खुद ता उवजपअंजम कियना आन्द।
"Watching the march of the women's band, seeing their tremendous coordination, people at home and abroad were overwhelmed.",मुयतहना वाजा ता सर्रपड़ डाकंग हूड़स अवेहना बरपेला सूल हूड़स देश परेदश तोर मानेय गिर्रदा आतुर।
This trip is suitable for studying marine life.,समुन्दी जीवन ते गोक कीयाना त बाटा इद यात्रा उचित आन्द।
"When the sun sets in the evening, the sky becomes colourful.",नूलपेह पहर बेरा ते पोडद एर्र ते मूड़दन्ता ताना पेरके बूम कूबैय रंगीने ओहनह आन्ता।
"May you all be healthy, stay fit, live happily ever after - this is my prayer.","निम्मट सपय जन बेने मेंट, फिट मंट, गिर्रदा ते मंट - नावा इचोय गोहार आंद।"
Observation of aquatic life forms an important part of this trip.,एर्र ते मन्दलेंग सपोय जीवांग न हूड़तेक इद यात्रा त उंद कूबैय बेरहा बाटा आन्द।
Everyone is born to accomplish a goal.,बोर गला उन्दीय खुतुर तुन कियाला जनुम एतान्तोर।
"But how many sensations does he live within,","मति ओर आपुना गोक ते, बोचोक अड़येन दुकिने जिये मायतोर।"
Many of these books have also received honours.,अवेहने कयोटड़ कागेतिने नामजागी मानगून गला पुट्टता।
who respected the last wishes of their near and dear ones.,ओरलोर आपुना अवलेर कुन आकिरी बिचार तुन एतितूर।
A trip to the Indian Ocean is one that is full of adventure and thrills.,भारतीय समुंद त यात्रा ते हिम्मत अन कुबैय गिर्रदा ता पुन्दानांह आन्ता।
The dirty water of the rivers is harmful to human health.,बेरेह न कलीगले एर्ट मानेय बने मनदाना त बाटा कतरा आन्द।
"My dear countrymen, this time the parade on 26th January was very wonderful.",मावा लाडार्रा लोरिट देश ते मनवालोर इद बेरा 26 जनवरी ता परेड कुबैय जोरदार मता।
"That the Ministry of AYUSH has classified the data and terminology associated with Ayurveda, Siddha and Unani medicine,",कि आयुष मंत्रालेय ने दवाहिड़ पण्डले अन यूनाकी चिकित्सा ते जोड़े गुम्मा अन टपींग तुन ऐर्रिह चियान्तोर।
Pure river water should be consumed for health.,बने मन्दाला बांटा शुद्ध बेटे त एर्ट दुन उन्दाना आयी।
Several projects are being undertaken to keep the Ganga clean.,गंगा बेरेल दुन सफाई इर्रला बाटा परियोजनाग चलाह कियायतोर।
"I would also appreciate those families,",नना अद गुंदा मेटज्ञेर कुन गला महरह किययका।
Indian cruises are full of activities.,भारतीय समुन्द पार कीयाना यात्रा वेगरोय वेगरोय गतिविधि ते नीन्दस मन्ता।
You will be surprised to know that he also has three PhD degrees.,मीकुन इदम पुंज कवे मानह आयर कि ओनगा च्भ्क् तंग मूंड डिग्रिंग गला मंतंग।
Don't forget to bring a camera along for the trip.,ट्रिप त बेरा कैमरा संगेय इर्रना तेन मर्रिंगना आयो।
It has also helped in the construction of many toilets.,वेर कई शौचालयी नूंग पण्डानाता गला संग हितुर।
"See you next time, with the new achievements of the country, with the new efforts of public participation, you must keep sending your suggestions for'Mann Ki Baat '.","मुन्ने बेरा पेर मीलेमायकट, देश तंग पूना पुटलेंग संग सपयतंग पूना कोसित ता संग निम्मा गोक ता पोल्लो द बाटा निम्मा सलाह जरूर लोहचोर मन्न।"
The Himalayas are an important ecosystem.,हिमालय उन्द जरूरी पारिस्थितिकी तंत्र आन्द।
I want to share with you all an inspiring example from Ladakh.,नन्ना मिया सपोरता संग लद्दाखी ता उम्द प्रेरकता उदाहरण मुनके तताला चाहेमातोन हो ही।
Polluted rivers can cause diseases.,कलीगले बेरेह रोग त कारेण बने माया परीयतंग।
The quality of water bodies in rivers should be monitored.,बेरेह ने एर्र राशी न बने तुत हुड़स इर्राना आन्द।
It is nearing its completion in 2023.,हुड़सोर-हुड़सोर 2023 आपुना माराना तिक्के दान्ता।
"With increased research and more scientists joining hands, these medical systems will give better results and people will be inclined towards them.",पड़कना बेड़सिहला अन कुबैय पड़कवालोर कुन संगे -संगे मिले मायले ते मत् नीत अन बेस आसिद हियानूर अन मानेय स ऐना इताते नियाकेय खातिर बेड़सानुर।
"Similarly, Hemchand Manjhi of Chhattisgarh has also received the Padma award this time.",रहमे इद बेरा छत्तीसगढ़ राज तोर हेमचंद मांझीन गला पद्मश्री सम्मान पुट्ता।
The water cycle of rivers plays an important role in ecological balance.,बेरेह न एर्ट चक्र पर्यावरण बिगड़े मायना जरूरी भूमिका निबेह कियाता।
It is thrilling to travel in the depths of the sea.,समुन्द त अडी तह गेला यात्रा कीयाना कूबैय सोबाय आन्ता।
The music of the waves captivates the mind.,लहरांग न पाटांग मन तून मोहे कीतांग।
Many people enjoy diving into the depths of the ocean.,कूबैय मानेय समुन्द त अडीह तह गोता कोरी केवालोर बेसे गीरदा आस मन्तोर।
Indian rivers are an important part of the geographical identity.,भारतीय बेरेह भौगोलिक सीनाह त उन्द जरूरी हिस्सा आन्द।
"But now in this era of Digital India, the products made by them have started reaching different markets of the country and the world.",ल्ेकिन इदेर डिजिटल इंडिया त इद दौर ते इवैहनंग पण्डलंेग देश अन दुनिया तंग अलग अलग हाटूूह ने अवला आतंग।
"My friends, when I talk about AYUSH system of medicine,",नावा गोतियालोरिट इदेक आयुष चिकित्सा पद्यति ता पोल्लो वड़कयतोना।
The water sources from the Himalayas have a profound effect on the rivers.,हिमालय तह पसियले एर्र पुटले ते बेर्रेह ने जादा दबाव पड़ार।
"Even in this age of social media and the Internet, radio is a powerful medium to connect the entire country.",सोशल मिडिया अन इन्टरनेट ता इद सेा गला रेडियो सपय देश तुन जोड़ेह कियाना उन्द हर्र आंद।
"Alasiram has fun conversations with his friends, but never with himself.","आलसीराम अपूना संगवारी लोर संग अच्छा, पोल्लोंग वड़कान तोर मति खुद ओना बेसके हिले।"
"Inspired by an episode of the show, he started working on making organic manure from bananas.",इद्द जलसा ता उंद एपिसोड तह प्रेरित आस ओर केडिं़ग तह जैविक खत्तु पंडाना ता मुड़ कीतुर।
He has to suffer many times due to his laziness.,ओनाअसादी त काजे कई बेराग ओना घाटा तेहाना पड़नता।
One gets a chance to experience the speed of the boat.,डोंगा त गति त पुन्दाना ता बाटा माकून मोका पुटांता।
There are many islands in the Indian Ocean that form the major attraction of the trip.,भारतीय समुन्द ते कूबैय द्वीप मन्तांग अव यात्रा त मुक हूड़ वेसनाहक आन्ता।
Shringi Rishi Ashram is 75 कि.मी away from Dhamtari district headquarters.,श्रृगी ऋषि आश्रम धमतेरी जिला मुख्यालय 75 किलो.मी. (15 कोस)लेंका मंता।
"These medical systems do not use the same language for disease names, treatments, and medications.",इदे डॉक्टेर हिसाब ते गिरहो त पोरोय ऊहकाना अन दवाहिडत्र त बांटा उन्दलेहका लबेज ते केवोर आंन्तोर।
The influence of Buddhist culture can be seen in the Himalayas.,हिमालय में बौद्ध रीति-रिवाज त दबाव हुड़ला पुटायता।
A variety of vegetation is found along the rivers.,बेरेहन ओदा अलग-अलग किसम तंग मरीक-गुलांग पुटायतंग।
Ladakhi Pashmina is reaching markets worldwide under the name'Looms of Ladakh '.,लद्दाखी पश्मीना ‘‘लूम्स ऑफ लद्दाख’’ त पोरोय दुनिया मेटांग हाटून ने अवला आतंग।
The history of rivers is part of culture and civilization.,बेरेह त इतिहास-रीती-रिवाज अन बने त हिस्सा आन्द।
And I always feel like seeing the Dev Deepawali of Kashi.,अन नाकुन जरमे काशी ता पेन डीवड़ हुड़ना ता गोक आयता।
I will also do my best to reach out to them.,नना भी ओन नियागा अविहनाता पूरा कोसित कियाका।
"The rule of Lord Ram was also a source of inspiration for the makers of our Constitution and that is why on 22nd January in Ayodhya, I had talked about'Dev se Desh ','Ram se Rashtra '.","बगवान राम न बेरा ते मावोर संविधान पण्डवालोर गोक तुन सतेह कीयाना बूो कीता (प्रेरणा) अन अदेना कग्गो 22 जनवरी (पूस) महीना ते अयोध्या ते नना, देवक ना सुदा देश ता पोल्लो बड़कतान बगवान राम ना सुदा देश ता बारे ते पोल्लो वड़क्समतोना।"
Safety is essential to take care of when crossing the ocean.,समुन्द तह वेण्डना सेका सुरक्षा त कुबैय दीयान कीयाना जरवत आन्ता।
He always wants to lie down on vacation.,ओर रोजाय छुट्टी ते गुड्स मन्दाना बिचार वानता।
The tableau that DRDO brought out also caught everyone's attention.,क्त्क्व् अद तोहानंग ओर गला सपय मानैय ता गो तुन पिड़ंतगतुर।
"And as always, you and I will be thinking, look how quickly this year has gone by.",इन हर बेरा ता लेहका निम्मा अन नन्ना गता सोचे कीति अन हुड़ा ............इद्द वरसा बच्चो सांड़े बीते मात।
Proper management of river water is essential.,बेरेह त एर्ट तुन सतेय हुड़ाना जरूरी आन्द।
Many new friends are also made during the journey.,दायनात सेका कूबैय पुनोर दोस्त लोर गेला बने मान्तोर।
"Earlier, they used to sell their products only to tourists visiting the place.",मुने इव आपुनांग पण्डलेनुंग इगा सिरिप हुड़ला वालेर कुन ही ममदूंग।
"Today, similar collective efforts are needed for skill development in every village of the country.",नेण्ड देषता हर नाटे कौशल विकास ता बाटा सामूहिक कोसित कियाना जरवत आंद।
Water from rivers is used for irrigation for agriculture.,कृषि त बाटा लाइकला अन बेरेहनग एर्ट तग उपयोग कियाना आयता।
"Through the efforts of both, terminology related to disease and treatment has been codified in Ayurveda, Unani, and Siddha medicine.","रेण्डो न कोसित ते मत, यूनानी अन पण्डले दवा ते गिरहा अन छीले मत कुबैय टापिंग तुन रोचे किया पण्डसीतोर।"
"In a changing India, our daughters and the women of the country are doing wonders in every field.",बदले मायले भारत ते सपय क्षेत्र ते मावांग मियाहकुन देश तंग मुयताह पोरोय कीस तोहतुंग।
India's achievements are the achievements of every Indian.,"भारत तंग कमय कीलेंग, बोरे गला भारत तोर मानैय तंग पंडलंेग अविलेंग आन्दुंग।"
"He has been serving poor patients in Narayanpur, Chhattisgarh for more than 5 decades.",छत्तीसगढ़ ता नारायणपुर ते बातय हिल्वोर पर्रवोर्रकन कीसोरे ओन पचास वरसानह्कले वल्लोके दियांग आयता।
Imagine! 70% of the tigers!! - Then there are many tiger sanctuaries in different parts of our country.,सोचेकीम्ट! 70 प्रतिशत बुर्रकह!! अनियतो मावा देश ते अलग-अलग बाटा ने कुबैय ज्पहमत ैंदबजनंतल मन्ता।
You will be surprised to know that more than 450 women from 15 villages are involved in weaving these.,निम्मा पुन्दक अचोन गबरे माइकि अन अवेन कोटला 15 नाहक न 450 त वेलय आसक जोड़े मातंग।
"In this, the World Health Organization has also helped.",इदामे विश्व स्वास्थ्य संगो ते गला मदेद कीता।
You must also join this campaign to plant a tree in the name of your mother and also post it on social media with a selfie.,अपुना यायाना पोरोयते मरा उर्रसना इद अभियान ते निम्मटगला कच्चित जोड़े अन ैमसपिम माम्ट अन पिड़िंग्स ैवबपंस डमकपं ते गला लोहट।
It gives us the ability to prioritize tasks and use time well.,ओर लोर काम ता ओड़ दे हियाना अन टेम ता सही काम कीयाना लाव हिन्दूर।
"Nowadays, the importance of skill development is being acknowledged all over the world.",इदार कौशल विकास ता कूषेय मान सबोय बूम ते माने मान्तोर।
Many people of the country sang Ram bhajans during this time and dedicated them to the feet of Shri Ram.,देश तोर कुबैय मानैय लोर इद पहर राम ना पिटो ओस कुन कुद तुन श्रीराम ना कालकने होपे किसीतूर।
Dev Deepawali is also celebrated on this day.,इद्द दिया पेन डीवड गला माने मायतोर।
I congratulate and appreciate all those associated with this organization for skill development.,नन्ना इद कौशल विकास ता बाटा इद टोली ते जोड़े मायलेर सप्पोय कुन सेवा जोहर कियान तोना ओरा नना तारीप कियायतोना।
But he still falls into his deep sleep.,मति ओना भी वोना अपूना गुमिया नीद ते मुड़दीतूर।
Rivers with white sand in India are part of the natural beauty.,भारत ते पांडरी ततुम बिती बेरेहक पुटले न सोबा त हिस्सा आन्द।
"The water festival was organised by the foundation of Savji Bhai Dholakia, who made a name for himself in Surat's diamond trade.",इद जल महोत्सव ता रच्चा सूरत ता हीरा करोबार ते आपुना पोरोय पन्डाना सावजी भाई ढोलकिया ना फांउडेशन ना जरयेत ते कील आत।
Many people plan sea tours.,कूबैय मानेय समुन्दी पर्यटन त योजना पण्डान्तोर।
Many people from abroad have also been honoured with the Padma Awards.,बहिर देश तोर गला कुबैय मानेय कुन पद्य पुरस्कार ता मान गुन किले आता।
I am happy that'Mann Ki Baat'has become a powerful medium to highlight such achievements of Indians.,नाकुन गिर्रदा आन्ता की ‘गोक ता पोल्लो’ भारत तोर ना इदमे उपलब्धि तुन उजागर किययना ता उंद दमकम माध्यम बन्ने मायता।
that it is called a living document.,अदेनका इदेनांग कागेतीनुंग जीवोत इन्दाना आनता।
The unceasing flow of rivers inspires life.,बेरेह न अविरत पोगाना जिल्गी तुन वेहायता।
But Alasiram is always in the same mood.,मति आलसीराम रोजाय ओना बुधते मन्दूर।
And what better than'Mann Ki Baat'to convey this?,अन इदेन वेसनाता बांटा ‘‘गोक ता पोल्लो’’ त सोबा तहक ले बातल आयला पर्रता।
He loves burgers and pizzas.,ओन बर्गर अन पिज्जा कुबेय विचार मन्द।
Now people have the opportunity to nominate themselves as well.,इदेक इपे भूमकाल न ओदा ते आपुना छवउपदंजम कियाना ता मोका मन्ता।
"That is, our local is now going global and due to this, the income of these women has also increased.",म्तलब मावा लोकल इदेक ग्लोबल बायला आता अन इदेन काम इव असकनंग कमाय बेरसला आतां।
"So we not only give that person that skill, but we also provide them with a source of income.",ते माट ओर मानेय कुन सिरबस तरीकंगे आयो मति ओर कुन आय ता उन् जटिया हीले आता।
Alajiram laughs a lot at the thought.,आलसीराम न सोच ते कौवसितूर।
"Similarly, inspired by'Mann Ki Baat ', Prerna Tirth, a pilgrimage centre near Ahmedabad, has put up an interesting exhibition.",ऐनय लेहका ‘’गोक ता पोल्लो’’ तह प्रेरित आस अहमदाबाद ता हेरे तीर्थ धाम प्रेरणा तीर्थ ते उन्द ठिया दिलचस्प आना हक हुड़ानांग पण्डले आतंग।
