English,Gondi
We have hardly heard of these people before.,माकुन इव मानैय तंग बारे ते मुन्ने शायद हुड़ला के जला पुटता।
Alasiram spends time playing online games with his friends.,आलसीराम अपूना संगवारी संग ऑनलाइन खेल करसन तोर समय बेकार आन्त।
"During this time, the country saw the power of collectivity, which is also a great basis for our resolutions of a developed India.","इद बेरा देश सल्ला गुंदांग ता लाव हुड़त, इद बड़हे मायना भारत ता मावा पोल्लो हिले गला कुबैय बेरहा पैदी आद।"
"Friends, The opportunity to lay down one's life in Ayodhya has brought crores of people of the country together.",गोतया लेरिट अयोध्या ते जिवा अरहाना पहर देश तोर करोड़ो मानेय लोर कुन मानेमाम कि उन्द सूतूर ते दोही चितोना।
"Friends, I am very happy about this.",सगवार नाकुन इव पोल्लो दा कुबेय गिर्दा मन्ता।
The enthusiasm of the passengers is also worth watching.,यात्रा केवालोरा कुशी हूड़न लेहका आन्ता।
The water of the rivers is like nectar for life.,बेरेह न एर्ट जिल्गी त बाटा अमृत त समान आयता।
Tourism is a major contributor to the Indian mountain ranges.,भारतीय मेटाक न लाईन ते वेलीय वाला कुबैय साझा कियाना आन्द।
Vaidyaraj Hemchand Manjhi also treats people with the help of Ayush system of medicine.,दवंग हेवाल हेमचंद मंाझी गला पुरकाता द्वारा ता ओड़ दे मानैय कुन तीसायतोर।
Now various innovations have also started taking place in this regard.,इदेन पैय्स इदेक रंग-रंगनंग पददवअंजपवद नवाचार गला आयतंग।
Each physician writes down the name of the disease and the modalities of treatment in his own way.,सबोय डॉक्टेर आपुना हिसाब ते गिरहो त पोरोय अन तिसाना त हिसाब किताब कोटान्तांग।
"While time planning helps us plan for the future, it also motivates us to focus on the present.",टेम तैयार कियाना संसार तोर मानेय वायना बेरा ता तरीका पण्डाना ते काम कियाना आन्द। अदे मांकून परके ते अकल केद्रित कीयाना काम आनता।
Another area where women have made a mark is self-help groups.,उन्द पेरे लिही मंता अगा मुयातहकु पेरे पोरोय कीतंग अद आंद ेमस िीमसच हतवनचे (स्व सहायता समूह)।
Traditional markets often develop along Indian rivers.,भारतीय बेरेह ने मोका ते तयहाता धारा ते हादुम बेरसायतंग।
He didn't have a single rupee.,ओर उन्द रूपयांग गला आपुनगा इर्रोर।
The water level of the rivers depends on the monsoon rains.,बेरेहक न एर्र कोहड़ा मानसून त पिर्ट द ते आया कियायता।
These women are taking the society and the country forward with their work at the grassroots level.,इव मुयतह्क जागा तह् आपूना बूो ते बुमकाल अन देश तुन मुन्ने ओनतंग।
"The Indian mountain range includes several prominent mountains, such as Kangchenjunga and Nanda Devi.",भारतीय मेटा लाईन ते कुबैय मुख्य मेटाक संगेय मंतांग इदाम लेहका कंचनजंगा अन नंदा देवी।
The scenery of nature is amazing during the journey.,यात्रा त बेरा प्रकृति त न जारे हूड़ वेसनाह लेहका आन्ता।
Photography requires patience and composure.,फोटोग्राफी त बाटा धीर अन आपूना मन ते मनवाल न कूबैय जरूरत आन्ता।
The Constitution of India was made after such intense brainstorming.,भारत ता संविधान तुन पकाय सोचे बिचारे कीले परके पण्डले आता।
Alasiram finds laziness in every new thing.,आलसीराम मीन बदे भी पुना चीज ते असादीपन नजेर आन्ता।
"Women of Nibiya Begampur village, associated with self help groups, prepare biofertilizers by mixing cow dung, neem leaves, and a variety of medicinal plants.",स्वःसहायता समूह ते जुड़े मास निविया बेगमपुर नाटेनंग मुयतह टालिहना पड़प लीम तंग आकीनुंग अन कुबैय रंग-रंगनंग दवा पोद्देलानुंग मीलह कीस मंजल जैविक कतू जोंगा कीयतंग।
Countless wildlife is found in these parks.,इव उद्यानी ने लेख पर्रावह कोटुह जीवांग पुटायतंग।
"My dear countrymen, in'Mann Ki Baat ', we bring to the fore the efforts of such countrymen who are working to empower the society and the country with selfless spirit.",नावा लाडरा देशवासिलोरीट ’गोक ता पोल्लो’ दे माट इदमे देशमेटोरा कोसित किलेतुन मुन्ने तत्यतोराट जो दरमोती ता पोल्लो संग ते कुटुम तुन देशतुन दमकम कीलाह बूतो कियतोरट।
The river Sankranti festival is celebrated in Indian culture.,बेरेल संक्रांति तीहार भारतीय रीति-रिवाज ते माने मायना आयता।
The view of the blue water spreading far and wide is amazing.,लेक-लेक बिगरेह मायले नील लेहकाडा हेर्र त हूड़ना उन्द हट्टो लेहका आन्ता।
Many people are also writing new poems.,कुबैय मानैय लोर पूनंग कत्तंग गला कोट्टयतोर।
Which is called'Hamar Haathi-Hamar Goth '.,अदेना पोरोय आंद ’हमर हाथी -हमर गोठ’।
There are also those who are spreading awareness in the society for the prevention of drugs and alcohol addiction.,उन्द इदम गला मन्ता वोर दवा अन दाड़गो ता टक्कर तुन आड़ा हियाला बूमकाल ते चेतेह कियान्तोर।
You will feel happy and proud to know that 70 percent of the tigers in the world are in our country.,मीकुन इद पूंजमंजल गिर्रदा अन गवर्च ता बिचार आयर कि बुममेटे बोचोक बुर्रकह मंतंग अचोकने 70 प्रतिशत बुर्रकह मावा देश ते मंतंग।
Indian rivers have a profound impact on the culture of the people who depend on them.,भारतीय बेरेहक अवेह ने भरोसा ते मातेयक न रिवाज तुन कुबैय दबाव वायता।
This is evident from the life of Bhai Jagdish Trivedi ji.,येर तमोई जगदीश त्रिवेदी जीना जिलंगी तह पुनहयता।
It is our responsibility to protect the rivers.,बेरेहकुन पीसीहला मावा जुमेदारी आन्द।
The view of the sunset while sailing in the sea is unparalleled.,समुन्द ते दायना सेका पोड़द अर्राना पहर त हुड़ाना कूबैय सोबा हियान्ता।
"For the last 7 years, a popular program is being broadcasted on the radio here.",बीते माले 7 वर्षा ने ईगा रडियो ता उन्द सपाय ता बिचार कीले जलसा ता प्रसारण आयता।
I had urged the people of the country to take up a cleanliness drive from Makar Sankranti to January 22.,नना देश तोर मानैय लोर कुन इनलेना कि मकरन संस्कृति तह 22 जनवरी अवनह स्वच्छता अभिमान चलेह किमट।
But then he went to sleep.,मति ओर सीचे कीस हुंज हितर।
People take his laziness for a joke.,मानेय ओना असादी ता मज्जक ते आन्द।
A study of the permanent water currents of rivers is necessary.,बेरेह न रोज एर्र पोंगाना सोये कियान्त जरूर आन्द।
The Ganga cleaning project is important.,गंगा त सफाई परियोजना जरूरी आन्द।
Choosing the right time and place for wildlife photography is important.,वन्य जीवांग न फोटोग्राफी त बाटा सही समय अन सही स्थान त चूने कीयाना कूबैय जरत आन्ता।
There is a need to spread awareness about sustainable environment in the Indian Ocean.,भारतीय समुन्द ते स्थायी पर्यावरण त बाटा जागरूक फैले कीयाना जरवत आन्द।
Many festivals are also coming in the coming time.,वायना दिया ते कुबैय पंडुमिंग गला वायनुंग।
Snowfall in the mountain areas is seen in winter.,मेटा त क्षेत्र ते आदुरक अर्रायतंग पीन सेका हुड़ला पुटायता।
This joy and enthusiasm about the tricolor connects us to each other.,तिरंगा तुन पैय्स इद गिर्रदा इद उमंग माकुन हेरे-हेरे जोड़े किययतोर।
"He says that after'Mann Ki Baat ', people's curiosity about his radio museum has increased further.",ओर इंतोर कि गोकत पोल्लो दा परके ओना रेडियो म्यूजिक तुन पैयस मानेयतुन गिरदा कुबैया बरसता।
Some organizations are helping to register people who want to donate organs.,उचूक संस्तांग मेदूह हियाना ता बिचार मनलेर मानैय तुन लिकह किययना ता संग हिययतोर।
"The physical challenges, the financial challenges, did not stand up to these courageous and talented players.","मेंदुहनंग अड़चेनिंग, पैसानंग अड़चेनिंग येर दम बितोर अन सुरवाल करर््सवालोरकुन इव अड़चेनिंग सेके कीला पर्रोग आतुंग।"
The water cycle of rivers is like a backbone for life.,बेरेहक न एर्ट चक्र जिल्गी त बाटा मुर्रसुदा पेड़ेका लेहका आयता।
Wildlife photography requires patience and composure.,वन्य जीवांग न फोटोग्राफी त जाटा धीर अन आपूना मन ते मनवाल न जरवत आन्ता।
"In the Dhamtari district headquarters, Maa Vidhyavasini is self-incarnated as a goddess, to whom devotees visit daily.",धमतरी जिला मुख्यालय ते देवती ता रूप ते मां विहयवासिनी स्वयं भू-रूप अवतरित मंता अदेना सोबय हूड़ला रोज्जा भक्ति केवालोर वांतोर।
And India's achievements are the achievements of every Indian.,"अन भारत ता उपलब्धि, हर भारत तोरला उपलब्धि आन्दुग।"
The third chapter of the original copy of the same constitution describes the fundamental rights of the citizens of India.,दे संविधान ता असल कागेती ना मूण्ड (तिसरा) अध्याय ते भारत ते मनवालोरा असल हक कुन समझेह कीस कोटले आता।
"I have only mentioned a few efforts here, but I am happy that public participation is coming in very handy in tiger conservation.",नन्ना इगा बातय गला कोसित कियना ता बारता कीतोर मति नाकुन गिर्रदा आत की जनभागीदारी बुर्रकाह न रकवाली ते कुबैय बूतो वायता।
Nepal and Tibet form the Himalayan borders.,नेपाल अन तिब्बत हिमालय त सीमा तुन पंडायता।
"When we teach someone a skill,",टसके माट बोने गला तरीकंग वेहान्तोरोम।
The lush green forests spread along the river banks present a breathtaking view.,बेरेल ओदा ते बिगरे माले हरा-भरा कोटुम किसमोत हुड़ाना तुन वेयता।
Many species are endangered due to water pollution in rivers.,बेरेह ने एर्ट कलीगले त कारेण कुबैय प्रजातिंग खतरा ते मंताग।
Indian rivers are used to irrigate crops.,भारतीय बेरेहन उपयोग हनुम तुन लोसकला बाटा कियाना आयता।
"But, now I am happy that after the announcement of Padma awards, such people are being discussed everywhere, ""he said.",मति इदेक नाकुन गिरदा मंता की पद्य सम्मान ता आरो ता परके इदामनोर मानैयता सपोय को टूहने बड़कतुर।
"Today, more than 6 thousand farmers from the surrounding villages are purchasing bio-products from them.","नेंड, हेरे-हेरेनार्रनोर 6 हजार तह जादा नेल बूतो केवलोर इवेनागडह इपव चतवकनबजे जैविक तह उपजे मालेतुन ऐसायलोर।"
That the system of Padma honours has changed completely in the last decade.,की परेक उन्द वरसा त पद्य सम्मान ता सिस्टम सपोय बदले माता।
Don't forget to enjoy the delicious seafood.,मिटास समुन्दी गाटो त गिर्रदा तिन्दाना निमट मर्रीग माट।
"My dear countrymen, they say, every life has a goal,",मावा देश ते मनवालोर लाडरह वड़कान्तोर सपोद जीवा ग उदीय सुतुर आन्द।
Enjoy the festive season with your family.,निम्मा अपुना कुन्दा लोर संग मीलेमास पंडुमीने गिर्रदा तेहिट।
"The'Belgipuram Youth Club ', focused on skill development, has empowered nearly 7,000 women.",कौशल विकास ते गुड्स बेलजी पुरम यूथ क्लब ते करीबन 7 हजार आस्क कुन कर्रिहचितुर।
Aliraj Ram dreams of becoming a motivational speaker one day.,आलसीराम न सोच आनता उन्द दिया डवजपअंजपवदंस ैचमंामतबने मायार।
"My dear countrymen, Namaskar.",नावा लाडराह देश ते मनवालोरिट सेवा जोहार।
There is excitement. People are expressing their feelings in different ways.,गिर्रदा मंता। मानैय आपुनंग बिचारिनुंग अलगे-अलगे ओड़ दे वेहयतोर।
More than 100 antique radios from across the country and abroad are displayed here.,इगा देश-विदेश ता 100 तह जादा ंदजपुनम रेडियो मुंग तोहले आता।
Alirajram has a dream that one day he will succeed.,आलसीराम मीन उन्द सपना ते उन्द दिया ओर अच्छा काम आतः।
The countrymen are also very happy that 30 women are among the recipients of the honor.,देश ते मनवालोर इद पोल्लो तुन पोयस कुन कुबैय गिर्दा मन्ता की मान कलियानांग बितिह ने उन्द कोडी पद (30) मुयताह मंताग।
Alajiram had thought of running once last year.,आलसीराम पेरके वर्षा उन्द बार पितला सोच कीतूर।
Shringi Rishi Ashram is located at a distance of 07 कि.मी from the city development block headquarters.,श्रृंगी ऋषि आश्रम नगरी ब्लाक ता मुख्यालय ढेढा कोस लंेक ते स्थित मंता।
"On the hills of Sihawa is the famous Shringi Rishika Ashram of the Tretayuga, known as ""Mahendragiri.""",सिहावा पहाड़ीने महेन्द्रगिरि ना पोरोय प्रसिद्ध त्रेतायुग तह प्रसिद्ध श्रृंगी ऋषिका आश्रम मंता।
"My dear countrymen, now I am sharing with you one such achievement of India.",नावा देश ते मनवालोर लाडरा्र लोरिट इदेक नन्ना मिकुन भारत त उन्द इदामे मान अलिहला कियान्तोना।
"Sitanadi Wildlife Sanctuary, which was a tiger reserve, is a popular tourist attraction.",सीतानदी वन्य जीवांग अभ्यारण ते बुरकांक रिजर्व मंद उॅद लोक प्रिय हुडाना शोना ढेरा त केन्द्र मंता।
"Friends, Along with the increase in tigers, the forest cover in our country is also increasing rapidly.","गोतियालोरिट, बुर्रकह बर्सना ता संग-संग मावा देश ते पट्टड़ एरिया गल्ला जोर से बरसयता।"
"By 15 August, various products start appearing in the house, office, car, to install the tricolor.","15 अगस्त वासोर-वासोर लोत,े आपिसते, कार ते, तिरंगा लगेह कीला रंग-रंगनंग चतवकनबज बीडर ओहनह आयता।"
"Today, many organizations in the country are also making very inspiring efforts in this direction.",नेंड देश ते कुबैय सल्ला गुंदा अंग गला इद बासा कुबैय करीहलय कोसित कियय तंग।
I request you to share your compositions on social media with the hashtag Shri Ram Bhajan (#shriRamBhajan).,नावा मीकुन बिन्ती मंता कि हैशटेक श्री राम भजन ता संग निम्माट आपुनंग रोचेह कीलेनुंग सोसल मीडिया ते हालहना कीम्ट।
"Similarly, these women also prepare organic pesticides by making a paste of ginger, garlic, onion and chilli.",इदमे इव मुयतह अदरक लसुन गोंदरींग अन मीरीना पावडर पंड्स मंजल जैविक पुड् हवकना दवा जोंग कीयतंग।
There are some who are engaged in nature conservation efforts by planting thousands of trees.,बचोक तो ईदाम गला मन्तोर वेर्क हजारो पोदे लंग उर्स कुन प्रकृतितुन पिसहाना ता कोसित ते मन्तोर।
"You must have noticed that when the tricolor is hoisted on every house in the colony or society,",निम्मट सेत कीतोरिट होही अन समाज तंग ओकोह-ओकोह लोहकने झण्डा उंगयता।
"Together, these women have formed an organisation called'Unnati Organic Unit '.",इव मुयताह मीलेमास ’उन्नति जैविक इकाई’ (जैविक कतू) ता पोरोय ते उन्द गुन्दा पंडतुंग।
The Tiranga Water Fountain was well received by the people who attended the event.,रच्चा ते सामील आयवा लोट कुन तिरंगा वातर फाउंडेशन कुलेय बिचार बात।
That's all with me in'Mann Ki Baat'today.,नेंड ‘‘मन की बात‘‘ ते नावा संग इचोय मनी।
Indian wildlife photography is unique in capturing the unseen aspects of wildlife.,भारतीय वन्य जीवांग न फोटोग्राफी ते वन्य जीवांग न बीना हूड़वाय बिचार कीयाना अदम लेटका आन्ता।
It so happened that once Bhai Jagdish Trivedi ji said that when he will be 50 years old in 2017.,आत इदम कि उन्द बेरा तमोर जगदीश त्रिवेदी जी इतुर कि अस्के 2017 ते ओर 50 वरसानोर आयनुर।
"Angaar Eco Adventure Camp is at a short distance from Maa Angarmoti Temple, which will have new adventures like Verma Bridge, Bron Fire Cat Walk, Monkey Crow. Commando Net, Tyre Showing, F Crossing.","मां अंगार मोती मंदिर उच्चुय लेक ते अंगार इको एडवेंचर केम्प मन्ता अपेड पूनांग-पूनांग एडवेंचर जैसे वर्मा ब्रिज, ब्रोन फायर कैट वॉक मंकी को कमांडो नेट टायर रोइंग एफ क्रासिकंग तह गुजरेमायला लागर।"
This power of collectivity will take our country to new heights of success.,सल्ला गुंदा मेरोर इदे लाव मावा देश तुन बड़हे मायना ता पूना तोर्रा अवहार।
The water of the rivers is the source of inspiration for agricultural production.,बेरेहन एर्ट नेलींग उपज त बाटा वेहना पुटले आन्द।
"Whatever work we do, whatever decision we take, this should be our first criterion.","माट बातय गला बूतो केविट, बातय गला वड़कीट, मावा सबले पेहली अट्अे इदे आयी।"
The day is not far when you will see Namo drone diyas helping in farming through drones in the fields in villages.,"अब दियांग हिलेंग अस्के निकुन नार्रक नरिकने, नेलिने, नमो ड्रोन ते दीदिह्कु ड्रोन ता संग नेलिन संग हिसोर ओह्ना आयनुंग।"
"Hearing the name, you may wonder what the connection between radio and elephants might be.",पोरोय केन्जस मंजाल मीकुन लागायता आयर कि रेडियो अन हाथी ता लेह्का बाता सम्बन्ध आयर होही।
Private vehicles are used more to reach Jabra village.,जबर्रा नार्र दायला निजी आपुना गाड़ी ता उपयोग जादा कियाना आंता।
What will the country gain from this?,"कि इप्पेडह देश तुन बाता पुट्टार, इपोडह देश तुन बाता नप्पा आयर।"
Indian rivers require hydration and renovation.,भारतीय बेरेहक ने एर्ट योजना अन पुना पंडाना त जरूरत आयता।
"This spirit should not stop, this campaign should not stop.",इद विचार अटके मायमकि इद अबियान अटके मायमकि।
I again extend my best wishes to all the recipients of the Padma Awards.,नना पद्य सम्मान एतवालोर सपोय कुन नावा फेरवने असीद हियाय तोना।
When visiting another doctor with the same procedure.,असके अदेन बदे दूसोर डॉक्टेर निगा दान्तोर।
It is because of such efforts that the tiger population in India is increasing every year.,इदना उपय ता मारे भारत ते बुर्रकहना संख्या बड़हेमायता।
Land use change can affect the river system.,नेल द उपयोग बदले माले ते बेरेल प्रणाली प्रभावित आया पर्रता।
"During the river journey, one comes in contact with the traditions of the local people.",बेरेल दायतात सेका नाटे तोर मानेय तंग धारा ने मिले मायहायता।
Trekking and mountaineering are organized in the Indian mountain ranges.,भारतीय मेटा लाईन ते ट्रेकिंग अन मेटा तरग वालोटा आयोजन कियाना आयता।
Storage of river water is helpful in solving the water crisis.,बेरेह न एर्र केहले एर्र संकट तुन हल कीयाला मददगार आन्द।
Alaziram also disables the alarm clock.,आलसीराम अलार्म घड़ी तून बन्द भी कीन्दूर।
Keep the energy to do something new for the country.,देश ता बाटा बातय-बातय पूना कियना ता लाव जरमे कीम्ट।
"But the most talked about was the Women Power at the parade, when on the path of duty, women contingents of the Central Security Forces and Delhi Police started marching and everyone was filled with pride.","मति बुबेय वल्ले वड़कना हो मुयतहन लाव तुन हूड़म मंजल आत अस्के आपुना बूतो ता हर्र दे, केन्द्रीय सुरक्षा बलों अन दिल्ली पुलिस तंग मुयतहना गुंदंग सर्रपड डाकंग मूड़ कीतुंग अस्के सपय जन गिर्रदा ते तेपिदतुर।"
The impact of climate change in rivers is being studied.,बेरेह ने एर्र-वेड़ीय बदले माले त प्रभाव त अध्ययन कियाना आयता।
"So, in front of my eyes, a picture of Yanung Jamoh Lago is also coming.",अस्के नावा कोण्डना मुन्के यानंुग जामोह लैगो ना गला मुरेहन मुनेक वायता।
A voyage across the Indian seas requires courage.,भारतीय समुन्द त यात्रा तेला त कूबैय जरवत आन्ता।
"Scientists from other countries will also get complete information about the disease, medicines and its effect.",दूसोर देशतोर पड़कवालोर कुन गला गिरहो त मत् अन ओनांग दाब ते सपोय पुन्दाना पुट्टार।
About one and a half thousand girls had also participated in the cultural programs that were held.,अब जो एॅदानंग कर्रसानंग जलसांग आतुंग अवेहने गला अंलाज ते डेडा हजार मियाह हंज मंदलेंग/मतंग।
Every piece of the ocean tells a story.,समुन्द त सपोय गटना उद कीसा केन्जीह लेहका आन्ता।
Sometimes Alajiram tries to motivate himself.,बेसके बेसके आलसीराम अपून अपूना बेहला कोशित किनतोर।
The Kutch and Jharvera rivers run dry.,हेमुह अन जारवेटा बेरेह वेतले ते दायतंग।
The Himalayan region is surrounded by the cultural and religious heritage of India.,हिमालय त क्षेत्र भारत त रीति-रिवाज अन धार्मिक मुनेतह अरले आता।
The variety of marine life is amazing.,समुन्द जीवांग न आनी बानी मन्दलेर उद् हट्टो लेहका मन्ता।
Scientific studies are ongoing to understand the flow of rivers.,बेरहना पोगा न तुन पुन्दाला बाटा वैज्ञानिक विचार जारी मंता।
Capturing natural moments of wild animals is important in wildlife photography.,वन्य जीवांग न फोटोग्राफी ने कोटूम त जानवार न आपूना उचून पल मेटा सोबाय कीयाना कूबैय जरवत आन्द।
The experience of walking along the stream of rivers is wonderful.,बेरेह न पोगा न त संग ताकाना त पुन्दले अजीब आयता।
It is necessary to raise public awareness about the affected rivers.,बेरहाग बेरेहक न बाटे ते मानेय तुन पुन्दला कुबैय बेसहाना जरूरी आन्द।
"And it is very interesting that at the beginning of the third chapter, the makers of our Constitution had given place to the pictures of Lord Rama, Mother Sita and Lakshman Ji.",अन इद जीवातुन गिर्दा वानह आंद तेना मूण्ड अध्याय ता सुरू ते संविधान पण्डवालोरक बगवान राम यायाल सीताल अन लक्ष्मेन न पोटो नुंग जागा हीतोर (सपाह कीतोर)।
There have also been several changes in the system of awarding the Padma honours.,पद्य समान हियाना ते कुबेय बदले मातांग।
Several fish species are found in Indian rivers.,भारतीय बेरेह ने कुबैय मीनक नग प्रजातिगं पुटायतंग।
A variety of fauna is found in the river basins.,बेरेह गाटुहने कुबैय किसम तंग जीवाग जानवरक पुटामतंग।
The flow of the Ganges River is associated with cultural traditions.,गंगा बेटे द पोंगा त रीति-रिवाज धारा ते जोड़े मायता।
"His real name is'Ram ', but everyone calls him Alajiram because he is lazy.",ओना असली पोरोय राम आन्द मति आलसी (असादी) आन्दूर काजे सबलोर आलसीराम इनजोर कैयान तोर।
The extra sweetness of the water in the rivers increases the fertility of the land.,बेरहेन एर्ट त अलग मिठास नेलीग त उपजाह किले बेटसायता।
It's been a decade.,अद उंद पीड़ी त पड़ाना आना।
The flora and fauna of the river are being studied in the ghats.,घाटुम ते बेटेल अन दग पोदेलांग अन जीवानंग अध्ययन कियाना आयता।
There is also one who has conserved more than 650 varieties of rice.,उन्द इदम गला मता ओर लोर अपेडे नुकानुंग सारूंग सौ पच्चेस (650) ते कुबैय आनी-बानी ता ना हुजाड़ता बूतो कीतोर।
"Here too, one thing that caught the eye was the daughters of Arjuna Awardees and their life histories.",इगा गला अद उन्द पोल्लो मानैय ता गोक तुन कुबैय पिंड्गंत अद मतंग ’’अर्जुन पुरूस्कार’’ एतानंग बितिह मियाह अन अवेहना जिलंगी ता दायना।
Such efforts are creating a positive environment towards organ donation in the country and are also saving lives.,इदम कोसित ते देश व्तहंद कवदंजपवद ता इदे बेसता माहौल बने मायता अन मानैय तंग जिबांग गला पिसयतंग।
"August 15 is not far away and now another campaign has been added to August 15,'Har Ghar Tiranga Abhiyan '.","15 अगस्त ता दिहड़ इदेक हिल। अन इदेक तो 15 अगस्त ता संग उन्द और अभियान जोड़़ेमाता, लोतपुटि तिरंगा अभियान।"
"The relationship that you and I have built through'Mann Ki Baat ',",गोक ता पोल्लो (बर) मावा अन मिय्या नाता मंता।
"One emotion, one devotion, one Ram in every word, Ram in every heart.","कुडुहले मानैय ता बिचर उन्द कुडुहले मानैय ता माड़ना उन्द कुडुहले मानैय तंग पोल्लो राम, कुडुहले मानैय ता जीवा ते राम।"
I loved that millions of people joined in the spirit of devotion and cleaned the religious places in their area.,नाकुन अचा पड़त कि लाखो मानेय लोर माड़ना बिचार ते जुड़े मातूर आपुना कोलान ते धार्मिक डेरा नून चुक चुका कीतूर।
The naming of rivers is based on several religious and historical references.,बेरेह न पोटीय कुबैय धरम अन इतिहास सोबा त अनुसार मंता।
Ms. Yanung hails from Arunachal Pradesh and is a herbal medicinal expert.,सुश्री यानुंग अरूणाचल प्रदेश ता मंदाना बित्ती आंद अन जड़ी-बुटी ना पंुदले बिति आंद।
A trip across the Indian Ocean is a unique experience.,भारतीय समुन्द तून वेडाना अन दयना कूबैय हन्दाना लेहका आन्ता।
Alajiram had really thought of doing something for his life.,असादराम सच ते अपूना जिन्दगी ते बताय कियाला सोच कीनतोर।
"This time, out of the 20 marching contingents, 11 were women.",इद पहर परेड ते सर्रपड डांक केवालोर कोड़ी मेंड दस्ताने तुन पद उन्द दस्ते मुयवहनंगे मंतंग।
Jabra village is 65 कि.मी. away from Dhamtari district headquarters.,तबर्रा जार्र धमतरी जिला मुख्यालय तह65 कि.मी.लेक मंता।
