Unnamed: 0,Hindi,Bhili
530,यह फिल्म अकादमी पुरस्कारों के लिए भारत की ओर से भेजी गई फिल्म थी।,ये फिलम अकादमी इलामो हारु भारत नी तरफ थी मोकलेली फिलम हती।
291,कुछ लोगों ने भारत की हमारी यूनिवर्सिटीज ग्‍लोबल बने इसके लिए सुझाव दिया।,कईंना लोकुंईं भारत नीं हमारी यूनिवर्सिटीज ग्‍लोबल बणें इनां हारूं रॉय आली।
522,आज भी हमारे देश में Medical Education के लिए हमारे बच्‍चे बाहर जा रहे हैं। वो ज्‍यादातर मध्‍यम वर्ग परिवार के हैं।,आज पण अमारा देह मा मेडिकल एजुकेशन हारु अमारा सारां बाहरते जाइरियां से। वी वदारे थी वसमावाकां जातियु परिवारु ना से |
339,ये शब्द खेल में उपयोग किए जाने वाले पोल को भी संदर्भित करता है।,यो हबद रमना मा उपयोग करवानू मोटू खबो उदो करूयो
216,बाजीराव ने अपना बचपन अपने पिता की सासवड की नई अधिगृहीत जागीर में बिताया।,बाजीराव ने अपडो बचपन आपडा पिताजी नी सासवद नी नवी अधिग्रहित जागीर मा रहीया।
92,"200 से ज्‍यादा event किए, पूरे विश्व में G-20 का इतना बड़ा व्‍यापक कार्यक्रम कभी नहीं हुआ, इस बार हुआ।","200 ही वदू event करिया पूरी दनिया मां G-20 नो एतरों मोटो कार्यक्रम केरांपण नी थईयू ,पण इनी वखत थइयू ।"
306,"उन्होंने 100 से अधिक मेडिकल कैंप्स का आयोजन किया, जिससे लोगों की स्वास्थ्य समस्याओं का समाधान हुआ।",तिहुंये 100 थी वदूं दवा-वाळां सिविर लगाडियां से। जिनथी लोकुं नें डील रोग नी काहटी थी सूटकारों मळयों से।
187,"राज्य के खर्चों को पूरा करने के लिए औरंगजेब ने भूमि करों में वृद्धि का आदेश दिया, जिसका बोझ हिंदू जाटों पर बहुत अधिक पड़ा।","राज्य ना खर्चा ने पूरा करवा हारू औरंगजेब थी भुमिकरो (जमा) माँ वदारो वानो आदेश (हुक्म )आल्यो ,तिनो बोझो हिन्दू जाटो पर घणो वादार पड्यो |"
554,"फिल्मों से सात साल के अंतराल के बाद, हासन नृत्य-परिकल्पक थंकप्पन के प्रशिक्षु बन, एक नृत्य सहायक के रूप में वापस आए।",फिल्मीयो ना हात वराह ना गैप बाद हासन नासवा परिकल्प थंकप्पन नो प्रशिक्षु बणी ग्यो एक नासवा वाला (वाका) मददगार ना रूप मा पासो आयो।
141,"सुनीता देवी: जी सर, ड्रोन देखने के लिए बहुत भीड़ लग जाती है, और कई बड़े किसान हमारा नंबर लेकर हमें बुलाने की बात करते हैं।","हॉं सर, घणां-घणां लेाकु देखवा वाळां नी भीड लागी जाये से नरा-नारा करषांण म्‍हारां नऋ लिन तिहुन तां बोलावें से।"
555,"28 मई 1633 को, औरंगजेब उस समय मृत्यु से बाल-बाल बचे जब एक शक्तिशाली युद्ध हाथी ने मुगल शाही शिविर में घुसकर भगदड़ मचा दी।",२८ मई १६३३ मा औरंगजेब तिना समय (वखत ) मरणा थी थोड़ो क वस्यो जेट एक ताकतवर लड़ाई हाथी थी मुग़ल शाही शिविर माँ भरा ई ने भगदड़ (भगा दौड़ी ) मचाली दे दी |
71,"सरकार को बताइए कि बिना कारण की कठिनाई आए, उसको दूर करने से कोई नुकसान नहीं है, मैं पक्‍का मानता हूं आज सरकारें संवेदनशील हैं।","सरकारू ने बताडिये के वगर कारणु नी काहटियु आवे, तिहुने सेटी करवा थी कईनु पण नुकसानु नी से, हुं खाज मानु से आजे सरकारू घणी होसावा वाळी से ।"
402,"नागरिकों को Dignity of Citizen, नागरिकों के जीवन में सम्‍मान मिलें, डिलिवरी के संबंध में कभी किसी को ये कहने की नौबत न आए कि ये तो मेरा हक था कि मुझे मिला नहीं।","मनखु ने डायग्निटी ऑफ सिटिजन,मनखुना जीवई मा इजतु मळे,डिलीवरी ना सम्बन्धु मा कदिक कईनाने यु केवा नी वात्यु नी आवे के यी ते मारा हक हतो के मने मल्यु नी"
241,कई भागों में रति और कामदेव की पूजा की जाती है।,घणा भागों मा रति अन कामदेव नी पूजा करता जाए से |
431,"भारत के हजारों साल के इतिहास को समझिए, आप हमें संकट मत मानिए, आप उन तरकीबों से न जुड़िए,","भारत ना हजारों वरहां ना इतिहास ने हमजों , तमु अमुने आफत मत मानों ,तमु तिना ढंग थी मत जोडाओं।"
159,"एक सपना ले करके चले, एक संकल्‍प ले करके चलते रहे, जूझते रहे; एक ही स्‍वर था वंदे मातरम्, एक ही सपना था भारत की आजादी का।","एक हमणों लीन जाईं से, एक वसन लीकरीन सालतां रियें, जूझतां रियें, एकज गुंज हतीं, वन्‍दे मातरम् एकज हमणों हतो, भारत नां सुटकारा नों।"
215,ऐसे हर महापुरूष के प्रति हम अपना श्रद्धाभाव व्‍यक्‍त करते हैं।,ऐवो हर मोटाआदमी नों बदांहमुं आपड़ों मान राखियें से।
379,नूरजहां ने अपनी बेटी का विवाह जहांगीर की उपपत्नी से उत्पन्न उसके सबसे छोटे बेटे शहरयार से इस इरादे से किया कि जहांगीर की मृत्यु के बाद सिंहासन पर अधिकार करने के लिए कोई जीवित पुरुष वारिस रहे।,नूरजहां ने आपडी पोरी ना विवा जहांगीर नी बिजी ओरत थी पैदा इहुना संबंधी नाना पोरिया शहर यार थी इना इरादा थी करियू कि जहांगीर ना मरवाने बाद सिंहासन पर अधिकार करवा हारू कई जीवता मनकु वारिस रे से।
512,"पहली घटना में, जब चंद्रगुप्त नंदरम से भागने के बाद सो रहा था, तो एक बड़ा शेर उसके पास आया, उसे चाटा और फिर चला गया।",पेल्ख घटना माँ जब चन्द्रगुप्त नंद राम भगवान ना बाद हवी ग्यो ते एक मोटा नाहर आया अन ति नान सारी करीन नाही ग्यो से
188,"इतिहासकार डॉ. दुलारी कुरैशी के अनुसार, टीपू सुल्तान एक क्रूर योद्धा राजा थे और उनकी चाल इतनी तेज थी कि दुश्मन को ऐसा लगता था कि वह एक ही समय पर कई मोर्चों पर लड़ रहे थे।",इतिहासकार डॉ दुलारी कुरेशी ना अनुसार टीपू सुल्तान एक घणो खराब राजा हुतो अने तिनी साल ऐतरी वदार हुती कि वैराने ऐव लागे कि त्या एक ही टीम पर घणा मोर्चा पर लडी रिया से।
287,इसे एक पक्षी पकड़ने वाले ने पकड़ लिया और एक ब्राह्मण को बेच दिया।,इना एक पोदिया धरवा वाला ने कैदू अने एक ब्रह्माण ने वेसी देदु |
234,"विभिन्न दन्तकथाओं के अनुसार, हमले के तुरंत बाद परमार्दी की या तो मृत्यु हो गई या वे सेवानिवृत्त हो गए।",घणी -बदी दन्त कथा ओ ने हरका हमला ना तरत बाद परमार्दी करी था तेर मरी ग्या त्या सेवानिवृत्त थ ई ग्या |
2,"हिंदू और मुस्लिम दोनों दरबारों में, कथक अत्यधिक शैलीबद्ध हो गया और मनोरंजन का एक परिष्कृत रूप माना जाने लगा।",गैस ना इंजवाका नी जगा ऊपर विजली ना इंज वाला आयूँ बेहवा की वैवस्था मा ह्दार थायो लोक महाकाव्यो संस्कृत नाटको अन होसेलो वार तरयो नी भेलियो करी आज नी विषयगत बणावी दे दा |
569,19वीं सदी के ब्रिटिश लेखक जेम्स टॉड ने अपनी पुस्तक 'एनल्स एंड एंटीक्विटीज़ ऑफ राजस्थान' में इस किंवदंती का एक संस्करण संकलित किया है।,19 वी सदी ना ब्रिटिश लिखवा वाला जेम्स टा ड ने आपडी चौपड़ी एनल्स एंड एंटी किविटिज आँक राजस्थान माँ इना किवदंती ना एक संस्करण बहेगा करिया से (संकलित ) कारिया से |
205,"हालांकि मृत्युदाता ने एक एक्शन नायक के रूप में बच्चन की पिछली सफलता को दोहराने का प्रयास किया, लेकिन यह फिल्म वित्तीय और आलोचनात्मक दोनों रूप से विफल रही।",हालाकि मृत्युदाता ना एक एक्शन नायक ना रूप मा बच्चन की शहलनी सफलता नी दोहरावान कोशिश करी लेकिन ये पिक्सर रूपयामा अनी बुराई दोनो रूप मा विफल री है।
64,मेवाड़ के राजधानी-किले का बहुत रणनीतिक महत्व था क्योंकि यह आगरा से गुजरात के सबसे छोटे मार्ग पर स्थित था और इसे राजपूताना के आंतरिक हिस्सों को अधिकार में रखने की कुंजी भी माना जाता था।,मेवाड़ नो राजधानी किला ना घणा रणनीतिक मान हतो तेरा या आगरा थी गुजरात ना सब्त नाना सिमाड़ा पर वसेला से अने इ ने राजपुताना ना मायथा हिस्सा ने अधिकार (आपडा वसमा रा मा कुंजी भी माने से |खवा
56,"इस वर्ष World Wildlife Day की थीम में डिजिटल इनोवेशन को प्रमुखता दी गई है, और हमारे देश में इस दिशा में कई प्रयास हो रहे हैं।",इनां वरहें वर्ल्‍ड वाईडज डें नी थीम मां डिजिटल इनों वेशन नी खासीयत आलें ली से अन हमारा देश मां इनी हारूं घणां काम थाईरां से।
595,"चाहे हमारे गरीब के घर का चूल्‍हा जलता रहे, गरीब की मां कभी आंसू पी करके सोना न पड़े और इसके लिए मुफ्त इलाज की योजना हमारी चल रही है।","भळे स अमारा गरीबु ना घेर सुल्ला बळता रेहे, गरीबुनी आई कडी पण आंहवां पी पीने हुवा नी पडे अने इना हारु मोफतु दवा दारु नी ओजना अमारी सालीरी से ' ।"
293,"उस सदी में स्‍वर्णिम भारत बना करके रहें, उसी सदी में हम विकसित भारत बना करके रहें और उन सपनों को पूरा करते हुए आगे बढ़े और स्‍वतंत्र भारत 75 साल की यात्रा के बाद एक नये मुकाम पर बढ़ रहा है,","तिनी सदी मा सुनहरा भारत बणावीन रेहू, तिनी सदी मां विकसति भारत बणावीन रेहू, तिना हपना ने पूरू करता जाइ्रन अलग बढता रेहू। अने स्‍वतंत्र भारत ७५ वरेह नी यात्रा बाद नए नवा पडाव बढी रयो से।"
29,वह पाँचवें टेस्ट के लिए त्रिनिदाद लौट आए और 124 और 220 रन बनाकर भारत को वेस्टइंडीज पर अपनी पहली और 2006 तक एकमात्र श्रृंखला जीतने में मदद की।,ती पांचवा टेस्ट हरु त्रिनिदाद नाही आया अने 124 अने 220 रन बणा वीन भारत ने वेस्ट इंडीज पर पेलखी अने एखलीस श्रृंखला जीतवा मा मदद करी |
482,पुलिस की टीम स्पेशलिस्ट टेरिटोरियल सपोर्ट ग्रुप से थी।,पोलिस कि पूरी एस्पेश सूची टेरिटो रियल सपोट समूह से हाथी |
238,पीड़ितों के जले हुए शवों को अहमदाबाद शहर में सार्वजनिक रूप से प्रदर्शित किया गया और विश्व हिंदू परिषद ने गुजरात में राज्यव्यापी हड़ताल का आह्वान किया।,दुखीयारो ना बलेला अर्थियो मा अहमदाबाद शहर मा बदा हारू ती देखाडी गई अने विश्व हिन्दू संघ ने गुजरात मा राज्य पूरा मा हड़ताल करवा हारू आवाज उठावी।
596,"देश को, राजनीति को हमें परिवारवाद और जातिवाद से मुक्ति दिलानी होगी।",देश ने राजनितिनी हमुन परिवारवाद अने जातिवाद थी मुक्ति अलाडवी पवडहे।
256,हैदर ने ज़मोरिन को नजरबंद कर दिया और उसके वित्त मंत्री को प्रताड़ित किया।,हैदर ने जमोरिन ने गायब करी नाएयो अने रुपया पैसा न मंत्री ने घणो तड़पाओ।
84,हम कैसे भूल सकते हैं कोरोना के वो संकट काल। विश्व में सबसे तेज गति से करोड़ों लोगों को vaccination का काम हमारे इसी देश में हुआ।,"हमुं कीकम भुली सकयीं से कोरोना नीं मोटी काहटी ना टैम, दनियां मां सबथी वदारें जोर थी करोड़ों लोकुं नें Vaccination नों काम हमारा इनां देह मां थायों।"
328,"चंद को एक बार फिर अपनी पल्टन छोड़ने की अनुमति नहीं दी गई, हालांकि एक बार फिर उन्हें बिना औपचारिकताओं के चुन लिया गया था।",चंद ने वार फेर आपडी पालटी छोडवा नी अनुमति नी आली फेर भी एक वार फेर तिन वगर ओपचारिकताओ (निर्विरोध ) बवी लड़ो हेतो|
288,"हमारे पूर्वजों ने जो सपने देखे थे, उन सपनों को हम संकल्‍प बनाएं, अपने सपनों को जोड़े, अपने पुरूषार्थ को जोड़े और 21वीं सदी जो भारत की सदी है,",हमारां खतरीजों थी ज्‍यों हपना देख्‍यां तां तिनां हपना हमु संकल्‍प बणावीय हपना ने जोडिेये आपडा पुरूषार्थ ने जोडिये अने २१वी सदी जे भारत नी सदी स।
182,"गांधी जी का मानना था कि भारत का विकास तभी हो सकता है, जब जनजातीय समाज का तेज विकास हो। मुझे संतोष है कि आज हमारी सरकार आदिवासी उत्थान पर सबसे ज्यादा ध्यान दे रही है।",गांधी जी यें मान्‍युं हतु कि जनजातियु समाजु खाली तेर स हदारी सके से । मने संतोष से के आज हमारी सरकार आदिवासी उथराई मा बदार थी ऊंसाई करीर्यी से ।
462,इस सुनवाई में अंबेडकर ने अछूतों और अन्य धार्मिक समुदायों के लिए अलग निर्वाचन मंडल बनाने और आरक्षण देने की वकालत की।,इनी हुणवाई मा अम्बेडकर यी अछूतों हारू अन धार्मिक मनखा ने लेदे अलग सु णा व करा वानी घोषणा करी अन फेर तिनानी तिना हक़ मा सूरा आलवानी वात करी |
560,"हमारे रिफॉर्म में रहा है, हमारे कार्यक्रमों में रहा है, हमारी कार्यशैली में रहा है।","अमारी रिफॉर्म मा रियु से, अमारा कार्यकरमु मा रियु से, अमारी काम करवा नीकळा मा रियु से ।"
255,"हमारी नियत में रहा है, हमारे Reforms में रहा है, हमारे कार्यक्रमों में रहा है, हमारी कार्यशैली में रहा है।","अमारी आदतु मा रियु से, अमारी रिफॉर्म मा रियु से, अमारा कार्यकरमु मा रियु से, अमारी काम करवा नीकळा मा रियु से"
217,मैं समझता हूं कि ये भारत के अंदर आई हुई नई चेतना का प्रतिबिंब है।,"हुँ, हमजुं से कि यों भारत नां अंदर आवेली नवीं होस से।"
183,"हालांकि मुगलों ने शुरू में अपने धर्म परिवर्तन के लिए असहमति जताई थी, वे जानते थे कि शियावाद की दिखावे की स्वीकृति के साथ, तहमास्प अंततः हुमायूं को और अधिक महत्वपूर्ण समर्थन देने के लिए तैयार हो जाएगा।",हालांकि तरकढा ने शुरू मा आपडा धरम बदलता हारू सहमति नथी आली त्या जानता हुता कि शियावाद ने देखाउवानी हामी ना हाथे तहमास्प आखरी हुमायूं ने अने घणी खास समर्थन देवा हारू राजी थाई गया।
10,तो उसकी एक ईकाई ये भी होगी कि सामान्‍य मानवीय के जीवन में सरकार की दखलें कम हों।,ते तिहुनी एक ईकायु व आहें के जन मनखुना जीवाई मा सरकारें दी अड़ंगु थोडुक होये ।
435,140 करोड़ देशवासी विकसित भारत के सपने को साकार कर सकते हैं।,१४० करोड देशवासी विकसित भातर नो हपनों ने खरू करी सके से।
534,कई प्रणालीगत बीमारियाँ प्लास्टिक ब्रोंकाइटिस से जुड़ी हुई हैं।,कई प्रणालीगत बीमारियों प्लास्टिक ब्रोकाइटिस थी जोड़ाइली से |
6,मैं आज ऐसे सभी को आदरपूर्वक नमन करता हूं।,"हुँ, आज ऐवा बदांनें मानथी जोहार करूं से।"
497,मध्यमवर्गीय परिवार का लाखों-करोड़ो रूपया बच्चों को विदेश पढ़ने के लिए भेजने में खर्च हो जाए।,वसमावाळु परिवारन ना लाखों करोड़ों रुपया सोरां ने परदेह भणवा हारू मोकळवा मा खरस थाई जाये ।
357,चिदानंद दासगुप्ता और अन्य लोगों के साथ मिलकर रे ने 1947 में कलकत्ता फिल्म सोसाइटी की स्थापना की।,चिदानंद दास गुप्ता अने बीजा मनखु नी हाते मलिन ने 1947 म कलकत्ता फिल्म नी सोसायटी बणावी हती ।
284,"पश्चिम में, वर्तमान गुजरात पर चंद्रगुप्त के शासन का प्रमाण जूनागढ़ में अशोक के शिलालेख से मिलता है।",बुडमणी दशा मा हमनी गुजरात ऊपर चन्द्रगुप्त ना शासन मा जूनागढ़ मा अशोक ना शिला लेख थी मले से |
149,हर डिस्ट्रिक्ट अपनी पैदावर के लिए गर्व करने लगा है। One district one product का माहौल बना है।,"हर जिलों आपड़ी पैदाकरवानीं हारूं गर्व करवा लाग्‍यों से, One district one product नों माहौल बणांयों से।"
559,इसे आमतौर पर राग थानम पल्लवी में दूसरे भाग के रूप में शामिल किया जाता है।,इने आम अने राग थानम पल्लवी मा बीजो भाग ना रूप मा भेला थाया से
73,पृथ्वीराज के पूर्ववर्तियों को ऐसे मुसलमान राजवंश द्वारा किए गए कई हमलों का सामना करना पड़ा था जिन्होंने 12 वीं शताब्दी तक भारतीय उपमहाद्वीप के उत्तर-पश्चिमी क्षेत्रों पर कब्जा कर लिया था।,पृथ्वीराज ना पूर्ववर्तियो -ने ऐवा तरकढा राजा नो कुल द्वारा करियु गयू घणु हमलों नो सामनो करवो पडियो हतो तिहुने 12वी शताब्दी तक भारतीय उपमहाद्वीप ना उत्तर-पश्चिमी क्षेत्रो पर कब्जो कर लिदो।
460,"Good Governance का आश्वासन दीजिए, Law & Order situation के लिए उनको भरोसा दीजिए। हर राज्य एक तंदुरुस्त स्पर्धा में आगे आएं।",असल सरकार नु केवू । कानून अनी आदेश दशा हारू निनान भरोहे आलों । सब राज्‍य एक ताजा मुकाबला मां अगल आवे।
257,उन्होंने मद्रास में खेले जाने वाले चौथे टेस्ट में केवल 4 और 1 रन बनाए जहां पर भारत को श्रृंखला की एकमात्र जीत हासिल हुई।,तिनानी मद्रास मा रमवा वाळा सार टेस्ट मा केवल 4 अन 1 रन बणाया जां पर भारत नी श्रृंखला नी एकमात्र जीत हासिल थाय।
432,"और अब कुछ ही दिनों के भीतर.... आज फिर एक बार झारखंड आकर के, आज झारखंड से 80 हजार करोड़ रुपए से ज्यादा की विकास परियोजनाओं का शिलान्यास और लोकार्पण हुआ है।",अन हाव थोड़ाक दन ना अंदर आज फेर एक वारी झारखंड थी 80 हजार करोड़ रुपया थी वदारे लागत ना विकास मोटीओजनां नो भाटो गढयों अने उद्घाटन थायो से ।
103,"राष्ट्रपति अहमद ने ऐसे अध्यादेश जारी किए, जिसमें संसद में बहस की आवश्यकता नहीं थी, जिससे गाँधी को न्यायिक निर्णय द्वारा शासन करने की अनुमति मिल गई।","राष्ट्र पति अहमद थी ऐ वो अध्यादेश जारी कार्यो ,जिनमा संसद मा बहस नी जरोरत नी हती ,जिनमा गाँधी ने न्यायिक निर्णय द्वारा शासन करवा नी अनुमति मली गई |"
88,"कमल हासन ने 1960 में तमिल भाषा की फिल्म कलतुर कन्नम्मा से बाल कलाकार के रूप में अपने कार्यकाल की शुरुआत की, जिसके लिए उन्होंने राष्ट्रपति का स्वर्ण पदक जीता।",कमल हसन थी ओगणी हो हा ठ मा तमिल भाषा नी फिल्म कल्तुर कन्नम्मा ना नाना काम करवा वाला ना रूप मा आपडा काम ना समय नी शुआत करी जिना लि दे तिना यी राष्ट्रपति ना हू नाना पदक जित्या से |
388,"गुलामी का इतना लम्‍बा कालखंड, जुल्‍मी शासक, अपरंपार यातनाएं, सामान्‍य से सामान्‍य मानवीयों का विश्‍वास तोड़ने की हर तरकीबें,","गुलामी नों ऐतरों मोटा टैम मां जुल्‍मी शासक, घणीजबर विनतीयां, हुदी थी हुदी से हुदी मनखुं नां भरोहें तोड़वा नी हर अंदाजों,"
324,"सुनीता देवी: सर, हमारी ट्रेनिंग इलाहाबाद के फूलपुर में IFFCO कंपनी में हुई थी।",सुनिता जीजी:सर हमारी सिकण इलाहाबाद ना फुलपुर मां ईफक्‍को कपनी मां थाई हती।
78,उम्मीदवारों का चयन लोक सेवा आयोग द्वारा आयोजित परीक्षा के आधार पर किया जाता था।,उम्मीदवारों ना चयन लोकसेवा आयोग हरु आयोजित परीक्षा ने आधार पर करायो जाये से |
537,"और हमेशा की तरह, इस बार भी यह चुनौती है कि एपिसोड में किन-किन विषयों को शामिल किया जाए।","अन दरदन नी तरें, इना वखत पण ई तस्किलियों से कि एपिसोड मां कइना-कइना मामलाओं ने भेळां करया जाई।"
580,उमाबाई ने व्यक्तिगत रूप से 1750 में उनसे मुलाकात की और तर्क दिया कि समझौता अमान्य था क्योंकि दभादों ने दबाव में इस पर हस्ताक्षर किए थे।,उमा बाई ने खुद न रूप थी न तीना थी मुलाकात की अने वात वताडी हम जोतो नी मन्या हता केमकी दभादों न दबाव म इन पर शायन करियू।
30,"मैं सभी झारखंड वासियों को, सभी देशवासियों को इन विकास कार्यों के लिए बहुत-बहुत बधाई देता हूँ।",हूँ झारखंड ना बदा लोकु ने अन बदा देशवासियों ने आना कामू हारू बधाई आलू से।
74,"दिल्ली की सेना ने कई लोगों को पकड़ भी लिया, जिसमें वाघेला रानी कमला देवी और गुलाम मलिक काफूर थे, जिन्होंने बाद में अलाउद्दीन के दक्षिणी अभियानों का नेतृत्व भी किया था।",दिल्ली नी सेना थी कई मनखूं ने धारी लेदा जिनमा वाघेला राणी कमला देवी अने गुलाम मालिक कापूर हता जिना बाद मा अलाउद्दीन ने दक्षिण कामों ने हमाक वा नी काम करि हतु।
169,"अप्रैल में, भारत ने बांग्लादेश के नए राष्ट्र के गठन में सहायता करने का फैसला किया।",अप्रैल मा भारत ने बांग्लादेश नो नवु राष्ट्र वणा मा मदद करवा ना नो फेसलो करयो।
369,"घरेलू स्तर पर, भाजपा के नेतृत्व वाली सरकार आरएसएस से प्रभावित थी, लेकिन गठबंधन के समर्थन पर इसकी निर्भरता के कारण, भाजपा के लिए अयोध्या में राम जन्मभूमि मंदिर निर्माण, कश्मीर राज्य को विशेष दर्जा देने वाले अनुच्छेद 370 को निरस्त करना, या सभी धर्मों के अनुयायियों के लिए एक समान नागरिक संहिता लागू करना असंभव था।",घेर ना इस्तर पर भा जा पा ना हमलवा वाली सरकार आर एसएस थी प्रभावित हली ग्यू से केमकी गठ बं धन ना एक -बीजा नी मदद पर इनानी ऊपर भरोहो ना कारण भा जा पा घरु अयोध्या मा राम जनम भूमि जगा मा मंदिर बणावा ना (निर्माण ) कश्मीर राज्य नो खास असल दर्जा आलवा वाला अनुच्छेद ३७० ना कैंसल करीया से आने बद्धा धर्मा ने अनुयायियों ने हारू एक बराबर (समान )नागरिक संहिता लागु करवा ना प्रयास /कोशिक असंभव हती |
429,"उनकी बेटी शांति मेनन हैं, जो बैंगलोर में एक स्कूल, डीन्स अकादमी की प्रधानाध्यापिका हैं।",विनानी सोरी शांति मेनन है वी बेगलोर मा एक स्कूल डी न्स अकादमी नी प्रधानाध्यापक है
584,"उनके नेतृत्व में, मराठा साम्राज्य की सीमाओं का विस्तार वर्तमान पाकिस्तान में पेशावर, दक्षिण में श्रीरंगपट्टनम और वर्तमान पश्चिम बंगाल में मेदिनीपुर तक हुआ।",तिहुना काम करवा वाला मा मराठा साम्राज्य नी सीमाओं ने बणावा आजनो समय पाकिस्तान मा पेशावर हुरी मा श्री रंग पटनम आने आज ना समय मा बुउमणा बंगाल मा मेदिनीपुर तक थाई।
39,मैसूर की आर्थिक शक्ति 18 वीं शताब्दी के अंत में टीपू सुल्तान के शासनकाल में शिखर पर थी।,मैसून नी आर्थिक ताकत 18 वी सदी ना आखरी मा टीपू सुल्तान ना राज काल मा ऊंची जगह पर हुतु।
416,"मैं उनके प्रति नतमस्तक होता हूं। और मैं उनको विश्वास दिलाता हूं कि हमें नई ऊंचाइयों को, नए जोश के साथ आगे बढ़ना है।","हु तिहु ना हारू माथु नवादिने रेहतों से, अने हुं तिहुने भरोहो आलिर्या से के हमुने नवी उसाईयु ने, नवा जोश ना होते अगळ बढ़वु से।"
214,"सुनीता देवी: मैं चाहती हूँ कि हजारों बहनें आगे आएं और मेरे जैसे ड्रोन दीदी बनें, जिससे मुझे बहुत खुशी होगी।","सुनिता देवी : हुं साहं से कि हजार बुहनियों अगळ आवे अन म्‍हारां जेवी ड्रोन जीजी बणें, जिनथी घणीं खुसी थाय।"
565,"उन्होंने पास के चाकन किले पर भी कब्जा कर लिया, और दीवारों को लांघने से पहले इसे डेढ़ महीने तक घेरे रखा।",तिहुना मेरे ना चाकन किला पर भी कब्जौ करी लियो अने भीतेडा ने पार करवाने इने मईना तक घेरी में राखियों।
83,"भारत लौटने पर, चंद ने बैरक में अपना काम फिर से शुरू कर दिया।",भारत पासो आवीं चंद ये बैरक मा आपड़ो काम फेर ही सालु करी देदु |
364,"स्टीटाइट मुहरों में जानवरों, लोगों और अन्य प्रकार के शिलालेखों की छवियां हैं, जिसमें सिंधु घाटी सभ्यता की अभी तक अस्पष्ट लेखन प्रणाली भी शामिल है।",स्टीटाइट मुहरों मा जानवरों अने लोगों अने घणा प्रकार नो शिलालेखों आने मोट जानकर अने जिनो सिंधु घाटी सभ्यता नो हमने तक कई मालम नही पडी
508,नौशाद के साथ रफी के जुड़ाव ने उन्हें हिंदी सिनेमा के सबसे प्रमुख पार्श्व गायकों में से एक के रूप में स्थापित करने में मदद की।,नौशाद ने हाथे रफीं भेलो धावा मा विनान हिंदी फिल्मो न सबुह असल पार्शव गावालावा मोहू एक रूप मा मेलवा करवा मा मदद करी |
61,"मैं भी पहली बार वोट देने वालों से आग्रह करता हूँ कि वे रिकॉर्ड संख्या में वोट करें, क्योंकि 18 साल का होने के बाद आपको 18वीं लोकसभा के लिए सदस्य चुनने का मौका मिल रहा है।","हुं, पेहली वखत सुणाव मां वोट देवा वाळां ही मनवार करूं से कि केम 18 वरहें मां वोट करवा पर तमुं 18 वीं लोकसभा नें सुणीरयां से।"
