Hindi,Gondi
"एक हास्य कलाकार, अपनी बातों से, हर किसी को हंसने के लिए मजबूर कर देता है।","वर्रोर कविहवाला जेलकार, आपुनांग पल्लो, ने सपय कुन कवला काजे मजबुर कितुर।"
देश के अलग-अलग हिस्सों में इस तरह के कई प्रयास जारी हैं।,बुम ते कोटुह-कोटुह ने इदाम ना कोसित चालू मन्ता।
भारतीय समुद्र पार की यात्रा रोमांच के साथ ज्ञान का भी माध्यम है।,भारतीय समुन्द पार कीयाना यात्रा कूबैय गिर्रदा त संग-संग ज्ञान त गेला मावा जरिया आन्द।
मैं भाई जगदीश त्रिवेदी जी को उनके सामाजिक कार्यों के लिए बहुत-बहुत शुभकामनाएं देता हूँ।,"नना, तमोर्र जगदीश त्रिवेदी जीन ओनंग बुमकाल बूतोना बाटा कुबैय-कुबैय आसिद हिययतोना।"
समुद्र की सुंदरता हर पल बदलती है।,समुन्द त सोबा गड़ी-गड़ी बदले मान्ता।
"आलसीराम का एक ही मंत्र है: ""आलस्य में सुख है""।",आलसीराम न उन्द गुन आन्द असादी ते सुख मता।
"जिससे मरीजों का जीवन आसान बनेगा, उनकी परेशानी कुछ कम होगी।",अदेनाय गिरहोलरा जीनगी सरेल बने मायर ओना दुख उच्चुय कमी आयर।
आपका बहुत-बहुत धन्यवाद।,नीकुन वेल्लेय-वेल्लेय सेवामान।
इसमें बड़े-बड़े अनुभवी कलाकार भी हैं।,इप्पे बेरहोर-बेरहोर पुन्दलेर जेलकारलोर गला मंतोर।
नदियों का जल घरेलू उपयोग में भी आता है।,बेरेल त एर्ट लोता उपयोग ते गल्ला वायता।
ये संस्था आंध्र प्रदेश के श्रीकाकुलम में है और इसका नाम है ‘बेलजीपुरम यूथ क्लब’।,इद संस्था आन्ध्र्र प्रदेश ता श्री काकु लम ते मन्ता अन इदेना पोरोय मन्ता बेलजी पुरम यूथ क्लब।
दरअसल इसके पीछे भी एक दिलचस्प वाकया है।,असलीते इदेना पर्के गला उन्द सोबले पल्लो मंता।
आलसीराम कभी-कभी सोचता है कि यह आलसीपन ठीक नहीं है।,आलसीराम बेसके बेसके सोचे कीन्दूर आन ओर असदपन ठीक आयो।
हिमालय की ऊँचाइयाँ अपार प्राकृतिक सौंदर्य प्रस्तुत करती हैं।,हिमालय त उच्चाई कुबैय पुटले त सोबा तुन वेहला कियायता।
मैं ज्यादा से ज्यादा सुझावों को 15 अगस्त के सम्बोधन में cover करने की कोशिश करूंगा।,ननना कुबैय-कुबैय सलाहीनुंग 15 अगस्त ते वेहनाते बवअमत कियना ता कोसित कियका।
भारतीय पर्वत श्रृंखला में हिमालय सबसे ऊंची और विशाल पर्वत है।,भारतीय मेटा लाईन ते हिमालय सबले अन बेरहा मेटा आन्द।
समुद्र में चंद्रमा की रोशनी में सफर करना जादुई होता है।,समुन्द ते लेन्लेंज त वेहच ते सफर कीयाना जादू लेहका आन्द।
तो आप भी ऐसे उदाहरणों को ज़्यादा से ज़्यादा मेरे साथ शेयर करें।,ते निम्मा गला इदानंग उदाहरणी नूंग जादा से जादा नावा संग वड़ वेहा।
"ऐसे में, तीन दिन पहले जब देश ने पद्म पुरस्कारों का ऐलान किया है, तो ‘मन की बात’ में ऐसे लोगों की चर्चा स्वाभाविक है।",इदमे मुंद दियांग मुन्ने इद देश ते पद्मा पुरस्कारी नुंग वेहतुर तो (मन की बात) गोक ता पोल्लो दे इदमना मानेयलोरा बाटा वड़कना जरूरी आंद।
वाटर स्पोर्ट्स का अनुभव करना भी मज़ेदार होता है।,वाटर स्पोटर््स त पुन्दाना गेला मजेदार आन्ता।
इसमें भी सामुदायिक प्रयासों से बड़ी सफलता मिल रही है।,इप्पेडे गला सबजिन कोसित ते गला वलेय सफलता पुटयता।
इन्होंने आदि जनजाति की पारंपरिक चिकित्सा प्रणाली को पुनर्जीवित करने के लिए काफी काम किया है।,इद तयहातह मनवालोर मानैय ता पुरकाता ईलाज कियना तरीका तुन पेर जीवेह कीला काजे कुबैय बूतो कीता।
2024 अब कुछ ही घंटे दूर है।,दो हजार चौबिस इदेक उचुके घंटंग लेक मंता।
मनोहर और सुरम्य दृश्य नदियों के साथ जुड़े होते हैं।,सोबले अन सोबाय हुड़ाना बेरेह न संग जोड़े मायतंग।
समुद्र तट पर चलना और ताजगी भरा हवा लेना सुकून देता है।,समुन्द ओदा-ओदा दायना अन ताजा-ताजा वेड़ एताना सुकून लेहका आन्ता।
इन inspiring लोगों की जीवन-यात्रा के बारे में जानने को लेकर देश-भर में बहुत उत्सुकता दिखी है।,इव पदेचपतपदह मानैयता जीमगी चलेह कीयाना त बारे ते पुन्दाना तुन देश मेटै कूबैय गिरदा दिशता।
समय नियोजन की मदद से हम तनाव को कम कर सकते हैं और अपनी उत्पादकता बढ़ा सकते हैं।,टेम तैयार कीयाना संग ता माटलोर बोझा ता कम कीनतोर अन अपनी पैदा कियाना तून बेड़सहना कीत।
"आपने देखा होगा, बीते कुछ दिनों में श्री राम और अयोध्या को लेकर कई सारे नए गीत, नए भजन, बनाये गए हैं।","निम्मट हूड़तोरीट होही, हंदलेंग हुचुक दियाने श्री राम अन अयोध्या ता बारे ते कयोटड़ पूनंग पाटंग, पूनंगभजनिंग पंडलेंग आतंग।"
उन्हें सामाजिक कार्यों के लिए भी कई पुरस्कारों से सम्मानित किया जा चुका है।,ओन बुमकाल बूतोना बाटा गला कयोरड़ इनाम तंग सीना ने मानगून कीले आता।
वह चाहता है कि सब कुछ अपने आप हो जाए।,ओना इन्दाना आन्दता सब काम अपने आप आयार।
"कुछ संगठन, लोगों को, अंगदान के लिए जागरूक कर रहे हैं,",उचूक सल्ला तंग गुंदा मानैय लोर मेंदूर हिलाय कर्रहायतोर।
लोग इस यात्रा को अपने परिवार और दोस्तों के साथ साझा करते हैं।,मानेय इद यात्रा ते आपूना परिवार अन गोतियाकन संग लेन-देन कीयाना।
‘मन की बात’ में आज बस इतना ही।,‘‘गोक ता पोल्लो’’ते नेंड मातरा इच्चोय।
‘मन की बात’ की एक और उपलब्धि यह है कि इसने रेडियो को घर-घर में और लोकप्रिय बना दिया है।,गोका पोल्लो’’ दा उन्दपेर उपलब्धि आंद कि वेर रेडियों नुंग लोहक-लोहक ने मानेयतुन लोकप्रिय पकले आटा।
समुद्र सामग्री के लिए स्थानीय बाजारों का भ्रमण किया जा सकता है।,समुन्द सामान त बाटा स्तानीय हाटूम ते वेलीना आया पर्रता।
अमरेली में आयोजित ‘जल उत्सव’ के दौरान ‘जल संरक्षण’ और झीलों के संरक्षण पर लोगों में जागरूकता बढ़ाने के प्रयास किए गए।,अमरेलर ता रच्चा ते जल उत्सव ता बेरा (जल) एर्र गुडहाना अन जलका नुंग पीसहाना जनता तुन चेतेह कीयाना ता उपाय कीतुर।
इनमें से ज़्यादातर महिलाएँ आज अपना कोई न कोई काम खुद कर रही हैं।,इपेडे बेल्ले आस्का नेन्ड आयुना बदेन बदे बूतो अपुहके कीन्तंग।
यह शिक्षा]कार्य]और व्यक्तिगत जीवन में संतुलन स्थापित करने में सहायक होता है।,इधर शिक्षा काम अन पोगरी जिनगी ते उन्द रूप जोड़े कियाना ते काम आन्ता।
"उसमें दिखाया गया कि कैसे नारीशक्ति जल-थल-नभ, Cyber और Space, हर क्षेत्र में देश की सुरक्षा कर रही है।",अपेडे तोहतुर कि मुयवहना लाव एर्र नेल बुम कप्यूटर नेटवर्क अन जोजोन तंग सपय हरिने देश तुन ओड कीस के पयतंग।
2024 का ये पहला ‘मन की बात’का कार्यक्रम है।,2024 ता इद पहली गोक ता पोल्लो कार्यक्रम आंन्द।
भारतीय पर्वत श्रृंखला में अनेक नदियाँ उत्पन्न होती हैं।,भारतीय मेटाक न लाईन ते कुबैय बेरेहक उपजे मायतंग।
"जबर्रा ईको ट्ररिज्म लम्बी पैदल यात्रा, ट्रेकिग, नेचर ट्रेल वॉक के लिए एक उभरता हुआ पर्यटन स्थल है।",जबर्रा ईको टूरिज्म लाटींग ताकसोर दायना टेªकिंग नेचर ट्रेल वॉक ता उन्द उभरे मायले सोबाय हूड़ना डेरा मंता।
भारतीय पर्वत श्रृंखला में कई राष्ट्रीय उद्यान हैं।,भारतीय मेटाक न लाईन ते कुबैय राष्ट्रीय उद्यान मंता।
आलसीराम का पूरा दिन सोते-सोते गुजरता है।,आलसीराम ना पूरा दिया हुसकड़-हुसकड़ ते बीतेमान्द।
समुद्र की लहरों में खेलना बच्चों के लिए खास होता है।,समुन्द त लहर ते कर्रसमा पीलाना बाटा खास मन्ता।
"जब किसी लक्ष्य के लिए सामूहिक प्रयास होते हैं, तो सफलता का स्तर भी ऊँचा होता है।",बैसकेय बोदे निशान तुन मिलेमास कोसित आंता तब सफलता ता मान गला वेलम ऊंच आंता।
सही समय पर निर्णय लेने की क्षमता विकसित होती है।,सही टेम ते फैसला कीयाना लाव बेड़सहना आन्द।
"अभी कुछ दिन पहले स्वच्छता के लिए प्रसिद्ध, इंदौर में, एक शानदार कार्यक्रम हुआ।",इदेक उच्चुक दिया मुन्ने स्वच्छता ता बाटा नामजागी इंदौर ते उन्द जोरदार जलसा आत।एर।
इस यात्रा में खुद को नई चुनौतियों का सामना करने के लिए तैयार करना चाहिए।,इद यात्रा ते आअपूना पुना मुस्कुहा काम तून मुकाबला कीयाना बाट समरे मास मन्दाना।
कुछ गीतों और भजनों को तो मैंने भी अपने social media पर share किया है।,उचुक पाटंग अन भजनिनुंग तो नना गला आपुना ेवबपंस मीडिया ते हालिहतोना।
"यहाँ, ‘मन की बात’ के अब तक के सभी episode सुने जा सकते हैं।",इगा ‘‘गोक ता पोल्लो ’’ अन इदेक अवनह सपोय मचपेवकम केंजला पर्रतोरीट।
ये संगठन bio productsको तैयार करने में इन महिलाओं की मदद करता है।,इद गुन्दा जैविक उपजे माले जोंग तुन कीलाह इस मुयतह कु संग हियता।
"22 जनवरी की शाम को पूरे देश ने रामज्योति जलाई, दिवाली मनाई।",22 जनवरी ता नुलपेह पहर कुडुहने देश लोर राम डीया पोतिह तूर डीवाड़ मानेमातूर।
"इस बार भी ऐसे अनेकों देशवासियों को पद्म सम्मान दिया गया है, जिन्होंने, जमीन से जुड़कर समाज में बड़े-बड़े बदलाव लाने का काम किया है।",इद बेरा गला इदामे बचोक अन बचोक देश ते जनवा लोर कुन पद्य सम्मान हितोर वेर्क जागा तह जोड़े मास भूमकाल ते बेरहा-बेरहा कियाना ता बुतो कीतोर।
तो उसके बाद उनके कार्यक्रमों से होने वाली आय को वो घर नहीं ले जाएंगे बल्कि समाज पर खर्च करेंगे।,तो ओना पर्के ओनांग कार्यकरमींग न धन वायर अदेन लोन ओयोर आयनुर अदेन कुटुम तह् बाटा करचा कियानुर।
"इससे पता चलता है कि पद्म सम्मान की प्रतिष्ठा, उसकी विश्वसनीयता, उसके प्रति सम्मान, हर वर्ष बढ़ता जा रहा है।",इपेडे पता पुटायता की पद्य सम्मान ता वरसून बड़सोर दान्ता।
"ये संकलन, भावों का, भक्ति का, ऐसा प्रवाह बनेगा जिसमें हर कोई राम-मय हो जाएगा।","इव गूदिहलेंग, बिचारिनुंग, माड़ाना, ना इदम पोंगनप हालानुंग, अप्पे बोरे गला रामनंग पाटामे रमे मायनुर।"
"प्राकृत, मालवी और लम्बाडी भाषा में बहुत ही शानदार काम करने वालों को भी ये सम्मान दिया गया है।",प्राकृत मालवी अन लम्बाड़ी लबेज ते कुबैय बेस बूतो केवालोर कून गला इद मान हिले आता।
कई लोग इस यात्रा को अपने जीवन का सबसे बड़ा अनुभव मानते हैं।,कूबैय मानेय इद यात्रा ते आपूना जीवन त कूबैय बेहा अनुभव माने मान्तोर।
भारतीय पर्वत श्रृंखला में कई जातीय समूह रहते हैं।,भारतीय मेटा त लाईन ते कुबैय जाति समूह मंताग।
नदियों पर बने पुलों ने यातायात को सुगम बनाया है।,बेरेह ने बने मातेग पुल ते दायना वायना सरल पंडले आता।
इस coding की मदद से अब सभी डॉक्टर prescription या अपनी पर्ची पर एक जैसी भाषा लिखेंगे।,इदे रोचे किया ना मदेद ते इदेक सबोय डॉक्टेर चतमेबतपचजपवद अन आपुना कागेत ने उन्द लेहका भाव कोटिर।
आप इस साल भी मुझे अपने सुझाव जरूर भेजिए। आप MyGov या NaMo App पर भी अपने सुझाव भेज सकते हैं।,निम्मा इद वरसा गला नाकुन आपुना सलाह जरूर लोहकी।निम्मा डलळवअ न छंडव ।चच ते गला अपुना सलाह लोह पर्रतोन।
लेकिन पहले उसे खुद को motivateकरना होगा।,मति पहली ओन खुद ता उवजपअंजम कियना आन्द।
"महिला बैंड का मार्च देखकर, उनका जबरदस्त तालमेल देखकर, देश-विदेश में लोग झूम उठे।",मुयतहना वाजा ता सर्रपड़ डाकंग हूड़स अवेहना बरपेला सूल हूड़स देश परेदश तोर मानेय गिर्रदा आतुर।
समुद्री जीवन के अध्ययन के लिए यह यात्रा उपयुक्त है।,समुन्दी जीवन ते गोक कीयाना त बाटा इद यात्रा उचित आन्द।
"जब शाम के समय सूर्य जल में डूबता है, तो आसमान रंग-बिरंगा हो जाता है।",नूलपेह पहर बेरा ते पोडद एर्र ते मूड़दन्ता ताना पेरके बूम कूबैय रंगीने ओहनह आन्ता।
"आप सभी स्वस्थ रहें, fit रहें, खूब आनंद से रहें – मेरी यही प्रार्थना है।","निम्मट सपय जन बेने मेंट, फिट मंट, गिर्रदा ते मंट - नावा इचोय गोहार आंद।"
जलीय जीवों का अवलोकन इस यात्रा का एक महत्वपूर्ण हिस्सा होता है।,एर्र ते मन्दलेंग सपोय जीवांग न हूड़तेक इद यात्रा त उंद कूबैय बेरहा बाटा आन्द।
हर कोई एक लक्ष्य को पूरा करने के लिए ही जन्म लेता है।,बोर गला उन्दीय खुतुर तुन कियाला जनुम एतान्तोर।
"लेकिन वो भीतर, कितनी संवेदनाओं को जीता है,","मति ओर आपुना गोक ते, बोचोक अड़येन दुकिने जिये मायतोर।"
जिनमें से कई पुस्तकों को सम्मान भी मिला है।,अवेहने कयोटड़ कागेतिने नामजागी मानगून गला पुट्टता।
"जिन्होंने, अपने करीबियों की आखिरी इच्छा का सम्मान किया।",ओरलोर आपुना अवलेर कुन आकिरी बिचार तुन एतितूर।
भारतीय समुद्र की यात्रा में साहसिकता और रोमांच का अनुभव होता है।,भारतीय समुंद त यात्रा ते हिम्मत अन कुबैय गिर्रदा ता पुन्दानांह आन्ता।
नदियों का गंदा पानी मानव स्वास्थ्य के लिए हानिकारक है।,बेरेह न कलीगले एर्ट मानेय बने मनदाना त बाटा कतरा आन्द।
"मेरे प्यारे देशवासियों, इस बार 26 जनवरी की परेड बहुत ही अद्भुत रही,",मावा लाडार्रा लोरिट देश ते मनवालोर इद बेरा 26 जनवरी ता परेड कुबैय जोरदार मता।
"कि आयुष मंत्रालय ने आयुर्वेद, सिद्ध और यूनानी चिकित्सा से जुड़े डेटा और शब्दावली का वर्गीकरण किया है,",कि आयुष मंत्रालेय ने दवाहिड़ पण्डले अन यूनाकी चिकित्सा ते जोड़े गुम्मा अन टपींग तुन ऐर्रिह चियान्तोर।
स्वास्थ्य के लिए शुद्ध नदी पानी का सेवन करना चाहिए।,बने मन्दाला बांटा शुद्ध बेटे त एर्ट दुन उन्दाना आयी।
गंगा नदी को स्वच्छ रखने के लिए कई परियोजनाएँ चलाए जा रहे हैं।,गंगा बेरेल दुन सफाई इर्रला बाटा परियोजनाग चलाह कियायतोर।
"मैं उन परिवारों की भी सराहना करूंगा,",नना अद गुंदा मेटज्ञेर कुन गला महरह किययका।
भारतीय समुद्र पार की यात्रा विभिन्न गतिविधियों से भरी होती है।,भारतीय समुन्द पार कीयाना यात्रा वेगरोय वेगरोय गतिविधि ते नीन्दस मन्ता।
आपको ये जानकर हैरानी होगी कि उनके पास PhD की तीन डिग्रियां भी हैं।,मीकुन इदम पुंज कवे मानह आयर कि ओनगा च्भ्क् तंग मूंड डिग्रिंग गला मंतंग।
ट्रिप के दौरान कैमरा साथ रखना न भूलें।,ट्रिप त बेरा कैमरा संगेय इर्रना तेन मर्रिंगना आयो।
इसने कई शौचालयों के निर्माण में भी मदद की है।,वेर कई शौचालयी नूंग पण्डानाता गला संग हितुर।
"अगली बार फिर मिलेंगे, देश की नई उपलब्धियों के साथ, जनभागीदारी के नए प्रयासों के साथ, आप, ‘मन की बात’ के लिए अपने सुझाव जरूर भेजते रहें।","मुन्ने बेरा पेर मीलेमायकट, देश तंग पूना पुटलेंग संग सपयतंग पूना कोसित ता संग निम्मा गोक ता पोल्लो द बाटा निम्मा सलाह जरूर लोहचोर मन्न।"
हिमालय एक महत्वपूर्ण पारिस्थितिकी तंत्र है।,हिमालय उन्द जरूरी पारिस्थितिकी तंत्र आन्द।
मैं आप सभी के साथ लद्दाख का एक प्रेरक उदाहरण साझा करना चाहता हूँ।,नन्ना मिया सपोरता संग लद्दाखी ता उम्द प्रेरकता उदाहरण मुनके तताला चाहेमातोन हो ही।
प्रदूषित नदियाँ रोगों का कारण बन सकती हैं।,कलीगले बेरेह रोग त कारेण बने माया परीयतंग।
नदियों में जल राशियों की गुणवत्ता की निगरानी रखी जानी चाहिए।,बेरेह ने एर्र राशी न बने तुत हुड़स इर्राना आन्द।
देखते-देखते 2023 अपने समापन की ओर बढ़ रहा है।,हुड़सोर-हुड़सोर 2023 आपुना माराना तिक्के दान्ता।
Research बढ़ने और कई वैज्ञानिकों के साथ-साथ जुड़ने से ये चिकित्सा पद्धति और बेहतर परिणाम देंगे और लोगों का इनके प्रति झुकाव बढ़ेगा।,पड़कना बेड़सिहला अन कुबैय पड़कवालोर कुन संगे -संगे मिले मायले ते मत् नीत अन बेस आसिद हियानूर अन मानेय स ऐना इताते नियाकेय खातिर बेड़सानुर।
इसी तरह इस बार छत्तीसगढ़ के हेमचंद मांझी उनको भी पद्म सम्मान मिला है।,रहमे इद बेरा छत्तीसगढ़ राज तोर हेमचंद मांझीन गला पद्मश्री सम्मान पुट्ता।
नदियों का जल चक्र पर्यावरण संतुलन में महत्वपूर्ण भूमिका निभाता है।,बेरेह न एर्ट चक्र पर्यावरण बिगड़े मायना जरूरी भूमिका निबेह कियाता।
समुद्र की गहराईयों में यात्रा करना रोमांचकारी होता है।,समुन्द त अडी तह गेला यात्रा कीयाना कूबैय सोबाय आन्ता।
लहरों का संगीत मन को मोह लेता है।,लहरांग न पाटांग मन तून मोहे कीतांग।
कई लोग समुद्र के गहराइयों में गोताखोरी करने का आनंद लेते हैं।,कूबैय मानेय समुन्द त अडीह तह गोता कोरी केवालोर बेसे गीरदा आस मन्तोर।
भारतीय नदियाँ भौगोलिक पहचान का एक महत्वपूर्ण हिस्सा हैं।,भारतीय बेरेह भौगोलिक सीनाह त उन्द जरूरी हिस्सा आन्द।
लेकिन अब डिजिटल इंडिया के इस दौर में इनके बनाए उत्पाद देश और दुनिया के अलग-अलग बाज़ारों में पहुँचने लगे हैं।,ल्ेकिन इदेर डिजिटल इंडिया त इद दौर ते इवैहनंग पण्डलंेग देश अन दुनिया तंग अलग अलग हाटूूह ने अवला आतंग।
"मेरे साथियो, जब आयुष चिकित्सा पद्धति की बात कर रहा हूँ,",नावा गोतियालोरिट इदेक आयुष चिकित्सा पद्यति ता पोल्लो वड़कयतोना।
हिमालय से निकले जल स्रोतों का नदियों पर गहरा प्रभाव पड़ता है।,हिमालय तह पसियले एर्र पुटले ते बेर्रेह ने जादा दबाव पड़ार।
सोशल मीडिया और इन्टरनेट के इस दौर में भी रेडियो पूरे देश को जोड़ने का एक सशक्त माध्यम है।,सोशल मिडिया अन इन्टरनेट ता इद सेा गला रेडियो सपय देश तुन जोड़ेह कियाना उन्द हर्र आंद।
"आलसीराम अपने दोस्तों के साथ मजेदार बातें करता है, लेकिन खुद पर कभी नहीं।","आलसीराम अपूना संगवारी लोर संग अच्छा, पोल्लोंग वड़कान तोर मति खुद ओना बेसके हिले।"
इस कार्यक्रम के एक एपिसोड से प्रेरित होकर उन्होंने केले से जैविक खाद बनाने का काम शुरू किया।,इद्द जलसा ता उंद एपिसोड तह प्रेरित आस ओर केडिं़ग तह जैविक खत्तु पंडाना ता मुड़ कीतुर।
